Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Afghanistan,Kishim,Badakhshān,,,91407,District,,,#N/A,,BadakhshānAfghanistan,county,2,AF-BDS,ولسوالی کشم,,,,county,2,AF-BDS,ولسوالی کشم,,,,,region,1,AF-BDS,ولایت بدخشان,HIGH,1.0,AF-BDS
Afghanistan,Argō,Badakhshān,,,88616,District,,,#N/A,,BadakhshānAfghanistan,county,2,AF-BDS,ولسوالی ارگو,,,,county,2,AF-BDS,ولسوالی ارگو,,,,,region,1,AF-BDS,ولایت بدخشان,HIGH,1.0,AF-BDS
Afghanistan,Fayzābād,Badakhshān,,,77154,Capital District,,,#N/A,,BadakhshānAfghanistan,county,2,AF-BDS,ولسوالی فیض‌آباد,,,,county,2,AF-BDS,ولسوالی فیض‌آباد,,,,,region,1,AF-BDS,ولایت بدخشان,HIGH,1.0,AF-BDS
Afghanistan,Darāyim,Badakhshān,,,69618,District,,,#N/A,,BadakhshānAfghanistan,county,2,AF-BDS,ولسوالی درایم,,,,county,2,AF-BDS,ولسوالی درایم,,,,,region,1,AF-BDS,ولایت بدخشان,HIGH,1.0,AF-BDS
Afghanistan,Yaftal-e Suflá [Yaftali Sufla],Badakhshān,,,59654,District,,,#N/A,,BadakhshānAfghanistan,county,2,AF-BDS,ولسوالی یفتل پایین,,,,,,,,,,,,region,1,AF-BDS,ولایت بدخشان,NONE,0.0,AF-BDS
Afghanistan,Shahr-e Buzurg [Shahri Buzurg],Badakhshān,,,59123,District,,,#N/A,,BadakhshānAfghanistan,county,2,AF-BDS,ولسوالی شهر بزرگ,,,,,,,,,,,,region,1,AF-BDS,ولایت بدخشان,NONE,0.0,AF-BDS
Afghanistan,Rāghistān,Badakhshān,,,44773,District,,,#N/A,,BadakhshānAfghanistan,county,2,AF-BDS,ولسوالی راغستان,,,,county,2,AF-BDS,ولسوالی راغستان,,,,,region,1,AF-BDS,ولایت بدخشان,HIGH,1.0,AF-BDS
Afghanistan,Khāsh,Badakhshān,,,43046,District,,,#N/A,,BadakhshānAfghanistan,county,2,AF-BDS,ولسوالی خاش,,,,county,2,AF-BDS,ولسوالی خاش,,,,,region,1,AF-BDS,ولایت بدخشان,HIGH,1.0,AF-BDS
Afghanistan,Jurm,Badakhshān,,,42671,District,,,#N/A,,BadakhshānAfghanistan,county,2,AF-BDS,ولسوالی جرم,,,,county,2,AF-BDS,ولسوالی جرم,,,,,region,1,AF-BDS,ولایت بدخشان,HIGH,1.0,AF-BDS
Afghanistan,Shuhadā,Badakhshān,,,39061,District,,,#N/A,,BadakhshānAfghanistan,county,2,AF-BDS,ولسوالی شهدا,,,,county,2,AF-BDS,ولسوالی شهدا,,,,,region,1,AF-BDS,ولایت بدخشان,HIGH,1.0,AF-BDS
