Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Armenia,Ashtarak,Aragatsotn,,,66100,Municipality,Yerevan,,Yerevan,2025,AragatsotnArmenia,county,2,AM-AG,Աշտարակ համայնք,,,,locality,,AM-AG,Աշտարակ,,,,,region,1,AM-AG,Արագածոտնի մարզ,HIGH,1.0,AM-AG
Armenia,Talin,Aragatsotn,,,32000,Municipality,,,#N/A,2025,AragatsotnArmenia,county,2,AM-AG,Թալին համայնք,,,,locality,,AM-AG,Թալին,,,,,region,1,AM-AG,Արագածոտնի մարզ,HIGH,1.0,AM-AG
Armenia,Aparan,Aragatsotn,,,21800,Municipality,,,#N/A,2025,AragatsotnArmenia,county,2,AM-AG,Ապարան համայնք,,,,locality,,AM-AG,Ապարան,,,,,region,1,AM-AG,Արագածոտնի մարզ,HIGH,1.0,AM-AG
Armenia,Tsaghkahovit,Aragatsotn,,,9600,Municipality,,,#N/A,2025,AragatsotnArmenia,county,2,AM-AG,Ծաղկահովիտ համայնք,,,,locality,,AM-AG,Ծաղկահովիտ,,,,,region,1,AM-AG,Արագածոտնի մարզ,HIGH,1.0,AM-AG
Armenia,Alagyaz,Aragatsotn,,,3500,Municipality,,,#N/A,2025,AragatsotnArmenia,county,2,AM-AG,Ալագյազ համայնք,,,,locality,,AM-AG,Ալագյազ,,,,,region,1,AM-AG,Արագածոտնի մարզ,HIGH,1.0,AM-AG
Armenia,Shamiram,Aragatsotn,,,1400,Municipality,,,#N/A,2025,AragatsotnArmenia,county,2,AM-AG,Շամիրամ համայնք,,,,locality,,AM-AG,Շամիրամ,,,,,region,1,AM-AG,Արագածոտնի մարզ,HIGH,1.0,AM-AG
Armenia,Arevut,Aragatsotn,,,800,Municipality,,,#N/A,2025,AragatsotnArmenia,county,2,AM-AG,Արևուտ համայնք,,,,locality,,AM-AG,Արևուտ,,,,,region,1,AM-AG,Արագածոտնի մարզ,HIGH,1.0,AM-AG
Armenia,Metsadzor,Aragatsotn,,,300,Municipality,,,#N/A,2025,AragatsotnArmenia,county,2,AM-AG,Մեծաձոր համայնք,,,,locality,,AM-AG,Մեծաձոր,,,,,region,1,AM-AG,Արագածոտնի մարզ,HIGH,1.0,AM-AG
Armenia,Ararat,Ararat,,,39500,Municipality,Ararat,,Ararat,2025,AraratArmenia,county,2,AM-AR,Արարատ համայնք,,,,locality,,AM-AR,Արարատ,,,,,region,1,AM-AR,Արարատի մարզ,HIGH,1.0,AM-AR
Armenia,Artashat,Ararat,,,93400,Municipality,Yerevan,,Yerevan,2025,AraratArmenia,county,2,AM-AR,Արտաշատ համայնք,,,,locality,,AM-AR,Արտաշատ,,,,,region,1,AM-AR,Արարատի մարզ,HIGH,1.0,AM-AR
Armenia,Masis,Ararat,,,84300,Municipality,Yerevan,,Yerevan,2025,AraratArmenia,county,2,AM-AR,Մասիս համայնք,,,,locality,,AM-AR,Մասիս,,,,,region,1,AM-AR,Արարատի մարզ,HIGH,1.0,AM-AR
Armenia,Vedi,Ararat,,,48500,Municipality,,,#N/A,2025,AraratArmenia,county,2,AM-AR,Վեդի համայնք,,,,locality,,AM-AR,Վեդի,,,,,region,1,AM-AR,Արարատի մարզ,HIGH,1.0,AM-AR
Armenia,Verin Dvin,Ararat,,,1900,Municipality,,,#N/A,2025,AraratArmenia,county,2,AM-AR,Վերին Դվին համայնք,,,,locality,,AM-AR,Վերին Դվին,,,,,region,1,AM-AR,Արարատի մարզ,HIGH,1.0,AM-AR
Armenia,Armavir,Armavir,,,53300,Municipality,Armavir (AR),,Armavir (AR),2025,ArmavirArmenia,county,2,AM-AV,Արմավիր համայնք,,,,region,1,AM-AV,Արմավիրի մարզ,,,,,region,1,AM-AV,Արմավիրի մարզ,HIGH,1.0,AM-AV
