me,Country,Municipality,Distri rrondissement/County,State/Region (ISO 3166-2),Population,Metro Area,Type,Lookup,Metro Area Check,Code,Part,Township,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
,Austria,Eisenstadt,Eisenstadt (Stadt),Burgenland,16118,Eisenstadt,District-level City,,Eisenstadt,,,,county,2,AT-1,Eisenstadt,,,county,2,AT-1,Eisenstadt,county,2,AT-1,Eisenstadt,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Neufeld an der Leitha,Eisenstadt-Umgebung,Burgenland,3594,Eisenstadt,City,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Neufeld an der Leitha,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Hornstein,Eisenstadt-Umgebung,Burgenland,3323,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Hornstein,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Siegendorf,Eisenstadt-Umgebung,Burgenland,3228,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Siegendorf/Cindrof,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Purbach am Neusiedler See,Eisenstadt-Umgebung,Burgenland,3053,Eisenstadt,City,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Purbach,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Steinbrunn,Eisenstadt-Umgebung,Burgenland,2996,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Steinbrunn,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Sankt Margarethen im Burgenland,Eisenstadt-Umgebung,Burgenland,2720,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Sankt Margarethen im Burgenland,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Mörbisch am See,Eisenstadt-Umgebung,Burgenland,2181,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Mörbisch am See,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Trausdorf an der Wulka,Eisenstadt-Umgebung,Burgenland,2143,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Trausdorf an der Wulka/Trajštof,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Großhöflein,Eisenstadt-Umgebung,Burgenland,2078,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Großhöflein,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Breitenbrunn am Neusiedler See,Eisenstadt-Umgebung,Burgenland,1943,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,LOW,0.894,AT-1
,Austria,Wulkaprodersdorf,Eisenstadt-Umgebung,Burgenland,1938,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Wulkaprodersdorf/Vulkaprodrštof,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Donnerskirchen,Eisenstadt-Umgebung,Burgenland,1881,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Donnerskirchen,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Wimpassing an der Leitha,Eisenstadt-Umgebung,Burgenland,1724,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Wimpassing an der Leitha,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Oggau am Neusiedler See,Eisenstadt-Umgebung,Burgenland,1691,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Oggau am Neusiedler See,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Müllendorf,Eisenstadt-Umgebung,Burgenland,1521,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Müllendorf,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Schützen am Gebirge,Eisenstadt-Umgebung,Burgenland,1448,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Schützen am Gebirge,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Oslip,Eisenstadt-Umgebung,Burgenland,1304,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Oslip,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Leithaprodersdorf,Eisenstadt-Umgebung,Burgenland,1258,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Leithaprodersdorf,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Klingenbach,Eisenstadt-Umgebung,Burgenland,1203,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Klingenbach/Klimpuh,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Zagersdorf,Eisenstadt-Umgebung,Burgenland,1142,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Zagersdorf/Cogrštof,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Zillingtal,Eisenstadt-Umgebung,Burgenland,1045,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Zillingtal/Celindof,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Stotzing,Eisenstadt-Umgebung,Burgenland,821,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Stotzing,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Loretto,Eisenstadt-Umgebung,Burgenland,520,Eisenstadt,Commune,,Eisenstadt,,,,county,2,AT-1,Bezirk Eisenstadt-Umgebung,,,locality,,AT-1,Loretto,county,2,AT-1,Bezirk Eisenstadt-Umgebung,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Güssing,Güssing,Burgenland,3520,,City,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Güssing,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Stegersbach,Güssing,Burgenland,2741,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Stegersbach,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Kukmirn,Güssing,Burgenland,1985,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Kukmirn,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Olbendorf,Güssing,Burgenland,1470,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Olbendorf,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Burgauberg-Neudauberg,Güssing,Burgenland,1434,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Burgauberg-Neudauberg,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Tobaj,Güssing,Burgenland,1369,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Tobaj,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Stinatz,Güssing,Burgenland,1193,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Stinatz/Stinjaki,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Gerersdorf-Sulz,Güssing,Burgenland,1028,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Gerersdorf-Sulz,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Sankt Michael im Burgenland,Güssing,Burgenland,1007,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Sankt Michael im Burgenland,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Ollersdorf im Burgenland,Güssing,Burgenland,955,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Ollersdorf im Burgenland,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Neuberg im Burgenland,Güssing,Burgenland,943,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Neuberg im Burgenland/Nova Gora,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Strem,Güssing,Burgenland,934,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Strem,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Eberau,Güssing,Burgenland,910,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Eberau,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Güttenbach,Güssing,Burgenland,843,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Güttenbach/Pinkovac,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Bocksdorf,Güssing,Burgenland,790,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Bocksdorf,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Heiligenbrunn,Güssing,Burgenland,710,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Heiligenbrunn,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Wörterberg,Güssing,Burgenland,538,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Wörterberg,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Rauchwart,Güssing,Burgenland,478,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Rauchwart,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Neustift bei Güssing,Güssing,Burgenland,444,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Neustift bei Güssing,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Hackerberg,Güssing,Burgenland,383,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Hackerberg,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Rohr im Burgenland,Güssing,Burgenland,369,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Rohr im Burgenland,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Moschendorf,Güssing,Burgenland,364,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Moschendorf,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Bildein,Güssing,Burgenland,352,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Bildein,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Inzenhof,Güssing,Burgenland,336,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Inzenhof,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Heugraben,Güssing,Burgenland,233,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Heugraben,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Großmürbisch,Güssing,Burgenland,232,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Großmürbisch,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Kleinmürbisch,Güssing,Burgenland,227,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Kleinmürbisch,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Tschanigraben,Güssing,Burgenland,64,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Güssing,,,locality,,AT-1,Tschanigraben,county,2,AT-1,Bezirk Güssing,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Jennersdorf,Jennersdorf,Burgenland,4159,,City,,#N/A,,,,county,2,AT-1,Bezirk Jennersdorf,,,locality,,AT-1,Jennersdorf,county,2,AT-1,Bezirk Jennersdorf,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Rudersdorf,Jennersdorf,Burgenland,2241,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Jennersdorf,,,locality,,AT-1,Rudersdorf,county,2,AT-1,Bezirk Jennersdorf,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Sankt Martin an der Raab,Jennersdorf,Burgenland,1941,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Jennersdorf,,,locality,,AT-1,Sankt Martin an der Raab,county,2,AT-1,Bezirk Jennersdorf,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Deutsch Kaltenbrunn,Jennersdorf,Burgenland,1730,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Jennersdorf,,,locality,,AT-1,Deutsch Kaltenbrunn,county,2,AT-1,Bezirk Jennersdorf,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Heiligenkreuz im Lafnitztal,Jennersdorf,Burgenland,1242,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Jennersdorf,,,locality,,AT-1,Heiligenkreuz im Lafnitztal,county,2,AT-1,Bezirk Jennersdorf,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Mogersdorf,Jennersdorf,Burgenland,1153,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Jennersdorf,,,locality,,AT-1,Mogersdorf,county,2,AT-1,Bezirk Jennersdorf,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Minihof-Liebau,Jennersdorf,Burgenland,1041,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Jennersdorf,,,locality,,AT-1,Minihof-Liebau,county,2,AT-1,Bezirk Jennersdorf,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Eltendorf,Jennersdorf,Burgenland,900,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Jennersdorf,,,locality,,AT-1,Eltendorf,county,2,AT-1,Bezirk Jennersdorf,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Neuhaus am Klausenbach,Jennersdorf,Burgenland,879,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Jennersdorf,,,locality,,AT-1,Neuhaus am Klausenbach,county,2,AT-1,Bezirk Jennersdorf,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Königsdorf,Jennersdorf,Burgenland,784,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Jennersdorf,,,locality,,AT-1,Königsdorf,county,2,AT-1,Bezirk Jennersdorf,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Weichselbaum,Jennersdorf,Burgenland,712,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Jennersdorf,,,locality,,AT-1,Weichselbaum,county,2,AT-1,Bezirk Jennersdorf,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Mühlgraben,Jennersdorf,Burgenland,375,,Commune,,#N/A,,,,county,2,AT-1,Bezirk Jennersdorf,,,locality,,AT-1,Mühlgraben,county,2,AT-1,Bezirk Jennersdorf,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Mattersburg,Mattersburg,Burgenland,7554,Mattersburg,City,,Mattersburg,,,,county,2,AT-1,Bezirk Mattersburg,,,locality,,AT-1,Mattersburg,county,2,AT-1,Bezirk Mattersburg,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Neudörfl,Mattersburg,Burgenland,5015,Mattersburg,Commune,,Mattersburg,,,,county,2,AT-1,Bezirk Mattersburg,,,locality,,AT-1,Neudörfl,county,2,AT-1,Bezirk Mattersburg,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Pöttsching,Mattersburg,Burgenland,3068,Mattersburg,Commune,,Mattersburg,,,,county,2,AT-1,Bezirk Mattersburg,,,locality,,AT-1,Pöttsching,county,2,AT-1,Bezirk Mattersburg,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Forchtenstein,Mattersburg,Burgenland,2800,Mattersburg,Commune,,Mattersburg,,,,county,2,AT-1,Bezirk Mattersburg,,,locality,,AT-1,Forchtenstein,county,2,AT-1,Bezirk Mattersburg,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Wiesen,Mattersburg,Burgenland,2792,Mattersburg,Commune,,Mattersburg,,,,county,2,AT-1,Bezirk Mattersburg,,,locality,,AT-1,Wiesen,county,2,AT-1,Bezirk Mattersburg,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Rohrbach bei Mattersburg,Mattersburg,Burgenland,2684,Mattersburg,Commune,,Mattersburg,,,,county,2,AT-1,Bezirk Mattersburg,,,locality,,AT-1,Rohrbach bei Mattersburg,county,2,AT-1,Bezirk Mattersburg,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Schattendorf,Mattersburg,Burgenland,2360,Mattersburg,Commune,,Mattersburg,,,,county,2,AT-1,Bezirk Mattersburg,,,locality,,AT-1,Schattendorf,county,2,AT-1,Bezirk Mattersburg,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
,Austria,Bad Sauerbrunn,Mattersburg,Burgenland,2355,Mattersburg,Commune,,Mattersburg,,,,county,2,AT-1,Bezirk Mattersburg,,,locality,,AT-1,Bad Sauerbrunn,county,2,AT-1,Bezirk Mattersburg,region,1,AT-1,Burgenland,HIGH,1.0,AT-1
