Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Aruba,Palm Beach / Malmok,Noord / Tanki Leendert,,,5637,Zone,,,#N/A,,Noord / Tanki LeendertAruba,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Alto Vista,Noord / Tanki Leendert,,,5146,Zone,,,#N/A,,Noord / Tanki LeendertAruba,,,,,,,,locality,,nan,Alto Vista,,,,,,,,,HIGH,1.0,nan
Aruba,Tanki Leendert,Noord / Tanki Leendert,,,4589,Zone,,,#N/A,,Noord / Tanki LeendertAruba,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Moko / Tanki Flip,Noord / Tanki Leendert,,,4430,Zone,,,#N/A,,Noord / Tanki LeendertAruba,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Washington,Noord / Tanki Leendert,,,4390,Zone,,,#N/A,,Noord / Tanki LeendertAruba,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Noord Other,Noord / Tanki Leendert,,,0,Zone,,,#N/A,,Noord / Tanki LeendertAruba,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Sabana Blanco / Mahuma,Oranjestad Oost,,,3353,Zone,Oranjestad,,Oranjestad,,Oranjestad OostAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Seroe Blanco / Cumana,Oranjestad Oost,,,2873,Zone,Oranjestad,,Oranjestad,,Oranjestad OostAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Dakota / Potrero (Dacota),Oranjestad Oost,,,2507,Zone,Oranjestad,,Oranjestad,,Oranjestad OostAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Tarabana,Oranjestad Oost,,,2000,Zone,Oranjestad,,Oranjestad,,Oranjestad OostAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Klip / Mon Plaisir,Oranjestad Oost,,,1393,Zone,Oranjestad,,Oranjestad,,Oranjestad OostAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Simeon Antonio,Oranjestad Oost,,,1236,Zone,Oranjestad,,Oranjestad,,Oranjestad OostAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Sividivi,Oranjestad Oost,,,1092,Zone,Oranjestad,,Oranjestad,,Oranjestad OostAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Nassaustraat,Oranjestad Oost,,,469,Zone,Oranjestad,,Oranjestad,,Oranjestad OostAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Oranjestad East Other,Oranjestad Oost,,,0,Zone,Oranjestad,,Oranjestad,,Oranjestad OostAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Companashi / Solito,Oranjestad West,,,2420,Zone,Oranjestad,,Oranjestad,,Oranjestad WestAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Madiki Kavel,Oranjestad West,,,2177,Zone,Oranjestad,,Oranjestad,,Oranjestad WestAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Ponton,Oranjestad West,,,2155,Zone,Oranjestad,,Oranjestad,,Oranjestad WestAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
Aruba,Socotoro / Rancho,Oranjestad West,,,1895,Zone,Oranjestad,,Oranjestad,,Oranjestad WestAruba,locality,,,Oranjestad,,,,,,,,,,,,,,,,NONE,0.0,
