Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Azerbaijan,Sumqayıt [Sumgayit],Absheron-Khizi,,,491068,City,Baku,,Baku,,Absheron-KhiziAzerbaijan,region,1,AZ-SM,Sumqayıt İnzibati Ərazisi,,,,,,,,,,,,,,,,NONE,0.0,
Azerbaijan,Abşeron [Absheron],Absheron-Khizi,,,475819,District,Baku,,Baku,,Absheron-KhiziAzerbaijan,region,1,AZ-ABS,Abşeron rayonu,,,,,,,,,,,,,,,,NONE,0.0,
Azerbaijan,Xızı [Khyzi],Absheron-Khizi,,,17903,District,Baku,,Baku,,Absheron-KhiziAzerbaijan,region,1,AZ-XIZ,Xızı rayonu,,,,,,,,,,,,,,,,NONE,0.0,
Azerbaijan,Sabunçu [Sabunchu],Baku,,,393304,District,Baku,,Baku,,BakuAzerbaijan,region,1,AZ-BA,Bakı İnzibati Ərazisi,,,,,,,,,,,,region,1,AZ-BA,Bakı İnzibati Ərazisi,NONE,0.0,AZ-BA
Azerbaijan,Binəqədi [Binagadi],Baku,,,343769,District,Baku,,Baku,,BakuAzerbaijan,region,1,AZ-BA,Bakı İnzibati Ərazisi,,,,,,,,,,,,region,1,AZ-BA,Bakı İnzibati Ərazisi,NONE,0.0,AZ-BA
Azerbaijan,Xətai [Khatai],Baku,,,303650,District,Baku,,Baku,,BakuAzerbaijan,region,1,AZ-BA,Bakı İnzibati Ərazisi,,,,,,,,,,,,region,1,AZ-BA,Bakı İnzibati Ərazisi,NONE,0.0,AZ-BA
Azerbaijan,Nəsimi [Nasimi],Baku,,,231227,District,Baku,,Baku,,BakuAzerbaijan,region,1,AZ-BA,Bakı İnzibati Ərazisi,,,,,,,,,,,,region,1,AZ-BA,Bakı İnzibati Ərazisi,NONE,0.0,AZ-BA
Azerbaijan,Suraxanı [Surakhany],Baku,,,229552,District,Baku,,Baku,,BakuAzerbaijan,region,1,AZ-BA,Bakı İnzibati Ərazisi,,,,,,,,,,,,region,1,AZ-BA,Bakı İnzibati Ərazisi,NONE,0.0,AZ-BA
Azerbaijan,Xəzər [Khazar],Baku,,,228298,District,Baku,,Baku,,BakuAzerbaijan,region,1,AZ-BA,Bakı İnzibati Ərazisi,,,,,,,,,,,,region,1,AZ-BA,Bakı İnzibati Ərazisi,NONE,0.0,AZ-BA
Azerbaijan,Yasamal [Yasamal],Baku,,,214705,District,Baku,,Baku,,BakuAzerbaijan,region,1,AZ-BA,Bakı İnzibati Ərazisi,,,,,,,,,,,,region,1,AZ-BA,Bakı İnzibati Ərazisi,NONE,0.0,AZ-BA
Azerbaijan,Nizami [Nizami],Baku,,,208288,District,Baku,,Baku,,BakuAzerbaijan,region,1,AZ-BA,Bakı İnzibati Ərazisi,,,,,,,,,,,,region,1,AZ-BA,Bakı İnzibati Ərazisi,NONE,0.0,AZ-BA
