Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Bosnia-Herzegovina,Brčko,Brčko,,,83159,Municipality,Brčko,,Brčko,,BrčkoBosnia-Herzegovina,region,1,BA-BRC,Brčko distrikt,,,,region,1,BA-BRC,Brčko distrikt,,,,,region,1,BA-BRC,Brčko distrikt,HIGH,1.0,BA-BRC
Bosnia-Herzegovina,Banovići,Federacija Bosna i Hercegovina,,,22616,Municipality,Banovići,,Banovići,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Banovići,,,,county,2,BA-BIH,Banovići,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Bihać,Federacija Bosna i Hercegovina,,,56065,City,Bihać,,Bihać,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Bihać,,,,locality,,BA-BIH,Bihać,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Čapljina,Federacija Bosna i Hercegovina,,,24892,Municipality,Čapljina,,Čapljina,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Čapljina,,,,locality,,BA-BIH,Čapljina,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Cazin,Federacija Bosna i Hercegovina,,,65500,City,Cazin,,Cazin,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Cazin,,,,locality,,BA-BIH,Cazin,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Čitluk,Federacija Bosna i Hercegovina,,,17944,Municipality,Citluk,,Citluk,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Čitluk,,,,county,2,BA-BIH,Čitluk,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Doboj Istok [Doboj East],Federacija Bosna i Hercegovina,,,9879,Municipality,Doboj,,Doboj,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Doboj Istok,,,,,,,,,,,,,,,,NONE,0.0,
Bosnia-Herzegovina,Doboj Jug [Doboj South],Federacija Bosna i Hercegovina,,,4078,Municipality,Doboj,,Doboj,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Doboj Jug,,,,,,,,,,,,,,,,NONE,0.0,
Bosnia-Herzegovina,Kakanj,Federacija Bosna i Hercegovina,,,37079,Municipality,Kakanj,,Kakanj,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Kakanj,,,,county,2,BA-BIH,Kakanj,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Konjic,Federacija Bosna i Hercegovina,,,23959,Municipality,Konjic,,Konjic,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Konjic,,,,locality,,BA-BIH,Konjic,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Mostar,Federacija Bosna i Hercegovina,,,105203,City,Mostar,,Mostar,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-SRP,Источни Мостар / Istočni Mostar,,,,locality,,BA-BIH,Mostar,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Orašje,Federacija Bosna i Hercegovina,,,18972,Municipality,Orasje,,Orasje,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Orašje,,,,locality,,BA-BIH,Orašje,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Posušje,Federacija Bosna i Hercegovina,,,20341,Municipality,Posušje,,Posušje,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Posušje,,,,county,2,BA-BIH,Posušje,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Novi Grad Sarajevo [New Town Sarajevo],Federacija Bosna i Hercegovina,,,122049,City (Constituent Municipality),Sarajevo,,Sarajevo,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Novo Sarajevo,,,,,,,,,,,,,,,,NONE,0.0,
Bosnia-Herzegovina,Ilidža,Federacija Bosna i Hercegovina,,,70536,Municipality,Sarajevo,,Sarajevo,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-SRP,Источна Илиџа / Istočna Ilidža,,,,county,2,BA-BIH,Ilidža,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Novo Sarajevo [New Sarajevo],Federacija Bosna i Hercegovina,,,64077,City (Constituent Municipality),Sarajevo,,Sarajevo,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Novo Sarajevo,,,,,,,,,,,,,,,,NONE,0.0,
Bosnia-Herzegovina,Centar Sarajevo [Sarajevo Center],Federacija Bosna i Hercegovina,,,53368,City (Constituent Municipality),Sarajevo,,Sarajevo,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Novo Sarajevo,,,,,,,,,,,,,,,,NONE,0.0,
Bosnia-Herzegovina,Visoko,Federacija Bosna i Hercegovina,,,39242,Municipality,Sarajevo,,Sarajevo,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Visoko,,,,locality,,BA-BIH,Visoko,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Stari Grad Sarajevo [Old Town Sarajevo],Federacija Bosna i Hercegovina,,,35385,City (Constituent Municipality),Sarajevo,,Sarajevo,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Novo Sarajevo,,,,,,,,,,,,,,,,NONE,0.0,
Bosnia-Herzegovina,Vogošća,Federacija Bosna i Hercegovina,,,28524,Municipality,Sarajevo,,Sarajevo,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Vogošća,,,,county,2,BA-BIH,Vogošća,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Hadžići,Federacija Bosna i Hercegovina,,,24638,Municipality,Sarajevo,,Sarajevo,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Hadžići,,,,county,2,BA-BIH,Hadžići,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Ilijaš,Federacija Bosna i Hercegovina,,,20603,Municipality,Sarajevo,,Sarajevo,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Ilijaš,,,,county,2,BA-BIH,Ilijaš,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Breza,Federacija Bosna i Hercegovina,,,13538,Municipality,Sarajevo,,Sarajevo,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Breza,,,,county,2,BA-BIH,Breza,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Široki Brijeg,Federacija Bosna i Hercegovina,,,28964,City,Široki Brijeg,,Široki Brijeg,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Široki Brijeg,,,,locality,,BA-BIH,Široki Brijeg,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Travnik,Federacija Bosna i Hercegovina,,,52487,Municipality,Travnik,,Travnik,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Travnik,,,,county,2,BA-BIH,Travnik,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Tuzla,Federacija Bosna i Hercegovina,,,109674,City,Tuzla,,Tuzla,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Tuzla,,,,locality,,BA-BIH,Tuzla,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Živinice,Federacija Bosna i Hercegovina,,,57886,Municipality,Tuzla,,Tuzla,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Živinice,,,,locality,,BA-BIH,Živinice,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Vitez,Federacija Bosna i Hercegovina,,,25911,Municipality,Vitez,,Vitez,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Vitez,,,,county,2,BA-BIH,Vitez,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Zenica,Federacija Bosna i Hercegovina,,,109323,City,Zenica,,Zenica,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Zenica,,,,locality,,BA-BIH,Zenica,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Žepče,Federacija Bosna i Hercegovina,,,29837,Municipality,Zepce,,Zepce,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Žepče,,,,county,2,BA-BIH,Žepče,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Gračanica,Federacija Bosna i Hercegovina,,,45033,Municipality,,,#N/A,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Gračanica,,,,locality,,BA-BIH,Gračanica,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Tešanj,Federacija Bosna i Hercegovina,,,43796,Municipality,,,#N/A,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Tešanj,,,,county,2,BA-BIH,Tešanj,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Lukavac,Federacija Bosna i Hercegovina,,,43217,Municipality,,,#N/A,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Lukavac,,,,locality,,BA-BIH,Lukavac,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Velika Kladuša,Federacija Bosna i Hercegovina,,,40099,Municipality,,,#N/A,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Velika Kladuša,,,,county,2,BA-BIH,Velika Kladuša,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Sanski Most,Federacija Bosna i Hercegovina,,,39852,Municipality,,,#N/A,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Sanski Most,,,,county,2,BA-BIH,Sanski Most,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Srebrenik,Federacija Bosna i Hercegovina,,,39500,Municipality,,,#N/A,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Srebrenik,,,,locality,,BA-BIH,Srebrenik,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Gradačac,Federacija Bosna i Hercegovina,,,38905,Municipality,,,#N/A,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Gradačac,,,,locality,,BA-BIH,Gradačac,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Zavidovići,Federacija Bosna i Hercegovina,,,35087,Municipality,,,#N/A,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Zavidovići,,,,locality,,BA-BIH,Zavidovići,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Livno,Federacija Bosna i Hercegovina,,,32825,City,,,#N/A,,Federacija Bosna i HercegovinaBosnia-Herzegovina,locality,,BA-BIH,Livno,,,,locality,,BA-BIH,Livno,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
Bosnia-Herzegovina,Kalesija,Federacija Bosna i Hercegovina,,,32697,Municipality,,,#N/A,,Federacija Bosna i HercegovinaBosnia-Herzegovina,county,2,BA-BIH,Kalesija,,,,county,2,BA-BIH,Kalesija,,,,,region,1,BA-BIH,Federacija Bosne i Hercegovine,HIGH,1.0,BA-BIH
