me,Country,Municipality,Distri rrondissement/County,State/Region (ISO 3166-2),Population,Metro Area,Type,Lookup,Metro Area Check,Code,Part,Township,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
,Belgium,Antwerpen (Anvers) [Antwerp],Antwerp,Antwerp,562002,Antwerp,Municipality,,Antwerp,,,,localadmin,,BE-VLG,Antwerpen,,,county,2,BE-VLG,Antwerpen,,,,,region,1,BE-VLG,Vlaanderen,HIGH,1.0,BE-VLG
,Belgium,Brasschaat,Antwerp,Antwerp,38416,Antwerp,Municipality,,Antwerp,,,,localadmin,,BE-VLG,Antwerpen,,,locality,,BE-VLG,Brasschaat,,,,,region,1,BE-VLG,Vlaanderen,HIGH,1.0,BE-VLG
,Belgium,Schoten,Antwerp,Antwerp,34926,Antwerp,Municipality,,Antwerp,,,,localadmin,,BE-VLG,Antwerpen,,,locality,,BE-VLG,Schoten,,,,,region,1,BE-VLG,Vlaanderen,HIGH,1.0,BE-VLG
,Belgium,Brecht,Antwerp,Antwerp,30664,Antwerp,Municipality,,Antwerp,,,,localadmin,,BE-VLG,Antwerpen,,,locality,,BE-VLG,Brecht,,,,,region,1,BE-VLG,Vlaanderen,HIGH,1.0,BE-VLG
,Belgium,Kapellen,Antwerp,Antwerp,27976,Antwerp,Municipality,,Antwerp,,,,localadmin,,BE-VLG,Antwerpen,,,locality,,BE-VLG,Kapellen,,,,,region,1,BE-VLG,Vlaanderen,HIGH,1.0,BE-VLG
,Belgium,Mortsel,Antwerp,Antwerp,26736,Antwerp,Municipality,,Antwerp,,,,localadmin,,BE-VLG,Antwerpen,,,locality,,BE-VLG,Mortsel,,,,,region,1,BE-VLG,Vlaanderen,HIGH,1.0,BE-VLG
,Belgium,Edegem,Antwerp,Antwerp,23502,Antwerp,Municipality,,Antwerp,,,,localadmin,,BE-VLG,Antwerpen,,,locality,,BE-VLG,Edegem,,,,,region,1,BE-VLG,Vlaanderen,HIGH,1.0,BE-VLG
,Belgium,Zoersel,Antwerp,Antwerp,22770,Antwerp,Municipality,,Antwerp,,,,localadmin,,BE-VLG,Antwerpen,,,locality,,BE-VLG,Zoersel,,,,,region,1,BE-VLG,Vlaanderen,HIGH,1.0,BE-VLG
,Belgium,Wuustwezel,Antwerp,Antwerp,21941,Antwerp,Municipality,,Antwerp,,,,localadmin,,BE-VLG,Antwerpen,,,locality,,BE-VLG,Wuustwezel,,,,,region,1,BE-VLG,Vlaanderen,HIGH,1.0,BE-VLG
,Belgium,Kontich,Antwerp,Antwerp,21801,Antwerp,Municipality,,Antwerp,,,,localadmin,,BE-VLG,Antwerpen,,,locality,,BE-VLG,Kontich,,,,,region,1,BE-VLG,Vlaanderen,HIGH,1.0,BE-VLG
