Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Bolivia,Vaca Díez,Beni,,,146201,Province,,,#N/A,,BeniBolivia,county,2,BO-B,Antonio Vaca Díez,,,,,,,,,,,,region,1,BO-B,Beni,NONE,0.0,BO-B
Bolivia,Cercado (Trinidad),Beni,,,136563,Province,,,#N/A,,BeniBolivia,county,2,BO-O,Provincia Cercado,,,,county,2,BO-B,Cercado,,,,,region,1,BO-B,Beni,HIGH,1.0,BO-B
Bolivia,José Ballivián,Beni,,,94610,Province,,,#N/A,,BeniBolivia,,,,,,,,,,,,,,,,region,1,BO-B,Beni,NONE,0.0,BO-B
Bolivia,Yacuma,Beni,,,24823,Province,,,#N/A,,BeniBolivia,county,2,BO-B,Yacuma,,,,county,2,BO-B,Yacuma,,,,,region,1,BO-B,Beni,HIGH,1.0,BO-B
Bolivia,Iténez,Beni,,,23901,Province,,,#N/A,,BeniBolivia,county,2,BO-B,Iténez,,,,county,2,BO-B,Iténez,,,,,region,1,BO-B,Beni,HIGH,1.0,BO-B
Bolivia,Moxos,Beni,,,22564,Province,,,#N/A,,BeniBolivia,county,2,BO-B,Moxos,,,,county,2,BO-B,Moxos,,,,,region,1,BO-B,Beni,HIGH,1.0,BO-B
Bolivia,Marbán,Beni,,,17393,Province,,,#N/A,,BeniBolivia,county,2,BO-B,Marbán,,,,county,2,BO-B,Marbán,,,,,region,1,BO-B,Beni,HIGH,1.0,BO-B
Bolivia,Mamoré,Beni,,,14253,Province,,,#N/A,,BeniBolivia,county,2,BO-B,Mamoré,,,,county,2,BO-B,Mamoré,,,,,region,1,BO-B,Beni,HIGH,1.0,BO-B
Bolivia,Oropeza,Chuquisaca,,,324440,Province,Sucre,,Sucre,,ChuquisacaBolivia,county,2,BO-H,Provincia Oropeza,,,,county,2,BO-H,Provincia Oropeza,,,,,region,1,BO-H,Chuquisaca,HIGH,1.0,BO-H
Bolivia,Yamparáez,Chuquisaca,,,27956,Province,Sucre,,Sucre,,ChuquisacaBolivia,county,2,BO-H,Provincia Yamparaez,,,,locality,,BO-H,Yamparaez,,,,,region,1,BO-H,Chuquisaca,HIGH,1.0,BO-H
Bolivia,Nor Cinti,Chuquisaca,,,83466,Province,,,#N/A,,ChuquisacaBolivia,county,2,BO-H,Provincia Nor Cinti,,,,county,2,BO-H,Provincia Nor Cinti,,,,,region,1,BO-H,Chuquisaca,HIGH,1.0,BO-H
Bolivia,Zudañez (Jaime Zudáñez),Chuquisaca,,,42753,Province,,,#N/A,,ChuquisacaBolivia,county,2,BO-H,Provincia Jaime Zudáñez,,,,locality,,BO-H,Zudañez,,,,,region,1,BO-H,Chuquisaca,HIGH,1.0,BO-H
Bolivia,Tomina,Chuquisaca,,,37504,Province,,,#N/A,,ChuquisacaBolivia,county,2,BO-H,Provincia Tomina,,,,locality,,BO-H,Tomina,,,,,region,1,BO-H,Chuquisaca,HIGH,1.0,BO-H
Bolivia,Hernando Siles,Chuquisaca,,,35470,Province,,,#N/A,,ChuquisacaBolivia,county,2,BO-H,Provincia Hernando Siles,,,,county,2,BO-H,Provincia Hernando Siles,,,,,region,1,BO-H,Chuquisaca,HIGH,1.0,BO-H
Bolivia,Sud Cinti,Chuquisaca,,,27235,Province,,,#N/A,,ChuquisacaBolivia,county,2,BO-H,Sud Cinti,,,,county,2,BO-H,Sud Cinti,,,,,region,1,BO-H,Chuquisaca,HIGH,1.0,BO-H
Bolivia,Azurduy (Juana Azurduy de Padilla),Chuquisaca,,,25636,Province,,,#N/A,,ChuquisacaBolivia,county,2,BO-H,Provincia Azurduy,,,,county,2,BO-H,Provincia Azurduy,,,,,region,1,BO-H,Chuquisaca,HIGH,1.0,BO-H
Bolivia,Luis Calvo,Chuquisaca,,,20842,Province,,,#N/A,,ChuquisacaBolivia,county,2,BO-H,Provincia Luis Calvo,,,,county,2,BO-H,Provincia Luis Calvo,,,,,region,1,BO-H,Chuquisaca,HIGH,1.0,BO-H
Bolivia,Belisario Boeto,Chuquisaca,,,11711,Province,,,#N/A,,ChuquisacaBolivia,county,2,BO-H,Provincia Belisario Boeto,,,,county,2,BO-H,Provincia Belisario Boeto,,,,,region,1,BO-H,Chuquisaca,HIGH,1.0,BO-H
Bolivia,Cercado (Cochabamba),Cochabamba,,,724126,Province,Cochabamba,,Cochabamba,,CochabambaBolivia,county,2,BO-O,Provincia Cercado,,,,county,2,BO-C,Cercado,,,,,region,1,BO-C,Cochabamba,HIGH,1.0,BO-C
Bolivia,Quillacollo,Cochabamba,,,403679,Province,Cochabamba,,Cochabamba,,CochabambaBolivia,county,2,BO-C,Quillacollo,,,,locality,,BO-C,Quillacollo,,,,,region,1,BO-C,Cochabamba,HIGH,1.0,BO-C
Bolivia,Chapare,Cochabamba,,,310680,Province,Cochabamba,,Cochabamba,,CochabambaBolivia,county,2,BO-C,Chapare,,,,county,2,BO-C,Chapare,,,,,region,1,BO-C,Cochabamba,HIGH,1.0,BO-C
Bolivia,Punata,Cochabamba,,,63505,Province,Cochabamba,,Cochabamba,,CochabambaBolivia,county,2,BO-C,Punata,,,,county,2,BO-C,Punata,,,,,region,1,BO-C,Cochabamba,HIGH,1.0,BO-C
Bolivia,Esteban Arce,Cochabamba,,,44585,Province,Cochabamba,,Cochabamba,,CochabambaBolivia,county,2,BO-C,Esteban Arze,,,,county,2,BO-C,Esteban Arze,,,,,region,1,BO-C,Cochabamba,LOW,0.917,BO-C
Bolivia,Germán Jordán,Cochabamba,,,37590,Province,Cochabamba,,Cochabamba,,CochabambaBolivia,county,2,BO-C,Germán Jordán,,,,county,2,BO-C,Germán Jordán,,,,,region,1,BO-C,Cochabamba,HIGH,1.0,BO-C
Bolivia,Capinota,Cochabamba,,,34728,Province,Cochabamba,,Cochabamba,,CochabambaBolivia,county,2,BO-C,Capinota,,,,county,2,BO-C,Capinota,,,,,region,1,BO-C,Cochabamba,HIGH,1.0,BO-C
Bolivia,Carrasco,Cochabamba,,,154299,Province,,,#N/A,,CochabambaBolivia,county,2,BO-C,Carrasco,,,,county,2,BO-C,Carrasco,,,,,region,1,BO-C,Cochabamba,HIGH,1.0,BO-C
