Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Brazil,Porto Acre,Acre,,,17523,Municipality,Porto Acre,,Porto Acre,2025,AcreBrazil,locality,,BR-AC,Porto Acre,,,,locality,,BR-AC,Porto Acre,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Rio Branco,Acre,,,389001,Municipality,Rio Branco,,Rio Branco,2025,AcreBrazil,locality,,BR-AC,Rio Branco,,,,locality,,BR-AC,Rio Branco,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Cruzeiro do Sul,Acre,,,98916,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Cruzeiro do Sul,,,,locality,,BR-AC,Cruzeiro do Sul,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Tarauacá,Acre,,,46816,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Tarauacá,,,,locality,,BR-AC,Tarauacá,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Sena Madureira,Acre,,,44049,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Sena Madureira,,,,locality,,BR-AC,Sena Madureira,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Feijó,Acre,,,37764,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Feijó,,,,locality,,BR-AC,Feijó,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Brasiléia,Acre,,,28028,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Brasiléia,,,,locality,,BR-AC,Brasiléia,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Senador Guiomard,Acre,,,22402,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Senador Guiomard,,,,locality,,BR-AC,Senador Guiomard,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Mâncio Lima,Acre,,,20479,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Mâncio Lima,,,,locality,,BR-AC,Mâncio Lima,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Epitaciolândia,Acre,,,19874,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Epitaciolândia,,,,locality,,BR-AC,Epitaciolândia,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Xapuri,Acre,,,19170,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Xapuri,,,,locality,,BR-AC,Xapuri,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Marechal Thaumaturgo,Acre,,,18057,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Marechal Thaumaturgo,,,,locality,,BR-AC,Marechal Thaumaturgo,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Plácido de Castro,Acre,,,17107,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Plácido de Castro,,,,locality,,BR-AC,Plácido de Castro,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Rodrigues Alves,Acre,,,15560,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Rodrigues Alves,,,,locality,,BR-AC,Rodrigues Alves,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Acrelândia,Acre,,,14712,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Acrelândia,,,,locality,,BR-AC,Acrelândia,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Bujari,Acre,,,13928,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Bujari,,,,locality,,BR-AC,Bujari,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Manoel Urbano,Acre,,,12923,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Manoel Urbano,,,,locality,,BR-AC,Manoel Urbano,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
Brazil,Porto Walter,Acre,,,11333,Municipality,,,#N/A,2025,AcreBrazil,locality,,BR-AC,Porto Walter,,,,locality,,BR-AC,Porto Walter,,,,,region,1,BR-AC,Acre,HIGH,1.0,BR-AC
