Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Bhutan,Chhoekhor,Bumthang,,,10190,Gewog,,,#N/A,,BumthangBhutan,locality,,BT-31,Chhoekhorling,,,,,,,,,,,,region,1,BT-33,བུམ་ཐང་རྫོང་ཁག་,NONE,0.0,BT-33
Bhutan,"Chhumig (Chhume, Chumey)",Bumthang,,,3588,Gewog,,,#N/A,,BumthangBhutan,,,,,,,,,,,,,,,,region,1,BT-33,བུམ་ཐང་རྫོང་ཁག་,NONE,0.0,BT-33
Bhutan,Tang,Bumthang,,,2318,Gewog,,,#N/A,,BumthangBhutan,locality,,BT-44,Tang-Roong_Wawel,,,,,,,,,,,,region,1,BT-33,བུམ་ཐང་རྫོང་ཁག་,NONE,0.0,BT-33
Bhutan,Ura,Bumthang,,,1724,Gewog,,,#N/A,,BumthangBhutan,locality,,BT-33,Ura-Dozhi,,,,,,,,,,,,region,1,BT-33,བུམ་ཐང་རྫོང་ཁག་,NONE,0.0,BT-33
Bhutan,Phuentshogling (Phuentsholing),Chukha (Chhukha),,,33444,Gewog,,,#N/A,,Chukha (Chhukha)Bhutan,,,,,,,,,,,,,,,,region,1,BT-12,ཆུ་ཁ་རྫོང་ཁག་,NONE,0.0,BT-12
Bhutan,Darla (Dala),Chukha (Chhukha),,,8541,Gewog,,,#N/A,,Chukha (Chhukha)Bhutan,locality,,BT-43,Bangdala,,,,,,,,,,,,region,1,BT-12,ཆུ་ཁ་རྫོང་ཁག་,NONE,0.0,BT-12
Bhutan,Bjagchhog (Bjacho) [incl. Tsimasham],Chukha (Chhukha),,,6864,Gewog,,,#N/A,,Chukha (Chhukha)Bhutan,locality,,BT-12,Bjagchhog,,,,locality,,BT-12,Bjagchhog,,,,,region,1,BT-12,ཆུ་ཁ་རྫོང་ཁག་,HIGH,1.0,BT-12
Bhutan,Bongo,Chukha (Chhukha),,,6512,Gewog,,,#N/A,,Chukha (Chhukha)Bhutan,,,,,,,,,,,,,,,,region,1,BT-12,ཆུ་ཁ་རྫོང་ཁག་,NONE,0.0,BT-12
Bhutan,Samphelling (Sampheling),Chukha (Chhukha),,,4077,Gewog,,,#N/A,,Chukha (Chhukha)Bhutan,,,,,,,,,,,,,,,,region,1,BT-12,ཆུ་ཁ་རྫོང་ཁག་,NONE,0.0,BT-12
Bhutan,Loggchina (Logchina),Chukha (Chhukha),,,2694,Gewog,,,#N/A,,Chukha (Chhukha)Bhutan,,,,,,,,,,,,,,,,region,1,BT-12,ཆུ་ཁ་རྫོང་ཁག་,NONE,0.0,BT-12
Bhutan,Chapchha (Chapcha),Chukha (Chhukha),,,2657,Gewog,,,#N/A,,Chukha (Chhukha)Bhutan,,,,,,,,,,,,,,,,region,1,BT-12,ཆུ་ཁ་རྫོང་ཁག་,NONE,0.0,BT-12
Bhutan,Geling,Chukha (Chhukha),,,1609,Gewog,,,#N/A,,Chukha (Chhukha)Bhutan,locality,,BT-12,Geling Geygoen,,,,,,,,,,,,region,1,BT-12,ཆུ་ཁ་རྫོང་ཁག་,NONE,0.0,BT-12
Bhutan,Doongna (Dungna),Chukha (Chhukha),,,1091,Gewog,,,#N/A,,Chukha (Chhukha)Bhutan,locality,,BT-12,Doongna Paksel-Lhakha,,,,,,,,,,,,region,1,BT-12,ཆུ་ཁ་རྫོང་ཁག་,NONE,0.0,BT-12
Bhutan,Getana (Getena),Chukha (Chhukha),,,820,Gewog,,,#N/A,,Chukha (Chhukha)Bhutan,,,,,,,,,,,,,,,,region,1,BT-12,ཆུ་ཁ་རྫོང་ཁག་,NONE,0.0,BT-12
Bhutan,"Maedtabkha (Metap, Metakha)",Chukha (Chhukha),,,657,Gewog,,,#N/A,,Chukha (Chhukha)Bhutan,,,,,,,,,,,,,,,,region,1,BT-12,ཆུ་ཁ་རྫོང་ཁག་,NONE,0.0,BT-12
Bhutan,"Lhamoi Dzingkha (Lhamoizingkha, Lhamoy Zingkha) [← Sarpang District]",Dagana,,,2757,Gewog,,,#N/A,,DaganaBhutan,,,,,,,,locality,,BT-22,Lhamoi Dzingkha,,,,,region,1,BT-22,དར་དཀར་ན་རྫོང་ཁག་,HIGH,1.0,BT-22
Bhutan,Tseza,Dagana,,,2642,Gewog,,,#N/A,,DaganaBhutan,,,,,,,,,,,,,,,,region,1,BT-22,དར་དཀར་ན་རྫོང་ཁག་,NONE,0.0,BT-22
