Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Belarus,Baranavičy,Brest,,,174183,City,Baranavichy,,Baranavichy,,BrestBelarus,county,2,BY-BR,Баранавічы,,,,county,2,BY-BR,Баранавічы,,,,,region,1,BY-BR,Брэсцкая вобласць,HIGH,1.0,BY-BR
Belarus,Baranavicki rajon,Brest,,,29110,District,Baranavichy,,Baranavichy,,BrestBelarus,county,2,BY-BR,Баранавіцкі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Brest,Brest,,,340318,City,Brest (BLR),,Brest (BLR),,BrestBelarus,county,2,BY-BR,Брэст,,,,county,2,BY-BR,Брэст,,,,,region,1,BY-BR,Брэсцкая вобласць,HIGH,1.0,BY-BR
Belarus,Brescki rajon,Brest,,,45615,District,Brest (BLR),,Brest (BLR),,BrestBelarus,county,2,BY-BR,Брэсцкі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Pinsk,Brest,,,125900,City,Pinsk,,Pinsk,,BrestBelarus,county,2,BY-BR,Пінск,,,,county,2,BY-BR,Пінскі раён,,,,,region,1,BY-BR,Брэсцкая вобласць,HIGH,1.0,BY-BR
Belarus,Pinski rajon,Brest,,,43060,District,Pinsk,,Pinsk,,BrestBelarus,county,2,BY-BR,Пінскі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Kobrynski rajon,Brest,,,83884,District,,,#N/A,,BrestBelarus,county,2,BY-BR,Кобрынскі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Stolinski rajon,Brest,,,71297,District,,,#N/A,,BrestBelarus,county,2,BY-BR,Столінскі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Luniniecki rajon,Brest,,,64856,District,,,#N/A,,BrestBelarus,county,2,BY-BR,Лунінецкі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Biarozaǔski rajon,Brest,,,59900,District,,,#N/A,,BrestBelarus,county,2,BY-BR,Бярозаўскі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Ivacevicki rajon,Brest,,,52626,District,,,#N/A,,BrestBelarus,county,2,BY-BR,Івацэвіцкі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Pružanski rajon,Brest,,,43871,District,,,#N/A,,BrestBelarus,county,2,BY-BR,Пружанскі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Ivanaǔski rajon,Brest,,,37240,District,,,#N/A,,BrestBelarus,county,2,BY-BR,Іванаўскі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Drahičynski rajon,Brest,,,35757,District,,,#N/A,,BrestBelarus,county,2,BY-BR,Драгічынскі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Kamianiecki rajon,Brest,,,32854,District,,,#N/A,,BrestBelarus,county,2,BY-BR,Камянецкі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Hancavicki rajon,Brest,,,25862,District,,,#N/A,,BrestBelarus,county,2,BY-BR,Ганцавіцкі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Žabinkaǔski rajon,Brest,,,24764,District,,,#N/A,,BrestBelarus,county,2,BY-BR,Жабінкаўскі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
Belarus,Malarycki rajon,Brest,,,23583,District,,,#N/A,,BrestBelarus,county,2,BY-BR,Маларыцкі раён,,,,,,,,,,,,region,1,BY-BR,Брэсцкая вобласць,NONE,0.0,BY-BR
