Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Congo,Kayes (incl. Nkayi commune),Bouenza,,,114622,District,,,#N/A,,BouenzaCongo,,,,,,,,,,,,,,,,region,1,CG-11,Bouenza,NONE,0.0,CG-11
Congo,Madingou (incl. Madingou commune),Bouenza,,,81254,District,,,#N/A,,BouenzaCongo,,,,,,,,,,,,,,,,region,1,CG-11,Bouenza,NONE,0.0,CG-11
Congo,Mouyondzi,Bouenza,,,37863,District,,,#N/A,,BouenzaCongo,,,,,,,,,,,,,,,,region,1,CG-11,Bouenza,NONE,0.0,CG-11
Congo,Loudima,Bouenza,,,36644,District,,,#N/A,,BouenzaCongo,,,,,,,,,,,,,,,,region,1,CG-11,Bouenza,NONE,0.0,CG-11
Congo,Mfouati,Bouenza,,,33017,District,,,#N/A,,BouenzaCongo,,,,,,,,,,,,,,,,region,1,CG-11,Bouenza,NONE,0.0,CG-11
Congo,Kingoué,Bouenza,,,14399,District,,,#N/A,,BouenzaCongo,,,,,,,,,,,,,,,,region,1,CG-11,Bouenza,NONE,0.0,CG-11
Congo,Mabombo,Bouenza,,,12145,District,,,#N/A,,BouenzaCongo,,,,,,,,,,,,,,,,region,1,CG-11,Bouenza,NONE,0.0,CG-11
Congo,Boko-Songho,Bouenza,,,11563,District,,,#N/A,,BouenzaCongo,,,,,,,,,,,,,,,,region,1,CG-11,Bouenza,NONE,0.0,CG-11
Congo,Yamba,Bouenza,,,11377,District,,,#N/A,,BouenzaCongo,,,,,,,,,,,,,,,,region,1,CG-11,Bouenza,NONE,0.0,CG-11
Congo,Tsiaki,Bouenza,,,10966,District,,,#N/A,,BouenzaCongo,,,,,,,,,,,,,,,,region,1,CG-11,Bouenza,NONE,0.0,CG-11
Congo,Brazzaville,Brazzaville,,,2138236,Commune,Brazzaville,,Brazzaville,,BrazzavilleCongo,,,,,,,,region,1,CG-BZV,Brazzaville (département),,,,,region,1,CG-BZV,Brazzaville (département),HIGH,1.0,CG-BZV
