me,Country,Municipality,Distri rrondissement/County,State/Region (ISO 3166-2),Population,Metro Area,Type,Lookup,Metro Area Check,Code,Part,Township,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
,Switzerland,Aarau (incl. Rohr),Bezirk Aarau,Aargau,22709,Aarau,City,,Aarau,,,,,,,,,,county,2,CH-AG,Aarau,county,2,CH-AG,Aarau,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Suhr,Bezirk Aarau,Aargau,11616,Aarau,Commune,,Aarau,,,,,,,,,,localadmin,,CH-AG,Suhr,county,2,CH-AG,Aarau,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Oberentfelden,Bezirk Aarau,Aargau,8943,Aarau,Commune,,Aarau,,,,,,,,,,localadmin,,CH-AG,Oberentfelden,county,2,CH-AG,Aarau,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Gränichen,Bezirk Aarau,Aargau,8686,Aarau,Commune,,Aarau,,,,,,,,,,localadmin,,CH-AG,Gränichen,county,2,CH-AG,Aarau,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Buchs (AG),Bezirk Aarau,Aargau,8487,Aarau,Commune,,Aarau,,,,,,,,,,localadmin,,CH-AG,Buchs (AG),county,2,CH-AG,Aarau,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Küttigen,Bezirk Aarau,Aargau,6996,Aarau,Commune,,Aarau,,,,,,,,,,localadmin,,CH-AG,Küttigen,county,2,CH-AG,Aarau,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Erlinsbach (AG),Bezirk Aarau,Aargau,4640,Aarau,Commune,,Aarau,,,,,,,,,,localadmin,,CH-AG,Erlinsbach (AG),county,2,CH-AG,Aarau,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Unterentfelden,Bezirk Aarau,Aargau,4548,Aarau,Commune,,Aarau,,,,,,,,,,localadmin,,CH-AG,Unterentfelden,county,2,CH-AG,Aarau,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Muhen,Bezirk Aarau,Aargau,4090,Aarau,Commune,,Aarau,,,,,,,,,,localadmin,,CH-AG,Muhen,county,2,CH-AG,Aarau,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Hirschthal,Bezirk Aarau,Aargau,1763,Aarau,Commune,,Aarau,,,,,,,,,,localadmin,,CH-AG,Hirschthal,county,2,CH-AG,Aarau,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Biberstein,Bezirk Aarau,Aargau,1656,Aarau,Commune,,Aarau,,,,,,,,,,localadmin,,CH-AG,Biberstein,county,2,CH-AG,Aarau,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Densbüren,Bezirk Aarau,Aargau,769,Aarau,Commune,,Aarau,,,,,,,,,,localadmin,,CH-AG,Densbüren,county,2,CH-AG,Aarau,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Baden (incl. Turgi),Bezirk Baden,Aargau,23850,Baden,City,,Baden,,,,,,,,,,county,2,CH-AG,Baden,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Wettingen,Bezirk Baden,Aargau,21847,Baden,City,,Baden,,,,,,,,,,localadmin,,CH-AG,Wettingen,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Spreitenbach,Bezirk Baden,Aargau,12584,Baden,City,,Baden,,,,,,,,,,localadmin,,CH-AG,Spreitenbach,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Neuenhof,Bezirk Baden,Aargau,9207,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Neuenhof,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Obersiggenthal,Bezirk Baden,Aargau,8962,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Obersiggenthal,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Untersiggenthal,Bezirk Baden,Aargau,7810,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Untersiggenthal,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Würenlos,Bezirk Baden,Aargau,6930,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Würenlos,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Mellingen,Bezirk Baden,Aargau,6319,Baden,City,,Baden,,,,,,,,,,localadmin,,CH-AG,Mellingen,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Fislisbach,Bezirk Baden,Aargau,6140,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Fislisbach,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Gebenstorf,Bezirk Baden,Aargau,5805,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Gebenstorf,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Würenlingen,Bezirk Baden,Aargau,5262,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Würenlingen,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Ehrendingen,Bezirk Baden,Aargau,4928,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Ehrendingen,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Niederrohrdorf,Bezirk Baden,Aargau,4695,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Niederrohrdorf,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Oberrohrdorf,Bezirk Baden,Aargau,4284,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Oberrohrdorf,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Ennetbaden,Bezirk Baden,Aargau,3700,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Ennetbaden,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Birmenstorf (AG),Bezirk Baden,Aargau,3065,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Birmenstorf,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Bergdietikon,Bezirk Baden,Aargau,2996,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Bergdietikon,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Stetten (AG),Bezirk Baden,Aargau,2541,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Stetten,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
,Switzerland,Killwangen,Bezirk Baden,Aargau,2300,Baden,Commune,,Baden,,,,,,,,,,localadmin,,CH-AG,Killwangen,county,2,CH-AG,Baden,region,1,CH-AG,Aargau,HIGH,1.0,CH-AG
