Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Côte d'Ivoire,Abidjan,Abidjan,,,6321017,Department,Abidjan,,Abidjan,,AbidjanCôte d'Ivoire,region,1,CI-AB,Abidjan,,,,region,1,CI-AB,Abidjan,,,,,region,1,CI-AB,Abidjan,HIGH,1.0,CI-AB
Côte d'Ivoire,Agboville,Agnéby-Tiassa,,,384340,Department,,,#N/A,,Agnéby-TiassaCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Tiassalé,Agnéby-Tiassa,,,278954,Department,,,#N/A,,Agnéby-TiassaCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Sikensi,Agnéby-Tiassa,,,125897,Department,,,#N/A,,Agnéby-TiassaCôte d'Ivoire,,,,,,,,locality,,CI-LG,Sikensi,,,,,region,1,CI-LG,Lagunes,HIGH,1.0,CI-LG
Côte d'Ivoire,Taabo,Agnéby-Tiassa,,,76761,Department,,,#N/A,,Agnéby-TiassaCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Touba,Bafing,,,120524,Department,,,#N/A,,BafingCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Koro,Bafing,,,76345,Department,,,#N/A,,BafingCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Ouaninou,Bafing,,,65981,Department,,,#N/A,,BafingCôte d'Ivoire,,,,,,,,locality,,CI-WR,Ouaninou,,,,,region,1,CI-WR,Woroba,HIGH,1.0,CI-WR
Côte d'Ivoire,Boundiali,Bagoué,,,198541,Department,,,#N/A,,BagouéCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Kouto,Bagoué,,,175587,Department,,,#N/A,,BagouéCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Tengréla,Bagoué,,,141761,Department,,,#N/A,,BagouéCôte d'Ivoire,,,,,,,,localadmin,,CI-SV,Tengréla,,,,,region,1,CI-SV,Savanes,HIGH,1.0,CI-SV
Côte d'Ivoire,Toumodi,Bélier,,,168363,Department,,,#N/A,,BélierCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Tiébissou,Bélier,,,116321,Department,,,#N/A,,BélierCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Didiévi,Bélier,,,93629,Department,,,#N/A,,BélierCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Djékanou,Bélier,,,37281,Department,,,#N/A,,BélierCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Mankono,Béré (Koyadougou),,,271894,Department,,,#N/A,,Béré (Koyadougou)Côte d'Ivoire,,,,,,,,locality,,CI-WR,Mankono,,,,,region,1,CI-WR,Woroba,HIGH,1.0,CI-WR
Côte d'Ivoire,Dianra,Béré (Koyadougou),,,119146,Department,,,#N/A,,Béré (Koyadougou)Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Kounahiri,Béré (Koyadougou),,,101111,Department,,,#N/A,,Béré (Koyadougou)Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Bouna,Bounkani,,,178081,Department,,,#N/A,,BounkaniCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Doropo,Bounkani,,,93386,Department,,,#N/A,,BounkaniCôte d'Ivoire,,,,,,,,locality,,CI-ZZ,Doropo,,,,,region,1,CI-ZZ,Zanzan,HIGH,1.0,CI-ZZ
Côte d'Ivoire,Téhini,Bounkani,,,83846,Department,,,#N/A,,BounkaniCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Nassian,Bounkani,,,71724,Department,,,#N/A,,BounkaniCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Guiglo,Cavally,,,259381,Department,,,#N/A,,CavallyCôte d'Ivoire,,,,,,,,locality,,CI-MG,Guiglo,,,,,region,1,CI-MG,Montagnes,HIGH,1.0,CI-MG
Côte d'Ivoire,Bloléquin,Cavally,,,237944,Department,,,#N/A,,CavallyCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Taï,Cavally,,,117387,Department,,,#N/A,,CavallyCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Toulépleu,Cavally,,,93529,Department,,,#N/A,,CavallyCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Côte d'Ivoire,Kaniasso,Folon,,,84572,Department,,,#N/A,,FolonCôte d'Ivoire,,,,,,,,locality,,CI-DN,Kaniasso,,,,,region,1,CI-DN,Denguélé,HIGH,1.0,CI-DN
Côte d'Ivoire,Minignan,Folon,,,61637,Department,,,#N/A,,FolonCôte d'Ivoire,,,,,,,,,,,,,,,,,,,,NONE,0.0,
