Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Chile,Antofagasta,Antofagasta,,,468980,Province,Antofagasta,,Antofagasta,,AntofagastaChile,county,2,CL-AN,Provincia de Antofagasta,,,,locality,,CL-AN,Antofagasta,,,,,region,1,CL-AN,Región de Antofagasta,HIGH,1.0,CL-AN
Chile,El Loa,Antofagasta,,,205672,Province,Calama,,Calama,,AntofagastaChile,county,2,CL-AN,Provincia de El Loa,,,,county,2,CL-AN,Provincia de El Loa,,,,,region,1,CL-AN,Región de Antofagasta,HIGH,1.0,CL-AN
Chile,Tocopilla,Antofagasta,,,34985,Province,,,#N/A,,AntofagastaChile,county,2,CL-AN,Provincia de Tocopilla,,,,locality,,CL-AN,Tocopilla,,,,,region,1,CL-AN,Región de Antofagasta,HIGH,1.0,CL-AN
Chile,Arica,Arica y Parinacota,,,254367,Province,Arica,,Arica,,Arica y ParinacotaChile,county,2,CL-AP,Provincia de Arica,,,,locality,,CL-AP,Arica,,,,,region,1,CL-AP,Región de Arica y Parinacota,HIGH,1.0,CL-AP
Chile,Parinacota,Arica y Parinacota,,,3355,Province,,,#N/A,,Arica y ParinacotaChile,county,2,CL-AP,Provincia de Parinacota,,,,county,2,CL-AP,Provincia de Parinacota,,,,,region,1,CL-AP,Región de Arica y Parinacota,HIGH,1.0,CL-AP
Chile,Chañaral,Atacama,,,27246,Province,El Salvador,,El Salvador,,AtacamaChile,county,2,CL-AT,Provincia de Chañaral,,,,locality,,CL-AT,Chañaral,,,,,region,1,CL-AT,Región de Atacama,HIGH,1.0,CL-AT
Chile,Copiapó,Atacama,,,208456,Province,,,#N/A,,AtacamaChile,county,2,CL-AT,Provincia de Copiapó,,,,locality,,CL-AT,Copiapó,,,,,region,1,CL-AT,Región de Atacama,HIGH,1.0,CL-AT
Chile,Huasco,Atacama,,,82302,Province,,,#N/A,,AtacamaChile,county,2,CL-AT,Provincia de Huasco,,,,locality,,CL-AT,Huasco,,,,,region,1,CL-AT,Región de Atacama,HIGH,1.0,CL-AT
Chile,Coyhaique (Coihaique),Aysén,,,62622,Province,,,#N/A,,AysénChile,county,2,CL-AI,Provincia de Coyhaique,,,,county,2,CL-AI,Provincia de Coyhaique,,,,,region,1,CL-AI,Región Aysén del General Carlos Ibáñez del Campo,HIGH,1.0,CL-AI
Chile,Aysén,Aysén,,,32602,Province,,,#N/A,,AysénChile,county,2,CL-AI,Provincia de Aysén,,,,county,2,CL-AI,Provincia de Aysén,,,,,region,1,CL-AI,Región Aysén del General Carlos Ibáñez del Campo,HIGH,1.0,CL-AI
Chile,General Carrera,Aysén,,,7856,Province,,,#N/A,,AysénChile,county,2,CL-AI,Provincia de General Carrera,,,,county,2,CL-AI,Provincia de General Carrera,,,,,region,1,CL-AI,Región Aysén del General Carlos Ibáñez del Campo,HIGH,1.0,CL-AI
Chile,Capitán Prat,Aysén,,,4967,Province,,,#N/A,,AysénChile,county,2,CL-AI,Provincia de Capitán Prat,,,,county,2,CL-AI,Provincia de Capitán Prat,,,,,region,1,CL-AI,Región Aysén del General Carlos Ibáñez del Campo,HIGH,1.0,CL-AI
Chile,Concepción,Biobío,,,1072096,Province,Concepcion,,Concepcion,,BiobíoChile,county,2,CL-BI,Provincia de Concepción,,,,locality,,CL-BI,Concepción,,,,,region,1,CL-BI,Región del Biobío,HIGH,1.0,CL-BI
Chile,Biobío (Bío Bío),Biobío,,,426850,Province,Los Ángeles (Chile),,Los Ángeles (Chile),,BiobíoChile,county,2,CL-BI,Provincia de Bío-Bío,,,,region,1,CL-BI,Región del Biobío,,,,,region,1,CL-BI,Región del Biobío,HIGH,1.0,CL-BI
Chile,Arauco,Biobío,,,177323,Province,,,#N/A,,BiobíoChile,county,2,CL-BI,Provincia de Arauco,,,,locality,,CL-BI,Arauco,,,,,region,1,CL-BI,Región del Biobío,HIGH,1.0,CL-BI
Chile,Elqui,Coquimbo,,,576564,Province,Coquimbo,,Coquimbo,,CoquimboChile,county,2,CL-CO,Provincia de Elqui,,,,county,2,CL-CO,Provincia de Elqui,,,,,region,1,CL-CO,Región de Coquimbo,HIGH,1.0,CL-CO
Chile,Limarí,Coquimbo,,,186235,Province,Coquimbo,,Coquimbo,,CoquimboChile,county,2,CL-CO,Provincia de Limarí,,,,county,2,CL-CO,Provincia de Limarí,,,,,region,1,CL-CO,Región de Coquimbo,HIGH,1.0,CL-CO
Chile,Choapa,Coquimbo,,,95970,Province,Coquimbo,,Coquimbo,,CoquimboChile,county,2,CL-CO,Provincia de Choapa,,,,county,2,CL-CO,Provincia de Choapa,,,,,region,1,CL-CO,Región de Coquimbo,HIGH,1.0,CL-CO
Chile,Cautín,La Araucanía,,,808079,Province,Temuco,,Temuco,,La AraucaníaChile,county,2,CL-AR,Provincia de Cautín,,,,county,2,CL-AR,Provincia de Cautín,,,,,region,1,CL-AR,Región de la Araucanía,HIGH,1.0,CL-AR
Chile,Malleco,La Araucanía,,,215950,Province,,,#N/A,,La AraucaníaChile,county,2,CL-AR,Provincia de Malleco,,,,county,2,CL-AR,Provincia de Malleco,,,,,region,1,CL-AR,Región de la Araucanía,HIGH,1.0,CL-AR
Chile,Osorno,Los Lagos,,,249225,Province,Osorno,,Osorno,,Los LagosChile,county,2,CL-LL,Provincia de Osorno,,,,locality,,CL-LL,Osorno,,,,,region,1,CL-LL,Región de Los Lagos,HIGH,1.0,CL-LL
Chile,Llanquihue,Los Lagos,,,451233,Province,Puerto Montt,,Puerto Montt,,Los LagosChile,county,2,CL-LL,Provincia de Llanquihue,,,,locality,,CL-LL,Llanquihue,,,,,region,1,CL-LL,Región de Los Lagos,HIGH,1.0,CL-LL
Chile,Chiloé,Los Lagos,,,182756,Province,,,#N/A,,Los LagosChile,county,2,CL-LL,Provincia de Chiloé,,,,county,2,CL-LL,Provincia de Chiloé,,,,,region,1,CL-LL,Región de Los Lagos,HIGH,1.0,CL-LL
Chile,Palena,Los Lagos,,,19296,Province,,,#N/A,,Los LagosChile,county,2,CL-LL,Provincia de Palena,,,,locality,,CL-LL,Palena,,,,,region,1,CL-LL,Región de Los Lagos,HIGH,1.0,CL-LL
Chile,Valdivia,Los Ríos,,,311438,Province,Valdivia,,Valdivia,,Los RíosChile,county,2,CL-LR,Provincia de Valdivia,,,,locality,,CL-LR,Valdivia,,,,,region,1,CL-LR,Región de Los Ríos,HIGH,1.0,CL-LR
Chile,Ranco,Los Ríos,,,98121,Province,,,#N/A,,Los RíosChile,county,2,CL-LR,Provincia de Ranco,,,,county,2,CL-LR,Provincia de Ranco,,,,,region,1,CL-LR,Región de Los Ríos,HIGH,1.0,CL-LR
Chile,Magallanes,Magallanes y de la Antártica Chilena,,,145248,Province,Punta Arenas,,Punta Arenas,,Magallanes y de la Antártica ChilenaChile,county,2,CL-MA,Provincia de Magallanes,,,,region,1,CL-MA,Región de Magallanes y de la Antártica Chilena,,,,,region,1,CL-MA,Región de Magallanes y de la Antártica Chilena,HIGH,1.0,CL-MA
Chile,Última Esperanza,Magallanes y de la Antártica Chilena,,,25310,Province,,,#N/A,,Magallanes y de la Antártica ChilenaChile,county,2,CL-MA,Provincia de Última Esperanza,,,,county,2,CL-MA,Provincia de Última Esperanza,,,,,region,1,CL-MA,Región de Magallanes y de la Antártica Chilena,HIGH,1.0,CL-MA
Chile,Tierra del Fuego,Magallanes y de la Antártica Chilena,,,8463,Province,,,#N/A,,Magallanes y de la Antártica ChilenaChile,county,2,CL-MA,Provincia de Tierra del Fuego,,,,county,2,CL-MA,Provincia de Tierra del Fuego,,,,,region,1,CL-MA,Región de Magallanes y de la Antártica Chilena,HIGH,1.0,CL-MA
Chile,Antártica Chilena,Magallanes y de la Antártica Chilena,,,2122,Province,,,#N/A,,Magallanes y de la Antártica ChilenaChile,county,2,CL-MA,Provincia de la Antártica Chilena,,,,,,,,,,,,region,1,CL-MA,Región de Magallanes y de la Antártica Chilena,NONE,0.0,CL-MA
Chile,Curicó,Maule,,,319385,Province,Curicó,,Curicó,,MauleChile,county,2,CL-ML,Provincia de Curicó,,,,locality,,CL-ML,Curicó,,,,,region,1,CL-ML,Región del Maule,HIGH,1.0,CL-ML
Chile,Linares,Maule,,,313126,Province,Linares (Chile),,Linares (Chile),,MauleChile,county,2,CL-ML,Provincia de Linares,,,,locality,,CL-ML,Linares,,,,,region,1,CL-ML,Región del Maule,HIGH,1.0,CL-ML
Chile,Talca,Maule,,,458630,Province,Talca,,Talca,,MauleChile,county,2,CL-ML,Provincia de Talca,,,,locality,,CL-ML,Talca,,,,,region,1,CL-ML,Región del Maule,HIGH,1.0,CL-ML
Chile,Cauquenes,Maule,,,61902,Province,,,#N/A,,MauleChile,county,2,CL-ML,Provincia de Cauquenes,,,,locality,,CL-ML,Cauquenes,,,,,region,1,CL-ML,Región del Maule,HIGH,1.0,CL-ML
