Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Cameroon,Ngaoundéré II,Adamawa,,Vina,84959,City Arrondissement,Ngaoundéré,,Ngaoundéré,2005,AdamawaCameroon,,,,,,,,locality,,CM-AD,Ngaoundéré II,,,,,region,1,CM-AD,Adamaoua,HIGH,1.0,CM-AD
Cameroon,Ngaoundéré I,Adamawa,,Vina,78277,City Arrondissement,Ngaoundéré,,Ngaoundéré,2005,AdamawaCameroon,,,,,,,,locality,,CM-AD,Ngaoundéré I,,,,,region,1,CM-AD,Adamaoua,HIGH,1.0,CM-AD
Cameroon,Ngaoundéré III,Adamawa,,Vina,17527,City Arrondissement,Ngaoundéré,,Ngaoundéré,2005,AdamawaCameroon,,,,,,,,locality,,CM-AD,Ngaoundéré III,,,,,region,1,CM-AD,Adamaoua,HIGH,1.0,CM-AD
Cameroon,Banyo,Adamawa,,Mayo-Banyo,93880,Arrondissement,,,#N/A,2005,AdamawaCameroon,,,,,,,,locality,,CM-AD,Banyo,,,,,region,1,CM-AD,Adamaoua,HIGH,1.0,CM-AD
Cameroon,Meiganga,Adamawa,,Mbéré,88745,Arrondissement,,,#N/A,2005,AdamawaCameroon,,,,,,,,locality,,CM-AD,Meiganga,,,,,region,1,CM-AD,Adamaoua,HIGH,1.0,CM-AD
Cameroon,Tibati,Adamawa,,Djérem,72081,Arrondissement,,,#N/A,2005,AdamawaCameroon,,,,,,,,locality,,CM-AD,Tibati,,,,,region,1,CM-AD,Adamaoua,HIGH,1.0,CM-AD
Cameroon,Bankim,Adamawa,,Mayo-Banyo,70132,Arrondissement,,,#N/A,2005,AdamawaCameroon,,,,,,,,locality,,CM-AD,Bankim,,,,,region,1,CM-AD,Adamaoua,HIGH,1.0,CM-AD
Cameroon,Ngaoundal,Adamawa,,Djérem,52867,Arrondissement,,,#N/A,2005,AdamawaCameroon,,,,,,,,locality,,CM-AD,Ngaoundal,,,,,region,1,CM-AD,Adamaoua,HIGH,1.0,CM-AD
Cameroon,Belel,Adamawa,,Vina,37663,Arrondissement,,,#N/A,2005,AdamawaCameroon,,,,,,,,locality,,CM-AD,Bélel,,,,,region,1,CM-AD,Adamaoua,HIGH,1.0,CM-AD
Cameroon,Dir,Adamawa,,Mbéré,34284,Arrondissement,,,#N/A,2005,AdamawaCameroon,,,,,,,,locality,,CM-AD,Dir,,,,,region,1,CM-AD,Adamaoua,HIGH,1.0,CM-AD
