me,Country,Municipality,Distri rrondissement/County,State/Region (ISO 3166-2),Population,Metro Area,Type,Lookup,Metro Area Check,Code,Part,Township,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
,China,Sùsōng Xiàn,Ānqìng Shì,Anhui,612586,,County,,#N/A,,,,,,,,,,localadmin,,CN-AH,宿松县,county,2,CN-AH,安庆市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Tóngchéng Shì,Ānqìng Shì,Anhui,593629,,County-level City,,#N/A,,,,,,,,,,localadmin,,CN-AH,桐城市,county,2,CN-AH,安庆市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Huáiníng Xiàn,Ānqìng Shì,Anhui,496683,,County,,#N/A,,,,,,,,,,localadmin,,CN-AH,怀宁县,county,2,CN-AH,安庆市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Wàngjiāng Xiàn,Ānqìng Shì,Anhui,462367,,County,,#N/A,,,,,,,,,,localadmin,,CN-AH,望江县,county,2,CN-AH,安庆市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Qiánshān Shì,Ānqìng Shì,Anhui,441224,,County-level City,,#N/A,,,,,,,,,,localadmin,,CN-AH,潜山市,county,2,CN-AH,安庆市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Tàihú Xiàn,Ānqìng Shì,Anhui,430465,,County,,#N/A,,,,,,,,,,localadmin,,CN-AH,太湖县,county,2,CN-AH,安庆市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Yuèxī Xiàn,Ānqìng Shì,Anhui,323837,,County,,#N/A,,,,,,,,,,localadmin,,CN-AH,岳西县,county,2,CN-AH,安庆市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Yíxiù Qū [incl. Ānqìng Economic Development Zone (parts)],Ānqìng Shì,Anhui,311700,,District,,#N/A,,,,,,,,,,county,2,CN-AH,安庆市,county,2,CN-AH,安庆市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Yíngjiāng Qū [incl. Ānqìng Economic Development Zone (parts)],Ānqìng Shì,Anhui,278700,,District,,#N/A,,,,,,,,,,county,2,CN-AH,安庆市,county,2,CN-AH,安庆市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Dàguān Qū,Ānqìng Shì,Anhui,214112,,District,,#N/A,,,,,,,,,,localadmin,,CN-AH,大观区,county,2,CN-AH,安庆市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Huáiyuăn Xiàn,Bèngbù Shì,Anhui,935335,Bengbu,County,,Bengbu,,,,,,,,,,localadmin,,CN-AH,怀远县,county,2,CN-AH,蚌埠市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Wŭhé Xiàn,Bèngbù Shì,Anhui,523531,Bengbu,County,,Bengbu,,,,,,,,,,localadmin,,CN-AH,五河县,county,2,CN-AH,蚌埠市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Gùzhèn Xiàn,Bèngbù Shì,Anhui,501449,Bengbu,County,,Bengbu,,,,,,,,,,localadmin,,CN-AH,固镇县,county,2,CN-AH,蚌埠市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Bèngshān Qū [incl. Bèngbù Economic Development Zone],Bèngbù Shì,Anhui,447682,Bengbu,District,,Bengbu,,,,,,,,,,county,2,CN-AH,蚌埠市,county,2,CN-AH,蚌埠市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Yŭhuì Qū [incl. Bèngbù High-tech Development Zone],Bèngbù Shì,Anhui,387664,Bengbu,District,,Bengbu,,,,,,,,,,county,2,CN-AH,蚌埠市,county,2,CN-AH,蚌埠市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Huáishàng Qū,Bèngbù Shì,Anhui,283872,Bengbu,District,,Bengbu,,,,,,,,,,localadmin,,CN-AH,淮上区,county,2,CN-AH,蚌埠市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Lóngzihú Qū,Bèngbù Shì,Anhui,216875,Bengbu,District,,Bengbu,,,,,,,,,,localadmin,,CN-AH,龙子湖区,county,2,CN-AH,蚌埠市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Qiáochéng Qū,Bózhōu Shì,Anhui,1537231,,District,,#N/A,,,,,,,,,,localadmin,,CN-AH,谯城区,county,2,CN-AH,亳州市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Lìxīn Xiàn,Bózhōu Shì,Anhui,1187254,,County,,#N/A,,,,,,,,,,localadmin,,CN-AH,利辛县,county,2,CN-AH,亳州市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Wōyáng Xiàn,Bózhōu Shì,Anhui,1170719,,County,,#N/A,,,,,,,,,,county,2,CN-AH,亳州市,county,2,CN-AH,亳州市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Mĕngchéng Xiàn,Bózhōu Shì,Anhui,1101640,,County,,#N/A,,,,,,,,,,localadmin,,CN-AH,蒙城县,county,2,CN-AH,亳州市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Guìchí Qū,Chízhōu Shì,Anhui,615274,,District,,#N/A,,,,,,,,,,localadmin,,CN-AH,贵池区,county,2,CN-AH,池州市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Dōngzhì Xiàn,Chízhōu Shì,Anhui,398414,,County,,#N/A,,,,,,,,,,localadmin,,CN-AH,东至县,county,2,CN-AH,池州市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Qīngyáng Xiàn,Chízhōu Shì,Anhui,248464,,County,,#N/A,,,,,,,,,,localadmin,,CN-AH,青阳县,county,2,CN-AH,池州市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
,China,Shítái Xiàn,Chízhōu Shì,Anhui,80612,,County,,#N/A,,,,,,,,,,localadmin,,CN-AH,石台县,county,2,CN-AH,池州市,region,1,CN-AH,安徽省,HIGH,1.0,CN-AH
