Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Curaçao,Bonam,Curaçao,,,8101,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Mahuma,Curaçao,,,6242,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Sint Michiel,Curaçao,,,5732,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Montaña Rey,Curaçao,,,5307,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Santa Rosa,Curaçao,,,5198,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Souax,Curaçao,,,5114,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Brievengat,Curaçao,,,4695,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Buena Vista,Curaçao,,,4687,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Tera Cora,Curaçao,,,4388,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Montaña Abou,Curaçao,,,4382,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Stenen Koraal,Curaçao,,,4251,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Wanapa,Curaçao,,,4239,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Koraal Partier,Curaçao,,,3958,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
Curaçao,Steenrijk,Curaçao,,,3752,Geozone,Willemstad,,Willemstad,,CuraçaoCuraçao,locality,,,Willemstad,,,,,,,,,,,,,,,,NONE,0.0,
