Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Cyprus,Avgórou,Famagusta,,,4925,Community,Achna,,Achna,,FamagustaCyprus,locality,,,Αυγόρου,,,,locality,,nan,Αυγόρου,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Ormídeia,Famagusta,,,4212,Community,Achna,,Achna,,FamagustaCyprus,locality,,,Ορμήδεια,,,,locality,,nan,Ορμήδεια,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Xylotýmvou,Famagusta,,,3784,Community,Achna,,Achna,,FamagustaCyprus,locality,,,Ξυλοτύμβου,,,,locality,,nan,Ξυλοτύμβου,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Áchna [Dasáki Áchnas],Famagusta,,,2182,Community,Achna,,Achna,,FamagustaCyprus,locality,,,Achna,,,,,,,,,,,,region,1,nan,Kyrenia,NONE,0.0,nan
Cyprus,Agía Nápa,Famagusta,,,4716,Municipality,Ayia Napa,,Ayia Napa,,FamagustaCyprus,locality,,,Αγία Νάπα,,,,locality,,nan,Αγία Νάπα,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Paralímni,Famagusta,,,19037,Municipality,Paralimni,,Paralimni,,FamagustaCyprus,locality,,,Παραλίμνι,,,,locality,,nan,Παραλίμνι,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Derýneia,Famagusta,,,6229,Municipality,,,#N/A,,FamagustaCyprus,locality,,,Δερύνεια,,,,locality,,nan,Δερύνεια,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Sotíra,Famagusta,,,5905,Municipality,,,#N/A,,FamagustaCyprus,locality,,,Σωτήρα,,,,locality,,nan,Σωτήρα,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Liopétri,Famagusta,,,4908,Community,,,#N/A,,FamagustaCyprus,locality,,,Λιοπέτρι,,,,locality,,nan,Λιοπέτρι,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Famagusta,Gazimağusa,,,40920,Municipality (Northern),Famagusta,,Famagusta,,GazimağusaCyprus,locality,,,Gazimağusa,,,,region,1,nan,Famagusta,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Yeni Boğaziçi (Ágios Sérgios),Gazimağusa,,,6618,Municipality (Northern),,,#N/A,,GazimağusaCyprus,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Cyprus,Beyarmudu (Pérgamos),Gazimağusa,,,4125,Municipality (Northern),,,#N/A,,GazimağusaCyprus,locality,,,Beyarmudu,,,,locality,,nan,Beyarmudu,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Paşaköy (Áskisi / Ádeia),Gazimağusa,,,3561,Municipality (Northern),,,#N/A,,GazimağusaCyprus,locality,,,Paşaköy,,,,locality,,nan,Paşaköy,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,İnönü (Sínta),Gazimağusa,,,2927,Municipality (Northern),,,#N/A,,GazimağusaCyprus,locality,,,İnönü,,,,locality,,nan,İnönü,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Akdoğan (Lýsi),Gazimağusa,,,2471,Municipality (Northern),,,#N/A,,GazimağusaCyprus,locality,,,Akdoğan,,,,locality,,nan,Akdoğan,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Serdarlı (Kínaidos),Gazimağusa,,,2411,Municipality (Northern),,,#N/A,,GazimağusaCyprus,locality,,,Serdarlı,,,,locality,,nan,Serdarlı,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Vadili (Vatilí),Gazimağusa,,,2390,Municipality (Northern),,,#N/A,,GazimağusaCyprus,locality,,,Vadili,,,,locality,,nan,Vadili,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Geçitkale (Lefkónoiko),Gazimağusa,,,2380,Municipality (Northern),,,#N/A,,GazimağusaCyprus,locality,,,Geçitkale,,,,locality,,nan,Geçitkale,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Tatlısu (Akanthoú),Gazimağusa,,,1459,Municipality (Northern),,,#N/A,,GazimağusaCyprus,locality,,,Tatlısu,,,,locality,,nan,Tatlısu,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Kyrenia,Girne,,,33207,Municipality (Northern),Kyrenia,,Kyrenia,,GirneCyprus,locality,,,Girne,,,,region,1,nan,Kyrenia,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Dikmen (Díkomo),Girne,,,9120,Municipality (Northern),,,#N/A,,GirneCyprus,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Cyprus,Lapta (Girne) (Lápithos),Girne,,,7839,Municipality (Northern),,,#N/A,,GirneCyprus,locality,,,Lapta,,,,locality,,nan,Lapta,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Alsancak (Karavás),Girne,,,6597,Municipality (Northern),,,#N/A,,GirneCyprus,locality,,,Alsancak,,,,locality,,nan,Alsancak,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Çatalköy (Ágios Epíktitos),Girne,,,5652,Municipality (Northern),,,#N/A,,GirneCyprus,locality,,,Çatalköy,,,,locality,,nan,Çatalköy,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Lapta (Çamlıbel) (Lápithos),Girne,,,4279,Municipality (Northern),,,#N/A,,GirneCyprus,locality,,,Lapta,,,,locality,,nan,Lapta,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Esentepe (Ágios Amvrósios),Girne,,,2414,Municipality (Northern),,,#N/A,,GirneCyprus,locality,,,Esentepe,,,,locality,,nan,Esentepe,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Karaman (Yukarı Karmi) (Kármi),Girne,,,55,Municipality (Northern),,,#N/A,,GirneCyprus,locality,,,Karaman,,,,locality,,nan,Karaman,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Morphou,Güzelyurt,,,18946,Municipality (Northern),Morphou,,Morphou,,GüzelyurtCyprus,locality,,,Güzelyurt,,,,locality,,nan,Güzelyurt,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,İskele (Tríkomo),İskele,,,7906,Municipality (Northern),,,#N/A,,İskeleCyprus,locality,,,İskele,,,,locality,,nan,İskele,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
Cyprus,Yeni Erenköy (Aigialoúsa),İskele,,,5627,Municipality (Northern),,,#N/A,,İskeleCyprus,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Cyprus,Mehmetçik (Galáteia),İskele,,,3729,Municipality (Northern),,,#N/A,,İskeleCyprus,locality,,,Mehmetçik,,,,locality,,nan,Mehmetçik,,,,,region,1,nan,Kyrenia,HIGH,1.0,nan
