Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Czech Republic,Benešov,Central Bohemia,,,100347,District,Benešov,,Benešov,,Central BohemiaCzech Republic,county,2,CZ-20,okres Benešov,,,,locality,,CZ-63,Benešov,,,,,region,1,CZ-63,Kraj Vysočina,HIGH,1.0,CZ-63
Czech Republic,Kutná Hora,Central Bohemia,,,74918,District,Kutná Hora,,Kutná Hora,,Central BohemiaCzech Republic,county,2,CZ-20,okres Kutná Hora,,,,locality,,CZ-20,Kutná Hora,,,,,region,1,CZ-20,Středočeský kraj,HIGH,1.0,CZ-20
Czech Republic,Mladá Boleslav,Central Bohemia,,,128901,District,Mladá Boleslav,,Mladá Boleslav,,Central BohemiaCzech Republic,county,2,CZ-20,okres Mladá Boleslav,,,,locality,,CZ-20,Mladá Boleslav,,,,,region,1,CZ-20,Středočeský kraj,HIGH,1.0,CZ-20
Czech Republic,Prague East,Central Bohemia,,,197477,District,Prague,,Prague,,Central BohemiaCzech Republic,county,2,CZ-20,okres Praha-východ,,,,,,,,,,,,,,,,NONE,0.0,
Czech Republic,Kladno,Central Bohemia,,,166771,District,Prague,,Prague,,Central BohemiaCzech Republic,county,2,CZ-20,okres Kladno,,,,localadmin,,CZ-20,Kladno,,,,,region,1,CZ-20,Středočeský kraj,HIGH,1.0,CZ-20
Czech Republic,Prague West,Central Bohemia,,,161593,District,Prague,,Prague,,Central BohemiaCzech Republic,county,2,CZ-20,okres Praha-západ,,,,,,,,,,,,,,,,NONE,0.0,
Czech Republic,Mělník,Central Bohemia,,,110243,District,Prague,,Prague,,Central BohemiaCzech Republic,county,2,CZ-20,okres Mělník,,,,localadmin,,CZ-20,Mělník,,,,,region,1,CZ-20,Středočeský kraj,HIGH,1.0,CZ-20
Czech Republic,Beroun,Central Bohemia,,,98073,District,Prague,,Prague,,Central BohemiaCzech Republic,county,2,CZ-20,okres Beroun,,,,localadmin,,CZ-20,Beroun,,,,,region,1,CZ-20,Středočeský kraj,HIGH,1.0,CZ-20
Czech Republic,Příbram,Central Bohemia,,,115001,District,Příbram,,Příbram,,Central BohemiaCzech Republic,county,2,CZ-20,okres Příbram,,,,localadmin,,CZ-20,Příbram,,,,,region,1,CZ-20,Středočeský kraj,HIGH,1.0,CZ-20
Czech Republic,Kolín,Central Bohemia,,,104227,District,,,#N/A,,Central BohemiaCzech Republic,county,2,CZ-20,okres Kolín,,,,localadmin,,CZ-20,Kolín,,,,,region,1,CZ-20,Středočeský kraj,HIGH,1.0,CZ-20
Czech Republic,Nymburk,Central Bohemia,,,102727,District,,,#N/A,,Central BohemiaCzech Republic,county,2,CZ-20,okres Nymburk,,,,localadmin,,CZ-20,Nymburk,,,,,region,1,CZ-20,Středočeský kraj,HIGH,1.0,CZ-20
Czech Republic,Rakovník,Central Bohemia,,,55185,District,,,#N/A,,Central BohemiaCzech Republic,county,2,CZ-20,okres Rakovník,,,,locality,,CZ-20,Rakovník,,,,,region,1,CZ-20,Středočeský kraj,HIGH,1.0,CZ-20
Czech Republic,Hradec Králové,Hradec Králové,,,163175,District,Hradec Králové,,Hradec Králové,,Hradec KrálovéCzech Republic,county,2,CZ-52,okres Hradec Králové,,,,localadmin,,CZ-52,Hradec Králové,,,,,region,1,CZ-52,Královéhradecký kraj,HIGH,1.0,CZ-52
Czech Republic,Náchod,Hradec Králové,,,105314,District,Náchod,,Náchod,,Hradec KrálovéCzech Republic,county,2,CZ-52,okres Náchod,,,,locality,,CZ-52,Náchod,,,,,region,1,CZ-52,Královéhradecký kraj,HIGH,1.0,CZ-52
Czech Republic,Trutnov,Hradec Králové,,,113530,District,,,#N/A,,Hradec KrálovéCzech Republic,county,2,CZ-52,okres Trutnov,,,,locality,,CZ-52,Trutnov,,,,,region,1,CZ-52,Královéhradecký kraj,HIGH,1.0,CZ-52
Czech Republic,Jičín,Hradec Králové,,,78704,District,,,#N/A,,Hradec KrálovéCzech Republic,county,2,CZ-52,okres Jičín,,,,localadmin,,CZ-52,Jičín,,,,,region,1,CZ-52,Královéhradecký kraj,HIGH,1.0,CZ-52
Czech Republic,Rychnov nad Kněžnou,Hradec Králové,,,77580,District,,,#N/A,,Hradec KrálovéCzech Republic,county,2,CZ-52,okres Rychnov nad Kněžnou,,,,locality,,CZ-52,Rychnov nad Kněžnou,,,,,region,1,CZ-52,Královéhradecký kraj,HIGH,1.0,CZ-52
Czech Republic,Karlovy Vary,Karlovy Vary,,,108705,District,Karlovy Vary,,Karlovy Vary,,Karlovy VaryCzech Republic,county,2,CZ-41,okres Karlovy Vary,,,,locality,,CZ-41,Karlovy Vary,,,,,region,1,CZ-41,Karlovarský kraj,HIGH,1.0,CZ-41
Czech Republic,Sokolov,Karlovy Vary,,,83987,District,Sokolov,,Sokolov,,Karlovy VaryCzech Republic,county,2,CZ-41,okres Sokolov,,,,localadmin,,CZ-41,Sokolov,,,,,region,1,CZ-41,Karlovarský kraj,HIGH,1.0,CZ-41
Czech Republic,Cheb,Karlovy Vary,,,86411,District,,,#N/A,,Karlovy VaryCzech Republic,county,2,CZ-41,okres Cheb,,,,localadmin,,CZ-41,Cheb,,,,,region,1,CZ-41,Karlovarský kraj,HIGH,1.0,CZ-41
Czech Republic,Jablonec nad Nisou,Liberec,,,89446,District,Jablonec,,Jablonec,,LiberecCzech Republic,county,2,CZ-51,okres Jablonec nad Nisou,,,,localadmin,,CZ-51,Jablonec nad Nisou,,,,,region,1,CZ-51,Liberecký kraj,HIGH,1.0,CZ-51
Czech Republic,Liberec,Liberec,,,174225,District,Liberec,,Liberec,,LiberecCzech Republic,county,2,CZ-51,okres Liberec,,,,locality,,CZ-51,Liberec,,,,,region,1,CZ-51,Liberecký kraj,HIGH,1.0,CZ-51
Czech Republic,Česká Lípa,Liberec,,,100959,District,,,#N/A,,LiberecCzech Republic,county,2,CZ-51,okres Česká Lípa,,,,localadmin,,CZ-51,Česká Lípa,,,,,region,1,CZ-51,Liberecký kraj,HIGH,1.0,CZ-51
Czech Republic,Semily,Liberec,,,70590,District,,,#N/A,,LiberecCzech Republic,county,2,CZ-51,okres Semily,,,,localadmin,,CZ-51,Semily,,,,,region,1,CZ-51,Liberecký kraj,HIGH,1.0,CZ-51
Czech Republic,Frýdek-Místek,Moravia-Silesia,,,209322,District,Frýdek-Místek,,Frýdek-Místek,,Moravia-SilesiaCzech Republic,county,2,CZ-80,okres Frýdek-Místek,,,,localadmin,,CZ-80,Frýdek-Místek,,,,,region,1,CZ-80,Moravskoslezský kraj,HIGH,1.0,CZ-80
Czech Republic,Karviná,Moravia-Silesia,,,235579,District,Karviná,,Karviná,,Moravia-SilesiaCzech Republic,county,2,CZ-80,okres Karviná,,,,localadmin,,CZ-80,Karviná,,,,,region,1,CZ-80,Moravskoslezský kraj,HIGH,1.0,CZ-80
Czech Republic,Opava,Moravia-Silesia,,,171502,District,Opava,,Opava,,Moravia-SilesiaCzech Republic,county,2,CZ-80,okres Opava,,,,localadmin,,CZ-80,Opava,,,,,region,1,CZ-80,Moravskoslezský kraj,HIGH,1.0,CZ-80
Czech Republic,Ostrava,Moravia-Silesia,,,313857,District,Ostrava,,Ostrava,,Moravia-SilesiaCzech Republic,county,2,CZ-80,okres Ostrava-město,,,,localadmin,,CZ-80,Ostrava,,,,,region,1,CZ-80,Moravskoslezský kraj,HIGH,1.0,CZ-80
Czech Republic,Nový Jičín,Moravia-Silesia,,,146366,District,,,#N/A,,Moravia-SilesiaCzech Republic,county,2,CZ-80,okres Nový Jičín,,,,localadmin,,CZ-80,Nový Jičín,,,,,region,1,CZ-80,Moravskoslezský kraj,HIGH,1.0,CZ-80
Czech Republic,Bruntál,Moravia-Silesia,,,86215,District,,,#N/A,,Moravia-SilesiaCzech Republic,county,2,CZ-80,okres Bruntál,,,,localadmin,,CZ-80,Bruntál,,,,,region,1,CZ-80,Moravskoslezský kraj,HIGH,1.0,CZ-80
Czech Republic,Olomouc,Olomouc,,,237291,District,Olomouc,,Olomouc,,OlomoucCzech Republic,county,2,CZ-71,okres Olomouc,,,,localadmin,,CZ-71,Olomouc,,,,,region,1,CZ-71,Olomoucký kraj,HIGH,1.0,CZ-71
Czech Republic,Přerov,Olomouc,,,124129,District,Přerov,,Přerov,,OlomoucCzech Republic,county,2,CZ-71,okres Přerov,,,,localadmin,,CZ-71,Přerov,,,,,region,1,CZ-71,Olomoucký kraj,HIGH,1.0,CZ-71
Czech Republic,Prostějov,Olomouc,,,106358,District,Prostějov,,Prostějov,,OlomoucCzech Republic,county,2,CZ-71,okres Prostějov,,,,locality,,CZ-71,Prostějov,,,,,region,1,CZ-71,Olomoucký kraj,HIGH,1.0,CZ-71
Czech Republic,Šumperk,Olomouc,,,116539,District,,,#N/A,,OlomoucCzech Republic,county,2,CZ-71,okres Šumperk,,,,locality,,CZ-71,Šumperk,,,,,region,1,CZ-71,Olomoucký kraj,HIGH,1.0,CZ-71
Czech Republic,Jeseník,Olomouc,,,35471,District,,,#N/A,,OlomoucCzech Republic,county,2,CZ-71,okres Jeseník,,,,localadmin,,CZ-71,Jeseník,,,,,region,1,CZ-71,Olomoucký kraj,HIGH,1.0,CZ-71
Czech Republic,Chrudim,Pardubice,,,102743,District,Chrudim,,Chrudim,,PardubiceCzech Republic,county,2,CZ-53,okres Chrudim,,,,localadmin,,CZ-53,Chrudim,,,,,region,1,CZ-53,Pardubický kraj,HIGH,1.0,CZ-53
