Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Algeria,Adrar,Adrar,,,64781,Province Capital,,,#N/A,2008,AdrarAlgeria,county,2,DZ-01,Daïra Adrar,,,,region,1,DZ-01,Adrar,,,,,region,1,DZ-01,Adrar,HIGH,1.0,DZ-01
Algeria,Aoulef,Adrar,,,21723,Commune,,,#N/A,2008,AdrarAlgeria,locality,,DZ-01,Aoulef,,,,locality,,DZ-01,Aoulef,,,,,region,1,DZ-01,Adrar,HIGH,1.0,DZ-01
Algeria,Reggane,Adrar,,,20402,Commune,,,#N/A,2008,AdrarAlgeria,county,2,DZ-01,Daïra de Reggane,,,,county,2,DZ-01,Daïra de Reggane,,,,,region,1,DZ-01,Adrar,HIGH,1.0,DZ-01
Algeria,Tamekten,Adrar,,,18598,Commune,,,#N/A,2008,AdrarAlgeria,locality,,DZ-01,Timokten,,,,locality,,DZ-01,Timokten,,,,,region,1,DZ-01,Adrar,HIGH,1.0,DZ-01
Algeria,Zaouiet Kounta,Adrar,,,17116,Commune,,,#N/A,2008,AdrarAlgeria,locality,,DZ-01,زاوية كنتة,,,,locality,,DZ-01,زاوية كنتة,,,,,region,1,DZ-01,Adrar,HIGH,1.0,DZ-01
Algeria,In Zghmir,Adrar,,,16185,Commune,,,#N/A,2008,AdrarAlgeria,locality,,DZ-01,إن زغمير,,,,locality,,DZ-01,إن زغمير,,,,,region,1,DZ-01,Adrar,HIGH,1.0,DZ-01
Algeria,Tsabit,Adrar,,,14895,Commune,,,#N/A,2008,AdrarAlgeria,county,2,DZ-01,Daïra Tsabit,,,,county,2,DZ-01,Daïra Tsabit,,,,,region,1,DZ-01,Adrar,HIGH,1.0,DZ-01
Algeria,Ouled Ahmed Tammi,Adrar,,,13547,Commune,,,#N/A,2008,AdrarAlgeria,locality,,DZ-01,أولاد أحمد تيمي,,,,locality,,DZ-01,أولاد أحمد تيمي,,,,,region,1,DZ-01,Adrar,HIGH,1.0,DZ-01
Algeria,Sali,Adrar,,,13138,Commune,,,#N/A,2008,AdrarAlgeria,locality,,DZ-01,سالي,,,,locality,,DZ-01,سالي,,,,,region,1,DZ-01,Adrar,HIGH,1.0,DZ-01
Algeria,Talmine,Adrar,,,12768,Commune,,,#N/A,2008,AdrarAlgeria,,,,,,,,,,,,,,,,region,1,DZ-01,Adrar,NONE,0.0,DZ-01
Algeria,Fenoughil,Adrar,,,11793,Commune,,,#N/A,2008,AdrarAlgeria,locality,,DZ-01,فنوغيل,,,,locality,,DZ-01,فنوغيل,,,,,region,1,DZ-01,Adrar,HIGH,1.0,DZ-01
Algeria,Akabli,Adrar,,,10171,Commune,,,#N/A,2008,AdrarAlgeria,locality,,DZ-01,Akabli,,,,locality,,DZ-01,Akabli,,,,,region,1,DZ-01,Adrar,HIGH,1.0,DZ-01
