Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Estonia,Tallinn,Harju,,,437817,Urban Municipality,Talinn,,Talinn,,HarjuEstonia,county,2,EE-37,Tallinn,,,,county,2,EE-37,Tallinn,,,,,region,1,EE-37,Harju maakond,HIGH,1.0,EE-37
Estonia,Saue,Harju,,,24111,Rural Municipality,Talinn,,Talinn,,HarjuEstonia,county,2,EE-37,Saue vald,,,,locality,,EE-37,Saue linn,,,,,region,1,EE-37,Harju maakond,HIGH,1.0,EE-37
Estonia,Rae,Harju,,,22900,Rural Municipality,Talinn,,Talinn,,HarjuEstonia,county,2,EE-37,Rae vald,,,,locality,,EE-37,Rae küla,,,,,region,1,EE-37,Harju maakond,HIGH,1.0,EE-37
Estonia,Viimsi,Harju,,,21872,Rural Municipality,Talinn,,Talinn,,HarjuEstonia,county,2,EE-37,Viimsi vald,,,,locality,,EE-37,Viimsi alevik,,,,,region,1,EE-37,Harju maakond,HIGH,1.0,EE-37
Estonia,Harku,Harju,,,16380,Rural Municipality,Talinn,,Talinn,,HarjuEstonia,county,2,EE-37,Harku vald,,,,locality,,EE-37,Harku alevik,,,,,region,1,EE-37,Harju maakond,HIGH,1.0,EE-37
Estonia,Maardu linn,Harju,,,16170,Urban Municipality,Talinn,,Talinn,,HarjuEstonia,county,2,EE-37,Maardu linn,,,,county,2,EE-37,Maardu linn,,,,,region,1,EE-37,Harju maakond,HIGH,1.0,EE-37
Estonia,Lääne-Harju,Harju,,,12997,Rural Municipality,Talinn,,Talinn,,HarjuEstonia,county,2,EE-37,Lääne-Harju vald,,,,county,2,EE-37,Lääne-Harju vald,,,,,region,1,EE-37,Harju maakond,LOW,0.865,EE-37
Estonia,Saku,Harju,,,11001,Rural Municipality,Talinn,,Talinn,,HarjuEstonia,county,2,EE-37,Saku vald,,,,locality,,EE-37,Saku alevik,,,,,region,1,EE-37,Harju maakond,HIGH,1.0,EE-37
Estonia,Keila linn,Harju,,,10499,Urban Municipality,Talinn,,Talinn,,HarjuEstonia,county,2,EE-37,Keila linn,,,,locality,,EE-37,Keila linn,,,,,region,1,EE-37,Harju maakond,HIGH,1.0,EE-37
Estonia,Jõelähtme,Harju,,,6970,Rural Municipality,Talinn,,Talinn,,HarjuEstonia,county,2,EE-37,Jõelähtme vald,,,,locality,,EE-37,Jõelähtme küla,,,,,region,1,EE-37,Harju maakond,LOW,0.833,EE-37
