Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Ethiopia,Kolfe Keraniyo,Addis Ababa,,,604226,Sub City,Addis Ababa,,Addis Ababa,,Addis AbabaEthiopia,region,1,ET-AA,አዲስ አበባ أديس أبابا,,,,,,,,,,,,region,1,ET-AA,አዲስ አበባ أديس أبابا,NONE,0.0,ET-AA
Ethiopia,Yeka,Addis Ababa,,,488537,Sub City,Addis Ababa,,Addis Ababa,,Addis AbabaEthiopia,region,1,ET-AA,አዲስ አበባ أديس أبابا,,,,,,,,,,,,region,1,ET-AA,አዲስ አበባ أديس أبابا,NONE,0.0,ET-AA
Ethiopia,Nefas Silk-Lafto,Addis Ababa,,,445683,Sub City,Addis Ababa,,Addis Ababa,,Addis AbabaEthiopia,region,1,ET-AA,አዲስ አበባ أديس أبابا,,,,,,,,,,,,region,1,ET-AA,አዲስ አበባ أديس أبابا,NONE,0.0,ET-AA
Ethiopia,Bole,Addis Ababa,,,435421,Sub City,Addis Ababa,,Addis Ababa,,Addis AbabaEthiopia,region,1,ET-AA,አዲስ አበባ أديس أبابا,,,,,,,,,,,,region,1,ET-AA,አዲስ አበባ أديس أبابا,NONE,0.0,ET-AA
Ethiopia,Gulele,Addis Ababa,,,377032,Sub City,Addis Ababa,,Addis Ababa,,Addis AbabaEthiopia,region,1,ET-AA,አዲስ አበባ أديس أبابا,,,,,,,,,,,,region,1,ET-AA,አዲስ አበባ أديس أبابا,NONE,0.0,ET-AA
Ethiopia,Addis Ketema,Addis Ababa,,,359735,Sub City,Addis Ababa,,Addis Ababa,,Addis AbabaEthiopia,region,1,ET-AA,አዲስ አበባ أديس أبابا,,,,,,,,,,,,region,1,ET-AA,አዲስ አበባ أديس أبابا,NONE,0.0,ET-AA
Ethiopia,Kirkos,Addis Ababa,,,311765,Sub City,Addis Ababa,,Addis Ababa,,Addis AbabaEthiopia,region,1,ET-AA,አዲስ አበባ أديس أبابا,,,,,,,,,,,,region,1,ET-AA,አዲስ አበባ أديس أبابا,NONE,0.0,ET-AA
Ethiopia,Arada,Addis Ababa,,,298044,Sub City,Addis Ababa,,Addis Ababa,,Addis AbabaEthiopia,region,1,ET-AA,አዲስ አበባ أديس أبابا,,,,,,,,,,,,region,1,ET-AA,አዲስ አበባ أديس أبابا,NONE,0.0,ET-AA
Ethiopia,Lideta,Addis Ababa,,,284208,Sub City,Addis Ababa,,Addis Ababa,,Addis AbabaEthiopia,region,1,ET-AA,አዲስ አበባ أديس أبابا,,,,,,,,,,,,region,1,ET-AA,አዲስ አበባ أديس أبابا,NONE,0.0,ET-AA
Ethiopia,Akaki Kaliti,Addis Ababa,,,255348,Sub City,Addis Ababa,,Addis Ababa,,Addis AbabaEthiopia,region,1,ET-AA,አዲስ አበባ أديس أبابا,,,,,,,,,,,,region,1,ET-AA,አዲስ አበባ أديس أبابا,NONE,0.0,ET-AA
