Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Finland,Mariehamn,Åland Islands,,,11957,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Jomala,Åland Islands,,,5817,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Finström,Åland Islands,,,2625,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Lemland,Åland Islands,,,2139,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Saltvik,Åland Islands,,,1802,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Hammarland,Åland Islands,,,1644,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Sund,Åland Islands,,,1018,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,locality,,FI-12,Sunti,,,,,region,1,FI-12,Österbotten,HIGH,1.0,FI-12
Finland,Eckerö,Åland Islands,,,961,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Geta,Åland Islands,,,512,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Föglö,Åland Islands,,,512,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Vårdö,Åland Islands,,,465,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,locality,,FI-18,Vartiosaari,,,,,region,1,FI-18,Uusimaa,HIGH,1.0,FI-18
Finland,Brändö,Åland Islands,,,430,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,locality,,FI-18,Kulosaari,,,,,region,1,FI-18,Uusimaa,HIGH,1.0,FI-18
Finland,Lumparland,Åland Islands,,,371,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Kumlinge,Åland Islands,,,271,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Kökar,Åland Islands,,,211,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Sottunga,Åland Islands,,,101,Municipality,Mariehamn,,Mariehamn,2025,Åland IslandsFinland,,,,,,,,,,,,,,,,,NONE,0.0,
Finland,Jyväskylä,Central Finland,,,144473,Municipality,Jyvaskyla,,Jyvaskyla,2025,Central FinlandFinland,,,,,locality,,FI-08,Jyväskylä,,,,,region,1,FI-08,Keski-Suomi,HIGH,1.0,FI-08
Finland,Jämsä,Central Finland,,,19767,Municipality,,,#N/A,2025,Central FinlandFinland,,,,,locality,,FI-08,Jämsä,,,,,region,1,FI-08,Keski-Suomi,HIGH,1.0,FI-08
Finland,Laukaa,Central Finland,,,18788,Municipality,,,#N/A,2025,Central FinlandFinland,,,,,locality,,FI-08,Laukaa,,,,,region,1,FI-08,Keski-Suomi,HIGH,1.0,FI-08
Finland,Äänekoski,Central Finland,,,18318,Municipality,,,#N/A,2025,Central FinlandFinland,,,,,locality,,FI-08,Äänekoski,,,,,region,1,FI-08,Keski-Suomi,HIGH,1.0,FI-08
Finland,Muurame,Central Finland,,,10426,Municipality,,,#N/A,2025,Central FinlandFinland,,,,,locality,,FI-08,Muurame,,,,,region,1,FI-08,Keski-Suomi,HIGH,1.0,FI-08
Finland,Keuruu,Central Finland,,,9443,Municipality,,,#N/A,2025,Central FinlandFinland,,,,,locality,,FI-08,Keuruu,,,,,region,1,FI-08,Keski-Suomi,HIGH,1.0,FI-08
Finland,Saarijärvi,Central Finland,,,9117,Municipality,,,#N/A,2025,Central FinlandFinland,,,,,locality,,FI-08,Saarijärvi,,,,,region,1,FI-08,Keski-Suomi,HIGH,1.0,FI-08
