Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Fiji,Vuda,Ba,,,99264,Tikina,Lautoka,,Lautoka,,BaFiji,county,2,FJ-W,Ba,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Nadi,Ba,,,59717,Tikina,Nadi,,Nadi,,BaFiji,county,2,FJ-W,Ba,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Ba,Ba,,,39372,Tikina,,,#N/A,,BaFiji,,,,,,,,county,2,FJ-W,Ba,,,,,region,1,FJ-W,Western,HIGH,1.0,FJ-W
Fiji,Tavua,Ba,,,23269,Tikina,,,#N/A,,BaFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Nawaka,Ba,,,16121,Tikina,,,#N/A,,BaFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Magodro,Ba,,,4806,Tikina,,,#N/A,,BaFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Naviti,Ba,,,2910,Tikina,,,#N/A,,BaFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Yasawa,Ba,,,2226,Tikina,,,#N/A,,BaFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Bua,Bua,,,6153,Tikina,,,#N/A,,BuaFiji,,,,,,,,county,2,FJ-N,Bua,,,,,region,1,FJ-N,Northern,HIGH,1.0,FJ-N
Fiji,Vuya,Bua,,,4844,Tikina,,,#N/A,,BuaFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Wainunu,Bua,,,4492,Tikina,,,#N/A,,BuaFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Cakaudrove,Cakaudrove,,,14599,Tikina,,,#N/A,,CakaudroveFiji,,,,,,,,county,2,FJ-N,Cakaudrove,,,,,region,1,FJ-N,Northern,HIGH,1.0,FJ-N
Fiji,Nasavusavu,Cakaudrove,,,12592,Tikina,,,#N/A,,CakaudroveFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Wailevu,Cakaudrove,,,6363,Tikina,,,#N/A,,CakaudroveFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Wainikeli,Cakaudrove,,,4486,Tikina,,,#N/A,,CakaudroveFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Vaturova,Cakaudrove,,,4196,Tikina,,,#N/A,,CakaudroveFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Tunuloa,Cakaudrove,,,3843,Tikina,,,#N/A,,CakaudroveFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Rabi,Cakaudrove,,,2334,Tikina,,,#N/A,,CakaudroveFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Saqani,Cakaudrove,,,2034,Tikina,,,#N/A,,CakaudroveFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Tavuki,Kadavu,,,4033,Tikina,,,#N/A,,KadavuFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Nabukelevu,Kadavu,,,2591,Tikina,,,#N/A,,KadavuFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Nakasaleka,Kadavu,,,2479,Tikina,,,#N/A,,KadavuFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Naceva,Kadavu,,,1766,Tikina,,,#N/A,,KadavuFiji,,,,,,,,locality,,FJ-E,Naceva,,,,,region,1,FJ-E,Eastern,HIGH,1.0,FJ-E
Fiji,Lakeba,Lau,,,1557,Tikina,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Moala,Lau,,,1383,Tikina,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Cicia,Lau,,,1028,Tikina,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Lomaloma,Lau,,,915,Tikina,,,#N/A,,LauFiji,,,,,,,,locality,,FJ-E,Lomaloma,,,,,region,1,FJ-E,Eastern,HIGH,1.0,FJ-E
Fiji,Mualevu,Lau,,,838,Tikina,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Kabara,Lau,,,656,Tikina,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Totoya,Lau,,,624,Tikina,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Ono,Lau,,,524,Tikina,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Matuku,Lau,,,522,Tikina,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Moce,Lau,,,428,Tikina,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Vulaga (Fulaga),Lau,,,332,Tikina,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Nayau,Lau,,,293,Tikina,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Other Lau Islands,Lau,,,292,Island,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Oneata,Lau,,,147,Tikina,,,#N/A,,LauFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Ovalau,Lomaiviti,,,9606,Tikina,,,#N/A,,LomaivitiFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Koro,Lomaiviti,,,2937,Tikina,,,#N/A,,LomaivitiFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Fiji,Gau,Lomaiviti,,,2185,Tikina,,,#N/A,,LomaivitiFiji,,,,,,,,,,,,,,,,,,,,NONE,0.0,
