Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Faroe Islands,Klaksvíkar,Klaksvík,,,5478,Municipality,Klaksvík,,Klaksvík,,KlaksvíkFaroe Islands,locality,,,Klaksvík,,,,,,,,,,,,,,,,NONE,0.0,
Faroe Islands,Hvannasunds,Klaksvík,,,426,Municipality,,,#N/A,,KlaksvíkFaroe Islands,locality,,,Sund,,,,,,,,,,,,,,,,NONE,0.0,
Faroe Islands,Viðareiðis,Norðoyggjar,,,344,Municipality,,,#N/A,,NorðoyggjarFaroe Islands,locality,,,Eiði,,,,,,,,,,,,,,,,NONE,0.0,
Faroe Islands,Kunoyar,Norðoyggjar,,,154,Municipality,,,#N/A,,NorðoyggjarFaroe Islands,locality,,,Kunoy,,,,,,,,,,,,,,,,NONE,0.0,
Faroe Islands,Fugloyar,Norðoyggjar,,,42,Municipality,,,#N/A,,NorðoyggjarFaroe Islands,dependency,1,,Føroyar,,,,,,,,,,,,,,,,NONE,0.0,
Faroe Islands,Fuglafjarðar,Northern Eysturoy,,,1633,Municipality,Fuglafjørður,,Fuglafjørður,,Northern EysturoyFaroe Islands,locality,,,Fuglafjørður,,,,,,,,,,,,,,,,NONE,0.0,
Faroe Islands,Eiðis,Northern Eysturoy,,,806,Municipality,,,#N/A,,Northern EysturoyFaroe Islands,locality,,,Eiði,,,,,,,,,,,,,,,,NONE,0.0,
Faroe Islands,Sunda,Northern Streymoy,,,1828,Municipality,Sunda,,Sunda,,Northern StreymoyFaroe Islands,locality,,,Sund,,,,,,,,,,,,,,,,NONE,0.0,
Faroe Islands,Sands,Sandoy,,,529,Municipality,Sandur,,Sandur,,SandoyFaroe Islands,locality,,,Sandur,,,,,,,,,,,,,,,,NONE,0.0,
Faroe Islands,Skopunar,Sandoy,,,472,Municipality,Sandur,,Sandur,,SandoyFaroe Islands,locality,,,Sandur,,,,,,,,,,,,,,,,NONE,0.0,
