Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Georgia,Aqwa [Sukhumi],Abkhazia,,,65087,City,Sukhumi,,Sukhumi,,AbkhaziaGeorgia,county,2,GE-AB,Аҟəа,,,,,,,,,,,,,,,,NONE,0.0,
Georgia,Gagra,Abkhazia,,,38656,District,,,#N/A,,AbkhaziaGeorgia,county,2,GE-AB,Гагра араион,,,,county,2,GE-AB,Гагра араион,,,,,region,1,GE-AB,აფხაზეთის ავტონომიური რესპუბლიკა - Аԥснытәи Автономтә Республика,HIGH,1.0,GE-AB
Georgia,Gwdouţa [Gudauta],Abkhazia,,,38646,District,,,#N/A,,AbkhaziaGeorgia,county,2,GE-AB,Гәдоуҭа араион,,,,,,,,,,,,,,,,NONE,0.0,
Georgia,Gal [Gali],Abkhazia,,,30276,District,,,#N/A,,AbkhaziaGeorgia,county,2,GE-AB,Гал араион,,,,,,,,,,,,,,,,NONE,0.0,
Georgia,Očamčyra [Ochamchira],Abkhazia,,,25994,District,,,#N/A,,AbkhaziaGeorgia,county,2,GE-AB,Очамчыра араион,,,,,,,,,,,,,,,,NONE,0.0,
Georgia,Gwylryphš' [Gulripshi],Abkhazia,,,17620,District,,,#N/A,,AbkhaziaGeorgia,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Georgia,Tqwarčal [Tkvarcheli],Abkhazia,,,16420,District,,,#N/A,,AbkhaziaGeorgia,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Georgia,Aqwa (araion) [Sukhumi],Abkhazia,,,11259,District,,,#N/A,,AbkhaziaGeorgia,county,2,GE-AB,Аҟəа,,,,county,2,GE-AB,Аҟəа,,,,,region,1,GE-AB,აფხაზეთის ავტონომიური რესპუბლიკა - Аԥснытәи Автономтә Республика,HIGH,1.0,GE-AB
Georgia,Batumi,Adjara,,,234600,City,Batumi,,Batumi,,AdjaraGeorgia,county,2,GE-AJ,ბათუმი,,,,county,2,GE-AJ,ბათუმი,,,,,region,1,GE-AJ,აჭარის ავტონომიური რესპუბლიკა,HIGH,1.0,GE-AJ
Georgia,Kobuleti,Adjara,,,73100,Municipality,Kobuleti,,Kobuleti,,AdjaraGeorgia,county,2,GE-AJ,ქობულეთის მუნიციპალიტეტი,,,,locality,,GE-AJ,ქობულეთი,,,,,region,1,GE-AJ,აჭარის ავტონომიური რესპუბლიკა,HIGH,1.0,GE-AJ
Georgia,Khelvachauri,Adjara,,,51500,Municipality,,,#N/A,,AdjaraGeorgia,county,2,GE-AJ,ხელვაჩაურის მუნიციპალიტეტი,,,,locality,,GE-AJ,ხელვაჩაური,,,,,region,1,GE-AJ,აჭარის ავტონომიური რესპუბლიკა,HIGH,1.0,GE-AJ
Georgia,Khulo,Adjara,,,16500,Municipality,,,#N/A,,AdjaraGeorgia,county,2,GE-AJ,ხულოს მუნიციპალიტეტი,,,,locality,,GE-AJ,ხულო,,,,,region,1,GE-AJ,აჭარის ავტონომიური რესპუბლიკა,HIGH,1.0,GE-AJ
Georgia,Keda,Adjara,,,14500,Municipality,,,#N/A,,AdjaraGeorgia,county,2,GE-AJ,ქედის მუნიციპალიტეტი,,,,county,2,GE-AJ,ქედის მუნიციპალიტეტი,,,,,region,1,GE-AJ,აჭარის ავტონომიური რესპუბლიკა,HIGH,1.0,GE-AJ
Georgia,Shuakhevi,Adjara,,,10900,Municipality,,,#N/A,,AdjaraGeorgia,county,2,GE-AJ,შუახევის მუნიციპალიტეტი,,,,locality,,GE-AJ,შუახევი,,,,,region,1,GE-AJ,აჭარის ავტონომიური რესპუბლიკა,HIGH,1.0,GE-AJ
Georgia,Lanchkhuti,Guria,,,26500,Municipality,Lanchkhuti,,Lanchkhuti,,GuriaGeorgia,county,2,GE-GU,ლანჩხუთის მუნიციპალიტეტი,,,,locality,,GE-GU,ლანჩხუთი,,,,,region,1,GE-GU,გურია,HIGH,1.0,GE-GU
Georgia,Ozurgeti,Guria,,,57600,Municipality,,,#N/A,,GuriaGeorgia,county,2,GE-GU,ოზურგეთის მუნიციპალიტეტი,,,,locality,,GE-GU,ოზურგეთი,,,,,region,1,GE-GU,გურია,HIGH,1.0,GE-GU
Georgia,Chokhatauri,Guria,,,16700,Municipality,,,#N/A,,GuriaGeorgia,county,2,GE-GU,ჩოხატაურის მუნიციპალიტეტი,,,,county,2,GE-GU,ჩოხატაურის მუნიციპალიტეტი,,,,,region,1,GE-GU,გურია,HIGH,1.0,GE-GU
Georgia,Kutaisi,Imereti,,,161200,City,Kutaisi,,Kutaisi,,ImeretiGeorgia,county,2,GE-IM,ქუთაისი,,,,county,2,GE-IM,ქუთაისი,,,,,region,1,GE-IM,იმერეთი,HIGH,1.0,GE-IM
Georgia,Sachkhere,Imereti,,,34000,Municipality,Sachkhere,,Sachkhere,,ImeretiGeorgia,county,2,GE-IM,საჩხერის მუნიციპალიტეტი,,,,county,2,GE-IM,საჩხერის მუნიციპალიტეტი,,,,,region,1,GE-IM,იმერეთი,HIGH,1.0,GE-IM
Georgia,Samtredia,Imereti,,,44000,Municipality,Samtredia,,Samtredia,,ImeretiGeorgia,county,2,GE-IM,სამტრედიის მუნიციპალიტეტი,,,,locality,,GE-IM,სამტრედია,,,,,region,1,GE-IM,იმერეთი,HIGH,1.0,GE-IM
Georgia,Tsqaltubo,Imereti,,,48400,Municipality,Tsqaltubo,,Tsqaltubo,,ImeretiGeorgia,locality,,GE-IM,წყალტუბო,,,,locality,,GE-IM,წყალტუბო,,,,,region,1,GE-IM,იმერეთი,HIGH,1.0,GE-IM
Georgia,Zestaponi,Imereti,,,54200,Municipality,Zestafoni,,Zestafoni,,ImeretiGeorgia,county,2,GE-IM,ზესტაფონის მუნიციპალიტეტი,,,,county,2,GE-IM,ზესტაფონის მუნიციპალიტეტი,,,,,region,1,GE-IM,იმერეთი,HIGH,1.0,GE-IM
Georgia,Chiatura,Imereti,,,36400,Municipality,,,#N/A,,ImeretiGeorgia,county,2,GE-IM,ჭიათურის მუნიციპალიტეტი,,,,locality,,GE-IM,ჭიათურა,,,,,region,1,GE-IM,იმერეთი,HIGH,1.0,GE-IM
Georgia,Terjola,Imereti,,,31600,Municipality,,,#N/A,,ImeretiGeorgia,county,2,GE-IM,თერჯოლის მუნიციპალიტეტი,,,,county,2,GE-IM,თერჯოლის მუნიციპალიტეტი,,,,,region,1,GE-IM,იმერეთი,HIGH,1.0,GE-IM
Georgia,Khoni,Imereti,,,21500,Municipality,,,#N/A,,ImeretiGeorgia,county,2,GE-IM,ხონის მუნიციპალიტეტი,,,,locality,,GE-IM,ხონი,,,,,region,1,GE-IM,იმერეთი,HIGH,1.0,GE-IM
Georgia,Vani,Imereti,,,20700,Municipality,,,#N/A,,ImeretiGeorgia,county,2,GE-IM,ვანის მუნიციპალიტეტი,,,,locality,,GE-IM,ვანი,,,,,region,1,GE-IM,იმერეთი,HIGH,1.0,GE-IM
Georgia,Baghdati,Imereti,,,19400,Municipality,,,#N/A,,ImeretiGeorgia,county,2,GE-IM,ბაღდათის მუნიციპალიტეტი,,,,county,2,GE-IM,ბაღდათის მუნიციპალიტეტი,,,,,region,1,GE-IM,იმერეთი,HIGH,1.0,GE-IM
Georgia,Tkibuli,Imereti,,,17500,Municipality,Tkibuli,,Tkibuli,,ImeretiGeorgia,county,2,GE-IM,ტყიბულის მუნიციპალიტეტი,,,,locality,,GE-IM,ტყიბული,,,,,region,1,GE-IM,იმერეთი,HIGH,1.0,GE-IM
Georgia,Kharagauli,Imereti,,,16500,Municipality,,,#N/A,,ImeretiGeorgia,county,2,GE-IM,ხარაგაულის მუნიციპალიტეტი,,,,locality,,GE-IM,ხარაგაული,,,,,region,1,GE-IM,იმერეთი,HIGH,1.0,GE-IM
Georgia,Sagarejo,Kakheti,,,50300,Municipality,Sagarejo,,Sagarejo,,KakhetiGeorgia,county,2,GE-KA,საგარეჯოს მუნიციპალიტეტი,,,,locality,,GE-KA,საგარეჯო,,,,,region,1,GE-KA,კახეთი,HIGH,1.0,GE-KA
Georgia,Telavi,Kakheti,,,56700,Municipality,Telavi,,Telavi,,KakhetiGeorgia,county,2,GE-KA,თელავის მუნიციპალიტეტი,,,,county,2,GE-KA,თელავის მუნიციპალიტეტი,,,,,region,1,GE-KA,კახეთი,HIGH,1.0,GE-KA
Georgia,Gurjaani,Kakheti,,,50600,Municipality,,,#N/A,,KakhetiGeorgia,county,2,GE-KA,გურჯაანის მუნიციპალიტეტი,,,,county,2,GE-KA,გურჯაანის მუნიციპალიტეტი,,,,,region,1,GE-KA,კახეთი,HIGH,1.0,GE-KA
Georgia,Lagodekhi,Kakheti,,,39200,Municipality,,,#N/A,,KakhetiGeorgia,county,2,GE-KA,ლაგოდეხის მუნიციპალიტეტი,,,,county,2,GE-KA,ლაგოდეხის მუნიციპალიტეტი,,,,,region,1,GE-KA,კახეთი,HIGH,1.0,GE-KA
Georgia,Akhmeta,Kakheti,,,28800,Municipality,,,#N/A,,KakhetiGeorgia,county,2,GE-KA,ახმეტის მუნიციპალიტეტი,,,,county,2,GE-KA,ახმეტის მუნიციპალიტეტი,,,,,region,1,GE-KA,კახეთი,HIGH,1.0,GE-KA
