Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Ghana,Asunafo North Municipal,Ahafo,,,150198,Municipal District,,,#N/A,,AhafoGhana,,,,,county,2,GH-AF,Asunafo North Municipal District,,,,,region,1,GH-AF,Ahafo Region,HIGH,1.0,GH-AF
Ghana,Tano North Municipal,Ahafo,,,93608,Municipal District,,,#N/A,,AhafoGhana,,,,,county,2,GH-AF,Tano North Municipal District,,,,,region,1,GH-AF,Ahafo Region,HIGH,1.0,GH-AF
Ghana,Asunafo South,Ahafo,,,91693,District,,,#N/A,,AhafoGhana,,,,,county,2,GH-AF,Asunafo South District,,,,,region,1,GH-AF,Ahafo Region,HIGH,1.0,GH-AF
Ghana,Tano South Municipal,Ahafo,,,87219,Municipal District,,,#N/A,,AhafoGhana,,,,,county,2,GH-AF,Tano South Municipal District,,,,,region,1,GH-AF,Ahafo Region,HIGH,1.0,GH-AF
Ghana,Asutifi North,Ahafo,,,73556,District,,,#N/A,,AhafoGhana,,,,,county,2,GH-AF,Asutifi North District,,,,,region,1,GH-AF,Ahafo Region,HIGH,1.0,GH-AF
Ghana,Asutifi South,Ahafo,,,68394,District,,,#N/A,,AhafoGhana,,,,,county,2,GH-AF,Asutifi South District,,,,,region,1,GH-AF,Ahafo Region,HIGH,1.0,GH-AF
Ghana,"Kumasi Metropolitan (incl. Bantama Municipal, Manhyia North Municipal, Manhyia South Municipal, Nhyiaeso Municipal, Subin Municipal)",Ashanti,,,443981,Metropolitan District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Kumasi Metropolitan District,,,,,region,1,GH-AH,Ashanti Region,HIGH,1.0,GH-AH
Ghana,Kwabre East,Ashanti,,,296814,District,Kumasi,,Kumasi,,AshantiGhana,,,,,,,,,,,,,region,1,GH-AH,Ashanti Region,NONE,0.0,GH-AH
Ghana,Atwima Kwanwoma,Ashanti,,,234846,District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Atwima-Kwanwoma District,,,,,region,1,GH-AH,Ashanti Region,MED,0.933,GH-AH
Ghana,Afigya Kwabre South,Ashanti,,,234667,District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Afigya-Kwabre South District,,,,,region,1,GH-AH,Ashanti Region,MED,0.947,GH-AH
Ghana,Oforikrom Municipal (← Kumasi Metropolitan),Ashanti,,,213126,Municipal District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Oforikrom Municipal District,,,,,region,1,GH-AH,Ashanti Region,HIGH,1.0,GH-AH
Ghana,Asokore Mampong Municipal,Ashanti,,,191402,Municipal District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Asokore-Mampong Municipal District,,,,,region,1,GH-AH,Ashanti Region,MED,0.96,GH-AH
Ghana,Ejisu Municipal,Ashanti,,,180723,Municipal District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Ejisu Municipal District,,,,,region,1,GH-AH,Ashanti Region,HIGH,1.0,GH-AH
Ghana,Bosomtwe,Ashanti,,,165180,District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Bosomtwe District,,,,,region,1,GH-AH,Ashanti Region,HIGH,1.0,GH-AH
Ghana,Atwima Nwabiagya Municipal (Atwima Nwabiagya South Municipal),Ashanti,,,161893,Municipal District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Atwima-Nwabiagya Municipal District,,,,,region,1,GH-AH,Ashanti Region,MED,0.962,GH-AH
Ghana,Atwima Nwabiagya North (← Atwima Nwabiagya Municipal),Ashanti,,,155025,District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Atwima-Nwabiagya North District,,,,,region,1,GH-AH,Ashanti Region,MED,0.955,GH-AH
Ghana,Kwadaso Municipal (← Kumasi Metropolitan),Ashanti,,,154526,Municipal District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Kwadaso Municipal District,,,,,region,1,GH-AH,Ashanti Region,HIGH,1.0,GH-AH
Ghana,Bekwai Municipal,Ashanti,,,137967,Municipal District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Bekwai Municipal District,,,,,region,1,GH-AH,Ashanti Region,HIGH,1.0,GH-AH
Ghana,Ejura-Sekyedumase Municipal,Ashanti,,,137672,Municipal District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Ejura/Sekyedumase Municipal District,,,,,region,1,GH-AH,Ashanti Region,MED,0.963,GH-AH
Ghana,Offinso Municipal,Ashanti,,,137272,Municipal District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Offinso Municipal District,,,,,region,1,GH-AH,Ashanti Region,HIGH,1.0,GH-AH
Ghana,Suame Municipal (← Kumasi Metropolitan),Ashanti,,,136290,Municipal District,Kumasi,,Kumasi,,AshantiGhana,,,,,county,2,GH-AH,Suame Municipal District,,,,,region,1,GH-AH,Ashanti Region,HIGH,1.0,GH-AH
