Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Guyana,Barima-Waini,Barima-Waini,,,26941,Region,,,#N/A,,Barima-WainiGuyana,region,1,GY-BA,Barima-Waini,,,,region,1,GY-BA,Barima-Waini,,,,,region,1,GY-BA,Barima-Waini,HIGH,1.0,GY-BA
Guyana,Cuyuni-Mazaruni,Cuyuni-Mazaruni,,,20280,Region,,,#N/A,,Cuyuni-MazaruniGuyana,region,1,GY-CU,Cuyuni-Mazaruni,,,,region,1,GY-CU,Cuyuni-Mazaruni,,,,,region,1,GY-CU,Cuyuni-Mazaruni,HIGH,1.0,GY-CU
Guyana,Demerara-Mahaica,Demerara-Mahaica,,,313429,Region,Georgetown (GUY),,Georgetown (GUY),,Demerara-MahaicaGuyana,region,1,GY-DE,Demerara-Mahaica,,,,region,1,GY-DE,Demerara-Mahaica,,,,,region,1,GY-DE,Demerara-Mahaica,HIGH,1.0,GY-DE
Guyana,East Berbice-Corentyne,East Berbice-Corentyne,,,109431,Region,,,#N/A,,East Berbice-CorentyneGuyana,region,1,GY-EB,East Berbice-Corentyne,,,,region,1,GY-EB,East Berbice-Corentyne,,,,,region,1,GY-EB,East Berbice-Corentyne,HIGH,1.0,GY-EB
Guyana,Essequibo Islands-West Demerara,Essequibo Islands-West Demerara,,,107416,Region,,,#N/A,,Essequibo Islands-West DemeraraGuyana,region,1,GY-ES,Essequibo Islands-West Demerara,,,,,,,,,,,,,,,,NONE,0.0,
Guyana,Mahaica-Berbice,Mahaica-Berbice,,,49723,Region,,,#N/A,,Mahaica-BerbiceGuyana,region,1,GY-MA,Mahaica-Berbice,,,,region,1,GY-MA,Mahaica-Berbice,,,,,region,1,GY-MA,Mahaica-Berbice,HIGH,1.0,GY-MA
Guyana,Pomeroon-Supenaam,Pomeroon-Supenaam,,,46810,Region,,,#N/A,,Pomeroon-SupenaamGuyana,region,1,GY-PM,Pomeroon-Supenaam,,,,region,1,GY-PM,Pomeroon-Supenaam,,,,,region,1,GY-PM,Pomeroon-Supenaam,HIGH,1.0,GY-PM
Guyana,Potaro-Siparuni,Potaro-Siparuni,,,10190,Region,,,#N/A,,Potaro-SiparuniGuyana,region,1,GY-PT,Potaro-Siparuni,,,,region,1,GY-PT,Potaro-Siparuni,,,,,region,1,GY-PT,Potaro-Siparuni,HIGH,1.0,GY-PT
Guyana,Upper Demerara-Berbice,Upper Demerara-Berbice,,,39452,Region,,,#N/A,,Upper Demerara-BerbiceGuyana,region,1,GY-UD,Upper Demerara-Berbice,,,,region,1,GY-UD,Upper Demerara-Berbice,,,,,region,1,GY-UD,Upper Demerara-Berbice,HIGH,1.0,GY-UD
Guyana,Upper Takutu-Upper Essequibo,Upper Takutu-Upper Essequibo,,,24212,Region,,,#N/A,,Upper Takutu-Upper EssequiboGuyana,region,1,GY-UT,Upper Takutu-Upper Essequibo,,,,region,1,GY-UT,Upper Takutu-Upper Essequibo,,,,,region,1,GY-UT,Upper Takutu-Upper Essequibo,HIGH,1.0,GY-UT
