Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Hong Kong,Eastern,Hong Kong Island,,,529603,District Council,Hong Kong,,Hong Kong,,Hong Kong IslandHong Kong,region,2,,東區 Eastern District,,,,region,2,nan,東區 Eastern District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Southern,Hong Kong Island,,,263278,District Council,Hong Kong,,Hong Kong,,Hong Kong IslandHong Kong,region,2,,南區 Southern District,,,,region,2,nan,南區 Southern District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Central and Western,Hong Kong Island,,,235953,District Council,Hong Kong,,Hong Kong,,Hong Kong IslandHong Kong,region,2,,中西區 Central and Western District,,,,region,2,nan,中西區 Central and Western District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Wan Chai,Hong Kong Island,,,166695,District Council,Hong Kong,,Hong Kong,,Hong Kong IslandHong Kong,region,2,,灣仔區 Wan Chai District,,,,region,2,nan,灣仔區 Wan Chai District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Kwun Tong,Kowloon,,,673166,District Council,Hong Kong,,Hong Kong,,KowloonHong Kong,region,2,,觀塘區 Kwun Tong District,,,,region,2,nan,觀塘區 Kwun Tong District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Sham Shui Po,Kowloon,,,431090,District Council,Hong Kong,,Hong Kong,,KowloonHong Kong,region,2,,深水埗區 Sham Shui Po District,,,,region,2,nan,深水埗區 Sham Shui Po District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Kowloon City,Kowloon,,,410634,District Council,Hong Kong,,Hong Kong,,KowloonHong Kong,region,2,,九龍城區 Kowloon City District,,,,region,2,nan,九龍城區 Kowloon City District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Wong Tai Sin,Kowloon,,,406802,District Council,Hong Kong,,Hong Kong,,KowloonHong Kong,region,2,,黃大仙區 Wong Tai Sin District,,,,region,2,nan,黃大仙區 Wong Tai Sin District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Yau Tsim Mong,Kowloon,,,310647,District Council,Hong Kong,,Hong Kong,,KowloonHong Kong,region,2,,油尖旺區 Yau Tsim Mong District,,,,region,2,nan,油尖旺區 Yau Tsim Mong District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Sha Tin,New Territories,,,692806,District Council,Hong Kong,,Hong Kong,,New TerritoriesHong Kong,region,2,,沙田區 Sha Tin District,,,,region,2,nan,沙田區 Sha Tin District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Yuen Long,New Territories,,,668080,District Council,Hong Kong,,Hong Kong,,New TerritoriesHong Kong,region,2,,元朗區 Yuen Long District,,,,region,2,nan,元朗區 Yuen Long District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Tuen Mun,New Territories,,,506879,District Council,Hong Kong,,Hong Kong,,New TerritoriesHong Kong,region,2,,屯門區 Tuen Mun District,,,,region,2,nan,屯門區 Tuen Mun District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Kwai Tsing,New Territories,,,495798,District Council,Hong Kong,,Hong Kong,,New TerritoriesHong Kong,region,2,,葵青區 Kwai Tsing District,,,,region,2,nan,葵青區 Kwai Tsing District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Sai Kung,New Territories,,,489037,District Council,Hong Kong,,Hong Kong,,New TerritoriesHong Kong,region,2,,西貢區 Sai Kung District,,,,region,2,nan,西貢區 Sai Kung District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Tsuen Wan,New Territories,,,320094,District Council,Hong Kong,,Hong Kong,,New TerritoriesHong Kong,region,2,,荃灣區 Tsuen Wan District,,,,region,2,nan,荃灣區 Tsuen Wan District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Tai Po,New Territories,,,316470,District Council,Hong Kong,,Hong Kong,,New TerritoriesHong Kong,region,2,,大埔區 Tai Po District,,,,region,2,nan,大埔區 Tai Po District,,,,,,,,,HIGH,1.0,nan
Hong Kong,North,New Territories,,,309631,District Council,Hong Kong,,Hong Kong,,New TerritoriesHong Kong,region,2,,北區 North District,,,,region,2,nan,北區 North District,,,,,,,,,HIGH,1.0,nan
Hong Kong,Islands,New Territories,,,185282,District Council,Hong Kong,,Hong Kong,,New TerritoriesHong Kong,region,2,,離島區 Islands District,,,,region,2,nan,離島區 Islands District,,,,,,,,,HIGH,1.0,nan
