Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Hungary,Kecskemét,Bács-Kiskun,,,155983,District,Kecskemét,,Kecskemét,,Bács-KiskunHungary,county,2,HU-BK,Kecskeméti járás,,,,locality,,HU-BK,Kecskemét,,,,,region,1,HU-BK,Bács-Kiskun vármegye,HIGH,1.0,HU-BK
Hungary,Kiskunfélegyháza,Bács-Kiskun,,,36191,District,Kecskemét,,Kecskemét,,Bács-KiskunHungary,county,2,HU-BK,Kiskunfélegyházi járás,,,,locality,,HU-BK,Kiskunfélegyháza,,,,,region,1,HU-BK,Bács-Kiskun vármegye,HIGH,1.0,HU-BK
Hungary,Tiszakécske,Bács-Kiskun,,,24452,District,Kecskemét,,Kecskemét,,Bács-KiskunHungary,county,2,HU-BK,Tiszakécskei járás,,,,locality,,HU-BK,Tiszakécske,,,,,region,1,HU-BK,Bács-Kiskun vármegye,HIGH,1.0,HU-BK
Hungary,Baja,Bács-Kiskun,,,63205,District,,,#N/A,,Bács-KiskunHungary,county,2,HU-BK,Bajai járás,,,,locality,,HU-BK,Baja,,,,,region,1,HU-BK,Bács-Kiskun vármegye,HIGH,1.0,HU-BK
Hungary,Kiskőrös,Bács-Kiskun,,,53032,District,,,#N/A,,Bács-KiskunHungary,county,2,HU-BK,Kiskőrösi járás,,,,locality,,HU-BK,Kiskőrös,,,,,region,1,HU-BK,Bács-Kiskun vármegye,HIGH,1.0,HU-BK
Hungary,Kalocsa,Bács-Kiskun,,,47483,District,,,#N/A,,Bács-KiskunHungary,county,2,HU-BK,Kalocsai járás,,,,locality,,HU-BK,Kalocsa,,,,,region,1,HU-BK,Bács-Kiskun vármegye,HIGH,1.0,HU-BK
Hungary,Kiskunhalas,Bács-Kiskun,,,42117,District,,,#N/A,,Bács-KiskunHungary,county,2,HU-BK,Kiskunhalasi járás,,,,locality,,HU-BK,Kiskunhalas,,,,,region,1,HU-BK,Bács-Kiskun vármegye,HIGH,1.0,HU-BK
Hungary,Kunszentmiklós,Bács-Kiskun,,,29100,District,,,#N/A,,Bács-KiskunHungary,county,2,HU-BK,Kunszentmiklósi járás,,,,locality,,HU-BK,Kunszentmiklós,,,,,region,1,HU-BK,Bács-Kiskun vármegye,HIGH,1.0,HU-BK
Hungary,Bácsalmás,Bács-Kiskun,,,18287,District,,,#N/A,,Bács-KiskunHungary,county,2,HU-BK,Bácsalmási járás,,,,locality,,HU-BK,Bácsalmás,,,,,region,1,HU-BK,Bács-Kiskun vármegye,HIGH,1.0,HU-BK
Hungary,Kiskunmajsa,Bács-Kiskun,,,18091,District,,,#N/A,,Bács-KiskunHungary,county,2,HU-BK,Kiskunmajsai járás,,,,locality,,HU-BK,Kiskunmajsa,,,,,region,1,HU-BK,Bács-Kiskun vármegye,HIGH,1.0,HU-BK
