Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Indonesia,Kota Banda Aceh,Aceh,,,252899,City,Banda Aceh,,Banda Aceh,,AcehIndonesia,county,2,ID-AC,Banda Aceh,,,,county,2,ID-AC,Banda Aceh,,,,,region,1,ID-AC,Aceh,LOW,0.8,ID-AC
Indonesia,Aceh Utara [North Aceh],Aceh,,,602793,Regency,,,#N/A,,AcehIndonesia,county,2,ID-AC,Aceh Utara,,,,,,,,,,,,region,1,ID-AC,Aceh,NONE,0.0,ID-AC
Indonesia,Bireuen,Aceh,,,436418,Regency,,,#N/A,,AcehIndonesia,county,2,ID-AC,Bireuen,,,,county,2,ID-AC,Bireuen,,,,,region,1,ID-AC,Aceh,HIGH,1.0,ID-AC
Indonesia,Pidie,Aceh,,,435275,Regency,,,#N/A,,AcehIndonesia,county,2,ID-AC,Pidie,,,,county,2,ID-AC,Pidie,,,,,region,1,ID-AC,Aceh,HIGH,1.0,ID-AC
Indonesia,Aceh Timur [East Aceh],Aceh,,,422401,Regency,,,#N/A,,AcehIndonesia,county,2,ID-AC,Aceh Timur,,,,,,,,,,,,region,1,ID-AC,Aceh,NONE,0.0,ID-AC
Indonesia,Aceh Besar,Aceh,,,405535,Regency,,,#N/A,,AcehIndonesia,county,2,ID-AC,Aceh Besar,,,,county,2,ID-AC,Aceh Besar,,,,,region,1,ID-AC,Aceh,HIGH,1.0,ID-AC
Indonesia,Aceh Tamiang,Aceh,,,294356,Regency,,,#N/A,,AcehIndonesia,county,2,ID-AC,Aceh Tamiang,,,,county,2,ID-AC,Aceh Tamiang,,,,,region,1,ID-AC,Aceh,HIGH,1.0,ID-AC
Indonesia,Aceh Selatan [South Aceh],Aceh,,,232414,Regency,,,#N/A,,AcehIndonesia,county,2,ID-AC,Aceh Selatan,,,,,,,,,,,,region,1,ID-AC,Aceh,NONE,0.0,ID-AC
Indonesia,Aceh Tenggara [Southeast Aceh],Aceh,,,220860,Regency,,,#N/A,,AcehIndonesia,county,2,ID-AC,Aceh Tenggara,,,,,,,,,,,,region,1,ID-AC,Aceh,NONE,0.0,ID-AC
Indonesia,Aceh Tengah [Central Aceh],Aceh,,,215576,Regency,,,#N/A,,AcehIndonesia,county,2,ID-AC,Aceh Tengah,,,,,,,,,,,,region,1,ID-AC,Aceh,NONE,0.0,ID-AC
