me,Country,Municipality,Distri rrondissement/County,State/Region (ISO 3166-2),Population,Metro Area,Type,Lookup,Metro Area Check,Code,Part,Township,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
,Ireland,Barna,Galway City,Connacht,16551,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,locality,,IE-G,Bearna,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Ballybaan,Galway City,Connacht,13453,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Menlough,Galway City,Connacht,5407,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Dangan,Galway City,Connacht,4621,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Eyre Square,Galway City,Connacht,4456,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Castlegar,Galway City,Connacht,4315,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Salthill,Galway City,Connacht,3608,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Rahoon,Galway City,Connacht,3486,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,St. Nicholas,Galway City,Connacht,3232,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Taylors Hill,Galway City,Connacht,3141,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Murroogh,Galway City,Connacht,2909,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Claddagh,Galway City,Connacht,2755,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Mervue,Galway City,Connacht,2278,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Newcastle,Galway City,Connacht,2017,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,locality,,IE-TA,Newcastle,,,,,region,1,IE-TA,County Tipperary,HIGH,1.0,IE-TA
,Ireland,Shantalla,Galway City,Connacht,2015,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Wellpark,Galway City,Connacht,1848,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Rockbarton,Galway City,Connacht,1837,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Nuns Island,Galway City,Connacht,1716,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Knocknacarragh,Galway City,Connacht,1481,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Renmore,Galway City,Connacht,1454,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Ballybrit,Galway City,Connacht,943,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
,Ireland,Lough Atalia,Galway City,Connacht,891,Galway,Electoral Division,,Galway,,,,region,1,IE-G,County Galway,,,region,1,IE-G,County Galway,,,,,region,1,IE-G,County Galway,HIGH,1.0,IE-G
