Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Iraq,Ar-Ramādī [Ramadi],Al-Anbar,,,573672,District,,,#N/A,2024,Al-AnbarIraq,county,2,IQ-AN,قضاء الرمادي,,,,,,,,,,,,region,1,IQ-AN,محافظة الأنبار,NONE,0.0,IQ-AN
Iraq,Al-Fallūjah [Fallujah],Al-Anbar,,,485474,District,,,#N/A,2024,Al-AnbarIraq,county,2,IQ-AN,قضاء الفلوجة,,,,,,,,,,,,region,1,IQ-AN,محافظة الأنبار,NONE,0.0,IQ-AN
Iraq,Hīt,Al-Anbar,,,188370,District,,,#N/A,2024,Al-AnbarIraq,county,2,IQ-AN,قضاء هيت,,,,county,2,IQ-AN,قضاء هيت,,,,,region,1,IQ-AN,محافظة الأنبار,HIGH,1.0,IQ-AN
Iraq,Al-Karmah,Al-Anbar,,,147125,District,,,#N/A,2024,Al-AnbarIraq,,,,,,,,,,,,,,,,region,1,IQ-AN,محافظة الأنبار,NONE,0.0,IQ-AN
Iraq,Al-Ḥabbāniyah,Al-Anbar,,,142642,District,,,#N/A,2024,Al-AnbarIraq,,,,,,,,,,,,,,,,region,1,IQ-AN,محافظة الأنبار,NONE,0.0,IQ-AN
Iraq,Al-Qā'im,Al-Anbar,,,140923,District,,,#N/A,2024,Al-AnbarIraq,county,2,IQ-AN,قضاء القائم,,,,county,2,IQ-AN,قضاء القائم,,,,,region,1,IQ-AN,محافظة الأنبار,HIGH,1.0,IQ-AN
Iraq,Ḥadīṭha [Haditha],Al-Anbar,,,114697,District,,,#N/A,2024,Al-AnbarIraq,county,2,IQ-AN,قضاء حديثة,,,,,,,,,,,,region,1,IQ-AN,محافظة الأنبار,NONE,0.0,IQ-AN
Iraq,Al-'Āmiriyah,Al-Anbar,,,78174,District,,,#N/A,2024,Al-AnbarIraq,,,,,,,,,,,,,,,,region,1,IQ-AN,محافظة الأنبار,NONE,0.0,IQ-AN
Iraq,Al-'Ubūr,Al-Anbar,,,44306,District,,,#N/A,2024,Al-AnbarIraq,,,,,,,,,,,,,,,,region,1,IQ-AN,محافظة الأنبار,NONE,0.0,IQ-AN
Iraq,Ar-Ruṭbah,Al-Anbar,,,41285,District,,,#N/A,2024,Al-AnbarIraq,county,2,IQ-AN,قضاء الرطبة,,,,,,,,,,,,region,1,IQ-AN,محافظة الأنبار,NONE,0.0,IQ-AN
Iraq,Anah,Al-Anbar,,,30921,District,,,#N/A,2024,Al-AnbarIraq,county,2,IQ-AN,قضاء عناة,,,,county,2,IQ-AN,قضاء عناة,,,,,region,1,IQ-AN,محافظة الأنبار,HIGH,1.0,IQ-AN
Iraq,Rāwah,Al-Anbar,,,16829,District,,,#N/A,2024,Al-AnbarIraq,county,2,IQ-AN,قضاء الراوة,,,,,,,,,,,,region,1,IQ-AN,محافظة الأنبار,NONE,0.0,IQ-AN
