Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Iran,Karaj,Alborz,,,1973470,County,Tehran,,Tehran,2016,AlborzIran,county,2,IR-30,شهرستان کرج,,,,locality,,IR-30,کرج,,,,,region,1,IR-30,استان البرز,HIGH,1.0,IR-30
Iran,Fardīs,Alborz,,,271829,County,Tehran,,Tehran,2016,AlborzIran,county,2,IR-30,شهرستان فردیس,,,,locality,,IR-30,شهر فردیس,,,,,region,1,IR-30,استان البرز,HIGH,1.0,IR-30
Iran,Sāvojbolāgh,Alborz,,,259973,County,Tehran,,Tehran,2016,AlborzIran,county,2,IR-30,شهرستان ساوجبلاغ,,,,county,2,IR-30,شهرستان ساوجبلاغ,,,,,region,1,IR-30,استان البرز,HIGH,1.0,IR-30
Iran,Naẓar'ābād,Alborz,,,152437,County,Tehran,,Tehran,2016,AlborzIran,county,2,IR-30,شهرستان نظرآباد,,,,,,,,,,,,region,1,IR-30,استان البرز,NONE,0.0,IR-30
Iran,Eshtehārd,Alborz,,,37876,County,Tehran,,Tehran,2016,AlborzIran,county,2,IR-30,شهرستان اشتهارد,,,,locality,,IR-30,شهر اشتهارد,,,,,region,1,IR-30,استان البرز,HIGH,1.0,IR-30
Iran,Ṭāleqān,Alborz,,,16815,County,Tehran,,Tehran,2016,AlborzIran,county,2,IR-30,شهرستان طالقان,,,,,,,,,,,,region,1,IR-30,استان البرز,NONE,0.0,IR-30
Iran,Ardabīl,Ardabil,,,605992,County,Ardabīl,,Ardabīl,2016,ArdabilIran,county,2,IR-24,شهرستان اردبیل,,,,county,2,IR-24,شهرستان اردبیل,,,,,region,1,IR-24,استان اردبیل,HIGH,1.0,IR-24
Iran,Pārs Ābād,Ardabil,,,177601,County,,,#N/A,2016,ArdabilIran,county,2,IR-24,شهرستان پارس آباد,,,,,,,,,,,,region,1,IR-24,استان اردبیل,NONE,0.0,IR-24
Iran,Meshgīn Shahr,Ardabil,,,149941,County,,,#N/A,2016,ArdabilIran,county,2,IR-24,شهرستان مشگین شهر,,,,,,,,,,,,region,1,IR-24,استان اردبیل,NONE,0.0,IR-24
Iran,Khalkhāl,Ardabil,,,86731,County,,,#N/A,2016,ArdabilIran,county,2,IR-24,شهرستان خلخال,,,,locality,,IR-24,خلخال,,,,,region,1,IR-24,استان اردبیل,HIGH,1.0,IR-24
