Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Kyrgyzstan,Kadamžaj [Kadamjay],Batken,,,201293,District,,,#N/A,,BatkenKyrgyzstan,county,2,KG-B,Кадамжай району,,,,,,,,,,,,region,1,KG-B,Баткен облусу,NONE,0.0,KG-B
Kyrgyzstan,Lejlek [Leylek],Batken,,,149089,District,,,#N/A,,BatkenKyrgyzstan,county,2,KG-B,Лейлек району,,,,,,,,,,,,region,1,KG-B,Баткен облусу,NONE,0.0,KG-B
Kyrgyzstan,Batken,Batken,,,98194,District,,,#N/A,,BatkenKyrgyzstan,county,2,KG-B,Баткен району,,,,county,2,KG-B,Баткен,,,,,region,1,KG-B,Баткен облусу,HIGH,1.0,KG-B
Kyrgyzstan,Kyzyl-Kyâ [Kyzyl-Kyya],Batken,,,59298,District-level City,,,#N/A,,BatkenKyrgyzstan,county,2,KG-B,Кызыл-Кыя шаары,,,,,,,,,,,,region,1,KG-B,Баткен облусу,NONE,0.0,KG-B
Kyrgyzstan,Batken,Batken,,,28559,District-level City,,,#N/A,,BatkenKyrgyzstan,county,2,KG-B,Баткен району,,,,county,2,KG-B,Баткен,,,,,region,1,KG-B,Баткен облусу,HIGH,1.0,KG-B
Kyrgyzstan,Sùlùktù [Sülüktü],Batken,,,25010,District-level City,,,#N/A,,BatkenKyrgyzstan,county,2,KG-B,Сүлүктү шаары,,,,,,,,,,,,region,1,KG-B,Баткен облусу,NONE,0.0,KG-B
Kyrgyzstan,Oktâbr' [October],Bishkek City,,,316745,City District,Bishkek,,Bishkek,,Bishkek CityKyrgyzstan,county,2,KG-GB,Октябрь району,,,,,,,,,,,,region,1,KG-GB,Бишкек шаары,NONE,0.0,KG-GB
Kyrgyzstan,Sverdlov,Bishkek City,,,283981,City District,Bishkek,,Bishkek,,Bishkek CityKyrgyzstan,county,2,KG-GB,Свердлов району,,,,county,2,KG-GB,Свердлов району,,,,,region,1,KG-GB,Бишкек шаары,HIGH,1.0,KG-GB
Kyrgyzstan,Lenin,Bishkek City,,,265451,City District,Bishkek,,Bishkek,,Bishkek CityKyrgyzstan,county,2,KG-GB,Ленин району,,,,county,2,KG-GB,Ленин району,,,,,region,1,KG-GB,Бишкек шаары,HIGH,1.0,KG-GB
Kyrgyzstan,Birinči Maj [First of May],Bishkek City,,,237385,City District,Bishkek,,Bishkek,,Bishkek CityKyrgyzstan,county,2,KG-GB,Биринчи май району,,,,,,,,,,,,region,1,KG-GB,Бишкек шаары,NONE,0.0,KG-GB
Kyrgyzstan,Čon-Aryk [Chong-Aryk],Bishkek City,,,11022,Settlement,,,#N/A,,Bishkek CityKyrgyzstan,county,2,KG-O,Чоң-Алай району,,,,,,,,,,,,region,1,KG-GB,Бишкек шаары,NONE,0.0,KG-GB
Kyrgyzstan,Orto-Saj [Orto-Say],Bishkek City,,,6243,Village,,,#N/A,,Bishkek CityKyrgyzstan,,,,,,,,,,,,,,,,region,1,KG-GB,Бишкек шаары,NONE,0.0,KG-GB
Kyrgyzstan,Sokuluk,Chüy,,,257959,District,Bishkek,,Bishkek,,ChüyKyrgyzstan,county,2,KG-C,Сокулук району,,,,locality,,KG-C,Сокулук,,,,,region,1,KG-C,Чүй облусу,HIGH,1.0,KG-C
Kyrgyzstan,Alamùdùn [Alamüdün],Chüy,,,194381,District,Bishkek,,Bishkek,,ChüyKyrgyzstan,county,2,KG-C,Аламүдүн району,,,,,,,,,,,,region,1,KG-C,Чүй облусу,NONE,0.0,KG-C
