Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Comoros,Djando,Djando,,,9349,Commune,,,#N/A,,DjandoComoros,locality,,KM-M,Djando,,,,county,2,KM-M,Djando,,,,,region,1,KM-M,موهيلي Mohéli,HIGH,1.0,KM-M
Comoros,Koni,Domoni,,,18883,Commune,,,#N/A,,DomoniComoros,locality,,KM-A,Koni,,,,locality,,KM-A,Koni,,,,,region,1,KM-A,Nzwani أنجوان,HIGH,1.0,KM-A
Comoros,Domoni,Domoni,,,15623,Commune,,,#N/A,,DomoniComoros,locality,,KM-A,Domoni,,,,county,2,KM-A,Domoni,,,,,region,1,KM-A,Nzwani أنجوان,HIGH,1.0,KM-A
Comoros,Bambao Mstanga,Domoni,,,13779,Commune,,,#N/A,,DomoniComoros,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Comoros,Jimlimé,Domoni,,,11480,Commune,,,#N/A,,DomoniComoros,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Comoros,Ngandzalé,Domoni,,,10139,Commune,,,#N/A,,DomoniComoros,locality,,KM-A,Ngandzalé,,,,locality,,KM-A,Ngandzalé,,,,,region,1,KM-A,Nzwani أنجوان,HIGH,1.0,KM-A
Comoros,Fomboni,Fomboni,,,17291,Commune,,,#N/A,,FomboniComoros,locality,,KM-M,Fomboni,,,,county,2,KM-M,Fomboni,,,,,region,1,KM-M,موهيلي Mohéli,HIGH,1.0,KM-M
Comoros,Moili Mdjini,Fomboni,,,7410,Commune,,,#N/A,,FomboniComoros,locality,,KM-M,Moili Mdjini,,,,locality,,KM-M,Moili Mdjini,,,,,region,1,KM-M,موهيلي Mohéli,HIGH,1.0,KM-M
Comoros,Moinbassa,Fomboni,,,6133,Commune,,,#N/A,,FomboniComoros,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Comoros,Nyuma Msiru,Hamahamet-Mboinkou,,,13630,Commune,,,#N/A,,Hamahamet-MboinkouComoros,locality,,KM-G,Nyuma Msiru,,,,locality,,KM-G,Nyuma Msiru,,,,,region,1,KM-G,Ngazidja القمر الكبرى,HIGH,1.0,KM-G
Comoros,Mboinkou,Hamahamet-Mboinkou,,,11573,Commune,,,#N/A,,Hamahamet-MboinkouComoros,locality,,KM-G,Mboinkou,,,,locality,,KM-G,Mboinkou,,,,,region,1,KM-G,Ngazidja القمر الكبرى,HIGH,1.0,KM-G
Comoros,Nyuma Mro,Hamahamet-Mboinkou,,,11445,Commune,,,#N/A,,Hamahamet-MboinkouComoros,locality,,KM-G,Nyuma Mro,,,,locality,,KM-G,Nyuma Mro,,,,,region,1,KM-G,Ngazidja القمر الكبرى,HIGH,1.0,KM-G
Comoros,Tsinimoipangua,Hambou,,,13443,Commune,,,#N/A,,HambouComoros,locality,,KM-G,Tsinimoipangua,,,,locality,,KM-G,Tsinimoipangua,,,,,region,1,KM-G,Ngazidja القمر الكبرى,HIGH,1.0,KM-G
Comoros,Djoumoipangua,Hambou,,,9334,Commune,,,#N/A,,HambouComoros,locality,,KM-G,Djoumoipangua,,,,locality,,KM-G,Djoumoipangua,,,,,region,1,KM-G,Ngazidja القمر الكبرى,HIGH,1.0,KM-G
