Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
North Korea,Kanggye-si,Chagang-do,,,251971,City,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Hŭich'ŏn-si,Chagang-do,,,168180,City,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Manp'o-si,Chagang-do,,,116760,City,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Chŏnch'ŏn-gun,Chagang-do,,,106311,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Sŏnggan-gun,Chagang-do,,,92952,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Wiwŏn-gun,Chagang-do,,,60245,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Changgang-gun,Chagang-do,,,54601,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Chasŏng-gun,Chagang-do,,,50939,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Tongsin-gun,Chagang-do,,,47460,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Ch'osan-gun,Chagang-do,,,43614,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Usi-gun,Chagang-do,,,42919,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Hwap'yŏng-gun,Chagang-do,,,42183,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Sijung-gun,Chagang-do,,,41842,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Chunggang-gun,Chagang-do,,,41022,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Songwŏn-gun,Chagang-do,,,38051,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Rangnim-gun,Chagang-do,,,36481,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Ryongnim-gun,Chagang-do,,,32727,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Kop'ung-gun,Chagang-do,,,31572,County,,,#N/A,2008,Chagang-doNorth Korea,,,,,,,,,,,,,,,,region,1,KP-04,자강도,NONE,0.0,KP-04
North Korea,Kaesŏng-si,Kaesŏng,,,308440,City,,,#N/A,2008,KaesŏngNorth Korea,,,,,,,,,,,,,,,,region,1,KP-15,개성시,NONE,0.0,KP-15
