Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Kuwait,Al-Mahbūlah [Mahboula],Al-Aḥmadī,,,199859,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Al-Manqaf [Mangaf],Al-Aḥmadī,,,145123,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Al-Fuḥayḥīl [Fahaheel],Al-Aḥmadī,,,109714,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Aṣ-Ṣabāḥīyah [Sabahiya],Al-Aḥmadī,,,82277,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Abū Ḥulayfah [Abu Halifa],Al-Aḥmadī,,,60470,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Ali Ṣabāḥ as-Sālem [Ali Sabah Al Salem],Al-Aḥmadī,,,56892,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Ḍāḥiyah Jāber al-'Alī [West Funtas],Al-Aḥmadī,,,52374,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Ar-Riqqah [Riqqa],Al-Aḥmadī,,,51830,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Al-Finṭās [Funtas],Al-Aḥmadī,,,42820,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Aẓ-Ẓahar [Daher],Al-Aḥmadī,,,41797,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Al-Aḥmadī [Ahmadi City],Al-Aḥmadī,,,30991,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Hadiyah [Hadiya],Al-Aḥmadī,,,26446,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Fahad al-Āḥmad [Fahad Al Ahmad],Al-Aḥmadī,,,26260,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Ash-Shua'ībah aṣ-Ṣinā'iyah al-Gharbiyah [Shuaiba Industrial Western],Al-Aḥmadī,,,24159,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Al-E'qīlah [Eqaila],Al-Aḥmadī,,,13050,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Mazār' al-Wafrah [Wafra Agricultural],Al-Aḥmadī,,,12441,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Ṣabāḥ al-Āḥmad 1 [Sabah Al Ahmad 1],Al-Aḥmadī,,,10818,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Bir Maḥāfẓah al-Aḥmadī [Ahmadi Desert],Al-Aḥmadī,,,10316,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
Kuwait,Shālīhāt Mīnā' 'Abdāllah [Mina Abdulla Resort],Al-Aḥmadī,,,6137,District,Kuwait City,,Kuwait City,,Al-AḥmadīKuwait,region,1,KW-AH,محافظة الأحمدي,,,,,,,,,,,,region,1,KW-AH,محافظة الأحمدي,NONE,0.0,KW-AH
