Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Kazakhstan,Semey,Abai,,,327516,City with Environs,Semey,,Semey,,AbaiKazakhstan,county,2,KZ-10,Семей,,,,county,2,KZ-10,Семей,,,,,region,1,KZ-10,Абай облысы,HIGH,1.0,KZ-10
Kazakhstan,Urzhar,Abai,,,69980,District,,,#N/A,,AbaiKazakhstan,county,2,KZ-10,Үржар ауданы,,,,county,2,KZ-10,Үржар ауданы,,,,,region,1,KZ-10,Абай облысы,HIGH,1.0,KZ-10
Kazakhstan,Ayagoz,Abai,,,66453,District,,,#N/A,,AbaiKazakhstan,county,2,KZ-10,Аягөз ауданы,,,,county,2,KZ-10,Аягөз ауданы,,,,,region,1,KZ-10,Абай облысы,HIGH,1.0,KZ-10
Kazakhstan,Zharma,Abai,,,36732,District,,,#N/A,,AbaiKazakhstan,county,2,KZ-10,Жарма ауданы,,,,county,2,KZ-10,Жарма ауданы,,,,,region,1,KZ-10,Абай облысы,HIGH,1.0,KZ-10
Kazakhstan,Borodulikha,Abai,,,33395,District,,,#N/A,,AbaiKazakhstan,county,2,KZ-10,Бородулиха ауданы,,,,county,2,KZ-10,Бородулиха ауданы,,,,,region,1,KZ-10,Абай облысы,HIGH,1.0,KZ-10
Kazakhstan,Aksuat,Abai,,,19827,District,,,#N/A,,AbaiKazakhstan,county,2,KZ-33,Ақсу ауданы,,,,locality,,KZ-10,Ақсуат,,,,,region,1,KZ-10,Абай облысы,HIGH,1.0,KZ-10
Kazakhstan,Beskaragay,Abai,,,17970,District,,,#N/A,,AbaiKazakhstan,county,2,KZ-10,Бесқарағай ауданы,,,,county,2,KZ-10,Бесқарағай ауданы,,,,,region,1,KZ-10,Абай облысы,HIGH,1.0,KZ-10
Kazakhstan,Abay,Abai,,,14129,District,,,#N/A,,AbaiKazakhstan,county,2,KZ-35,Абай ауданы,,,,region,1,KZ-10,Абай облысы,,,,,region,1,KZ-10,Абай облысы,HIGH,1.0,KZ-10
Kazakhstan,Kókpekti aýdany,Abai,,,13714,District,,,#N/A,,AbaiKazakhstan,county,2,KZ-10,Көкпекті ауданы,,,,,,,,,,,,,,,,NONE,0.0,
Kazakhstan,Kurchatov,Abai,,,10467,City,,,#N/A,,AbaiKazakhstan,county,2,KZ-10,Курчатов қалалық әкімшілігі,,,,county,2,KZ-10,Курчатов қалалық әкімшілігі,,,,,region,1,KZ-10,Абай облысы,HIGH,1.0,KZ-10
Kazakhstan,Tselinograd,Akmola,,,80617,District,Astana,,Astana,,AkmolaKazakhstan,county,2,KZ-11,Целиноград ауданы,,,,,,,,,,,,region,1,KZ-11,Ақмола облысы,NONE,0.0,KZ-11
Kazakhstan,Qosshy,Akmola,,,50651,City with Environs,Astana,,Astana,,AkmolaKazakhstan,,,,,x,,,,,,,,,,,region,1,KZ-11,Ақмола облысы,NONE,0.0,KZ-11
Kazakhstan,Kokshetau,Akmola,,,190523,City with Environs,Kokshetau,,Kokshetau,,AkmolaKazakhstan,county,2,KZ-11,Көкшетау Қ.Ә.,,,,locality,,KZ-11,Көкшетау,,,,,region,1,KZ-11,Ақмола облысы,HIGH,1.0,KZ-11
Kazakhstan,Burabay,Akmola,,,71442,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Бурабай ауданы,,,,county,2,KZ-11,Бурабай ауданы,,,,,region,1,KZ-11,Ақмола облысы,HIGH,1.0,KZ-11
Kazakhstan,Stepnogorsk,Akmola,,,68568,City with Environs,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Степногорск қаласының әкімшілігі,,,,locality,,KZ-11,Степногорск,,,,,region,1,KZ-11,Ақмола облысы,HIGH,1.0,KZ-11
Kazakhstan,Atbasar aýdany,Akmola,,,43604,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Атбасар ауданы,,,,,,,,,,,,region,1,KZ-11,Ақмола облысы,NONE,0.0,KZ-11
Kazakhstan,Zerendi aýdany,Akmola,,,35042,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Зеренді ауданы,,,,,,,,,,,,region,1,KZ-11,Ақмола облысы,NONE,0.0,KZ-11
Kazakhstan,Bulandy aýdany,Akmola,,,29376,District,,,#N/A,,AkmolaKazakhstan,,,,,,,,,,,,,,,,region,1,KZ-11,Ақмола облысы,NONE,0.0,KZ-11
Kazakhstan,Shortandy aýdany,Akmola,,,27584,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Шортанды ауданы,,,,,,,,,,,,region,1,KZ-11,Ақмола облысы,NONE,0.0,KZ-11
Kazakhstan,Ereymentau,Akmola,,,26287,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Ерейментау ауданы,,,,county,2,KZ-11,Ерейментау ауданы,,,,,region,1,KZ-11,Ақмола облысы,HIGH,1.0,KZ-11
Kazakhstan,Arshaly aýdany,Akmola,,,24764,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Аршалы ауданы,,,,,,,,,,,,region,1,KZ-11,Ақмола облысы,NONE,0.0,KZ-11
Kazakhstan,Akkol,Akmola,,,24411,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Ақкөл ауданы,,,,county,2,KZ-11,Ақкөл ауданы,,,,,region,1,KZ-11,Ақмола облысы,HIGH,1.0,KZ-11
Kazakhstan,Esil aýdany,Akmola,,,20977,District,,,#N/A,,AkmolaKazakhstan,,,,,,,,,,,,,,,,region,1,KZ-11,Ақмола облысы,NONE,0.0,KZ-11
Kazakhstan,Astrakhan,Akmola,,,19991,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Астрахан ауданы,,,,county,2,KZ-11,Астрахан ауданы,,,,,region,1,KZ-11,Ақмола облысы,HIGH,1.0,KZ-11
Kazakhstan,Sandyktau,Akmola,,,17053,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Сандықтау ауданы,,,,county,2,KZ-11,Сандықтау ауданы,,,,,region,1,KZ-11,Ақмола облысы,HIGH,1.0,KZ-11
Kazakhstan,Zhaksy,Akmola,,,16216,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Жақсы ауданы,,,,county,2,KZ-11,Жақсы ауданы,,,,,region,1,KZ-11,Ақмола облысы,HIGH,1.0,KZ-11
Kazakhstan,"Birzhan sal, Eńbekshilder",Akmola,,,13323,District,,,#N/A,,AkmolaKazakhstan,,,,,,,,,,,,,,,,region,1,KZ-11,Ақмола облысы,NONE,0.0,KZ-11
Kazakhstan,Zharkain,Akmola,,,12904,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Жарқайың ауданы,,,,county,2,KZ-11,Жарқайың ауданы,,,,,region,1,KZ-11,Ақмола облысы,HIGH,1.0,KZ-11
Kazakhstan,Korgalzhyn,Akmola,,,7328,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Қорғалжын ауданы,,,,county,2,KZ-11,Қорғалжын ауданы,,,,,region,1,KZ-11,Ақмола облысы,HIGH,1.0,KZ-11
Kazakhstan,Egindikól aýdany,Akmola,,,5351,District,,,#N/A,,AkmolaKazakhstan,county,2,KZ-11,Егіндікөл ауданы,,,,,,,,,,,,region,1,KZ-11,Ақмола облысы,NONE,0.0,KZ-11
Kazakhstan,Aktobe,Aktobe,,,556976,City with Environs,Aktobe,,Aktobe,,AktobeKazakhstan,county,2,KZ-15,Ақтөбе Қ.Ә.,,,,region,1,KZ-15,Ақтөбе облысы,,,,,region,1,KZ-15,Ақтөбе облысы,HIGH,1.0,KZ-15
Kazakhstan,Mugalzhar,Aktobe,,,65399,District,,,#N/A,,AktobeKazakhstan,county,2,KZ-15,Мұғалжар ауданы,,,,county,2,KZ-15,Мұғалжар ауданы,,,,,region,1,KZ-15,Ақтөбе облысы,HIGH,1.0,KZ-15
Kazakhstan,Khromtau,Aktobe,,,46276,District,,,#N/A,,AktobeKazakhstan,county,2,KZ-15,Хромтау ауданы,,,,county,2,KZ-15,Хромтау ауданы,,,,,region,1,KZ-15,Ақтөбе облысы,HIGH,1.0,KZ-15
Kazakhstan,Alǵa aýdany,Aktobe,,,43251,District,,,#N/A,,AktobeKazakhstan,,,,,,,,,,,,,,,,region,1,KZ-15,Ақтөбе облысы,NONE,0.0,KZ-15
Kazakhstan,Shalkar,Aktobe,,,42556,District,,,#N/A,,AktobeKazakhstan,,,,,,,,locality,,KZ-15,Шалқар,,,,,region,1,KZ-15,Ақтөбе облысы,HIGH,1.0,KZ-15
Kazakhstan,Temir aýdany,Aktobe,,,35811,District,,,#N/A,,AktobeKazakhstan,,,,,,,,,,,,,,,,region,1,KZ-15,Ақтөбе облысы,NONE,0.0,KZ-15
Kazakhstan,Martuk,Aktobe,,,29512,District,,,#N/A,,AktobeKazakhstan,county,2,KZ-15,Мартөк ауданы,,,,locality,,KZ-15,Мартук,,,,,region,1,KZ-15,Ақтөбе облысы,HIGH,1.0,KZ-15
Kazakhstan,Bayganin,Aktobe,,,22862,District,,,#N/A,,AktobeKazakhstan,county,2,KZ-15,Байғанин ауданы,,,,county,2,KZ-15,Байғанин ауданы,,,,,region,1,KZ-15,Ақтөбе облысы,HIGH,1.0,KZ-15
Kazakhstan,Ayteke Bi,Aktobe,,,20773,District,,,#N/A,,AktobeKazakhstan,county,2,KZ-15,Әйтеке би ауданы,,,,county,2,KZ-15,Әйтеке би ауданы,,,,,region,1,KZ-15,Ақтөбе облысы,HIGH,1.0,KZ-15
Kazakhstan,Oiyl,Aktobe,,,16077,District,,,#N/A,,AktobeKazakhstan,county,2,KZ-15,Ойыл ауданы,,,,county,2,KZ-15,Ойыл ауданы,,,,,region,1,KZ-15,Ақтөбе облысы,HIGH,1.0,KZ-15
Kazakhstan,Kobda,Aktobe,,,16001,District,,,#N/A,,AktobeKazakhstan,county,2,KZ-15,Қобда ауданы,,,,county,2,KZ-15,Қобда ауданы,,,,,region,1,KZ-15,Ақтөбе облысы,HIGH,1.0,KZ-15
Kazakhstan,Kargaly,Aktobe,,,15353,District,,,#N/A,,AktobeKazakhstan,county,2,KZ-15,Қарғалы ауданы,,,,county,2,KZ-15,Қарғалы ауданы,,,,,region,1,KZ-15,Ақтөбе облысы,HIGH,1.0,KZ-15
Kazakhstan,Yrǵyz aýdany,Aktobe,,,13998,District,,,#N/A,,AktobeKazakhstan,,,,,,,,,,,,,,,,region,1,KZ-15,Ақтөбе облысы,NONE,0.0,KZ-15
Kazakhstan,Karasay,Almaty,,,323151,District,Almaty,,Almaty,,AlmatyKazakhstan,county,2,KZ-39,Қарасу ауданы,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Talǵar aýdany,Almaty,,,237869,District,Almaty,,Almaty,,AlmatyKazakhstan,county,2,KZ-71,Алматы ауданы,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Enbekshikazakh,Almaty,,,283684,District,,,#N/A,,AlmatyKazakhstan,county,2,KZ-19,Еңбекшіқазақ ауданы,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Ile aýdany,Almaty,,,264515,District,,,#N/A,,AlmatyKazakhstan,,,,,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Zhambyl,Almaty,,,167380,District,,,#N/A,,AlmatyKazakhstan,county,2,KZ-59,Жамбыл ауданы,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Qonayev,Almaty,,,70217,City with Environs,,,#N/A,,AlmatyKazakhstan,,,,,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Uygur,Almaty,,,63498,District,,,#N/A,,AlmatyKazakhstan,county,2,KZ-19,Ұйғыр ауданы,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Raiymbek,Almaty,,,29377,District,,,#N/A,,AlmatyKazakhstan,county,2,KZ-19,Райымбек ауданы,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Balkhash,Almaty,,,28901,District,,,#N/A,,AlmatyKazakhstan,county,2,KZ-19,Балқаш ауданы,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Kegen aýdany,Almaty,,,28433,District,,,#N/A,,AlmatyKazakhstan,,,,,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Auezov,Almaty Qalasy,,,354034,City District,Almaty,,Almaty,,Almaty QalasyKazakhstan,county,2,KZ-75,Әуезов ауданы,,,,county,2,KZ-75,Әуезов ауданы,,,,,region,1,KZ-75,Алматы,HIGH,1.0,KZ-75
Kazakhstan,Alatau,Almaty Qalasy,,,351021,City District,Almaty,,Almaty,,Almaty QalasyKazakhstan,county,2,KZ-75,Алатау ауданы,,,,county,2,KZ-75,Алатау ауданы,,,,,region,1,KZ-75,Алматы,HIGH,1.0,KZ-75
Kazakhstan,Bostandyk,Almaty Qalasy,,,316776,City District,Almaty,,Almaty,,Almaty QalasyKazakhstan,county,2,KZ-75,Бостандық ауданы,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Almaly aýdany,Almaty Qalasy,,,261594,City District,Almaty,,Almaty,,Almaty QalasyKazakhstan,county,2,KZ-71,Алматы ауданы,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Turksib,Almaty Qalasy,,,250745,City District,Almaty,,Almaty,,Almaty QalasyKazakhstan,county,2,KZ-75,Түрксіб Ауданы,,,,county,2,KZ-75,Түрксіб Ауданы,,,,,region,1,KZ-75,Алматы,HIGH,1.0,KZ-75
Kazakhstan,Medau,Almaty Qalasy,,,240026,City District,Almaty,,Almaty,,Almaty QalasyKazakhstan,county,2,KZ-71,Алматы ауданы,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Jetysu,Almaty Qalasy,,,195388,City District,Almaty,,Almaty,,Almaty QalasyKazakhstan,county,2,KZ-71,Алматы ауданы,,,,,,,,,,,,region,1,KZ-75,Алматы,NONE,0.0,KZ-75
Kazakhstan,Nauryzbay,Almaty Qalasy,,,177529,City District,Almaty,,Almaty,,Almaty QalasyKazakhstan,county,2,KZ-75,Наурызбай ауданы,,,,county,2,KZ-75,Наурызбай ауданы,,,,,region,1,KZ-75,Алматы,HIGH,1.0,KZ-75
Kazakhstan,Atyrau,Atyraý,,,398943,City with Environs,Atyrau,,Atyrau,,AtyraýKazakhstan,county,2,KZ-23,Атырау қалалық әкімдігі,,,,region,1,KZ-23,Атырау облысы,,,,,region,1,KZ-23,Атырау облысы,HIGH,1.0,KZ-23
Kazakhstan,Zhylyoi,Atyraý,,,86030,District,,,#N/A,,AtyraýKazakhstan,county,2,KZ-23,Жылыой ауданы,,,,county,2,KZ-23,Жылыой ауданы,,,,,region,1,KZ-23,Атырау облысы,HIGH,1.0,KZ-23
Kazakhstan,Kurmangazy,Atyraý,,,56073,District,,,#N/A,,AtyraýKazakhstan,county,2,KZ-23,Құрманғазы ауданы,,,,county,2,KZ-23,Құрманғазы ауданы,,,,,region,1,KZ-23,Атырау облысы,HIGH,1.0,KZ-23
Kazakhstan,Inder aýdany,Atyraý,,,32735,District,,,#N/A,,AtyraýKazakhstan,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Kazakhstan,Kyzylkoga,Atyraý,,,30685,District,,,#N/A,,AtyraýKazakhstan,county,2,KZ-23,Қызылқоға ауданы,,,,county,2,KZ-23,Қызылқоға ауданы,,,,,region,1,KZ-23,Атырау облысы,HIGH,1.0,KZ-23
Kazakhstan,Makat,Atyraý,,,29580,District,,,#N/A,,AtyraýKazakhstan,county,2,KZ-23,Мақат ауданы,,,,county,2,KZ-23,Мақат ауданы,,,,,region,1,KZ-23,Атырау облысы,HIGH,1.0,KZ-23
Kazakhstan,Makhambet,Atyraý,,,29086,District,,,#N/A,,AtyraýKazakhstan,county,2,KZ-23,Махамбет ауданы,,,,county,2,KZ-23,Махамбет ауданы,,,,,region,1,KZ-23,Атырау облысы,HIGH,1.0,KZ-23
Kazakhstan,Isatay,Atyraý,,,26542,District,,,#N/A,,AtyraýKazakhstan,county,2,KZ-23,Исатай ауданы,,,,county,2,KZ-23,Исатай ауданы,,,,,region,1,KZ-23,Атырау облысы,HIGH,1.0,KZ-23
Kazakhstan,Oskemen,East Kazakhstan,,,372064,City with Environs,Oskemen,,Oskemen,,East KazakhstanKazakhstan,county,2,KZ-63,Өскемен Қ.Ә.,,,,locality,,KZ-63,Өскемен,,,,,region,1,KZ-63,Шығыс Қазақстан облысы,HIGH,1.0,KZ-63
Kazakhstan,Zyryan,East Kazakhstan,,,61552,District,,,#N/A,,East KazakhstanKazakhstan,,,,,,,,,,,,,,,,region,1,KZ-63,Шығыс Қазақстан облысы,NONE,0.0,KZ-63
Kazakhstan,Glubokoye,East Kazakhstan,,,57106,District,,,#N/A,,East KazakhstanKazakhstan,county,2,KZ-63,Глубокое ауданы,,,,locality,,KZ-63,Глубокое,,,,,region,1,KZ-63,Шығыс Қазақстан облысы,HIGH,1.0,KZ-63
Kazakhstan,Ridder,East Kazakhstan,,,52186,City with Environs,,,#N/A,,East KazakhstanKazakhstan,county,2,KZ-63,Риддер қалалық әкімдігі,,,,locality,,KZ-63,Риддер,,,,,region,1,KZ-63,Шығыс Қазақстан облысы,HIGH,1.0,KZ-63
Kazakhstan,Shemonaikha,East Kazakhstan,,,42215,District,,,#N/A,,East KazakhstanKazakhstan,county,2,KZ-63,Шемонаиха ауданы,,,,county,2,KZ-63,Шемонаиха ауданы,,,,,region,1,KZ-63,Шығыс Қазақстан облысы,HIGH,1.0,KZ-63
Kazakhstan,Zaysan,East Kazakhstan,,,36154,District,,,#N/A,,East KazakhstanKazakhstan,county,2,KZ-63,Зайсан ауданы,,,,locality,,KZ-63,Зайсан,,,,,region,1,KZ-63,Шығыс Қазақстан облысы,HIGH,1.0,KZ-63
Kazakhstan,Ulan aýdany,East Kazakhstan,,,34031,District,,,#N/A,,East KazakhstanKazakhstan,,,,,,,,,,,,,,,,region,1,KZ-63,Шығыс Қазақстан облысы,NONE,0.0,KZ-63
Kazakhstan,Kúrshim aýdany,East Kazakhstan,,,22526,District,,,#N/A,,East KazakhstanKazakhstan,county,2,KZ-63,Күршім ауданы,,,,,,,,,,,,region,1,KZ-63,Шығыс Қазақстан облысы,NONE,0.0,KZ-63
Kazakhstan,Katonkaragay,East Kazakhstan,,,21473,District,,,#N/A,,East KazakhstanKazakhstan,county,2,KZ-63,Катонқарағай ауданы,,,,county,2,KZ-63,Катонқарағай ауданы,,,,,region,1,KZ-63,Шығыс Қазақстан облысы,HIGH,1.0,KZ-63
Kazakhstan,Tarbagatay,East Kazakhstan,,,19489,District,,,#N/A,,East KazakhstanKazakhstan,county,2,KZ-63,Тарбағатай ауданы,,,,county,2,KZ-63,Тарбағатай ауданы,,,,,region,1,KZ-63,Шығыс Қазақстан облысы,HIGH,1.0,KZ-63
Kazakhstan,Samar aýdany,East Kazakhstan,,,12022,District,,,#N/A,,East KazakhstanKazakhstan,,,,,,,,,,,,,,,,region,1,KZ-63,Шығыс Қазақстан облысы,NONE,0.0,KZ-63
