Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Laos,Samakkhixai,Attapeu [Attapu],,,41040,District,,,#N/A,,Attapeu [Attapu]Laos,county,2,LA-AT,ເມືອງສາມັກຄີໄຊ,,,,county,2,LA-AT,ເມືອງສາມັກຄີໄຊ,,,,,region,1,LA-AT,ອັດຕະປື,HIGH,1.0,LA-AT
Laos,Sanamxai,Attapeu [Attapu],,,39116,District,,,#N/A,,Attapeu [Attapu]Laos,county,2,LA-AT,ເມືອງສະໜາມໄຊ,,,,county,2,LA-AT,ເມືອງສະໜາມໄຊ,,,,,region,1,LA-AT,ອັດຕະປື,HIGH,1.0,LA-AT
Laos,Xaysetha [Saysetha],Attapeu [Attapu],,,37396,District,,,#N/A,,Attapeu [Attapu]Laos,county,2,LA-AT,ເມືອງໄຊສະຖານ,,,,,,,,,,,,,,,,NONE,0.0,
Laos,Sanxai,Attapeu [Attapu],,,25823,District,,,#N/A,,Attapeu [Attapu]Laos,county,2,LA-AT,ເມືອງສານໄຊ,,,,county,2,LA-AT,ເມືອງສານໄຊ,,,,,region,1,LA-AT,ອັດຕະປື,HIGH,1.0,LA-AT
Laos,Phouvong,Attapeu [Attapu],,,16511,District,,,#N/A,,Attapeu [Attapu]Laos,county,2,LA-AT,ເມືອງພູວົງ,,,,county,2,LA-AT,ເມືອງພູວົງ,,,,,region,1,LA-AT,ອັດຕະປື,HIGH,1.0,LA-AT
Laos,Huoixai [Houayxay],Bokeo,,,78246,District,,,#N/A,,BokeoLaos,,,,,,,,,,,,,,,,region,1,LA-BK,ບໍ່ແກ້ວ,NONE,0.0,LA-BK
Laos,Pha Oudom,Bokeo,,,46849,District,,,#N/A,,BokeoLaos,county,2,LA-BK,ເມືອງຜາອຸດົມ,,,,county,2,LA-BK,ເມືອງຜາອຸດົມ,,,,,region,1,LA-BK,ບໍ່ແກ້ວ,HIGH,1.0,LA-BK
Laos,Tonpheung,Bokeo,,,39520,District,,,#N/A,,BokeoLaos,county,2,LA-BK,ເມືອງຕົ້ນເຜິ້ງ,,,,county,2,LA-BK,ເມືອງຕົ້ນເຜິ້ງ,,,,,region,1,LA-BK,ບໍ່ແກ້ວ,HIGH,1.0,LA-BK
Laos,Paktha,Bokeo,,,21849,District,,,#N/A,,BokeoLaos,county,2,LA-BK,ເມືອງປາກທາ,,,,county,2,LA-BK,ເມືອງປາກທາ,,,,,region,1,LA-BK,ບໍ່ແກ້ວ,HIGH,1.0,LA-BK
Laos,Meung [incl. Nam Ngu Special Region],Bokeo,,,17004,District,,,#N/A,,BokeoLaos,county,2,LA-BK,ເມືອງເມິງ,,,,,,,,,,,,region,1,LA-BK,ບໍ່ແກ້ວ,NONE,0.0,LA-BK
Laos,Khamkheuth,Borikhamxay [Bolikhamsai],,,71209,District,,,#N/A,,Borikhamxay [Bolikhamsai]Laos,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Laos,"Borikhanh [Borikhane, Bolikanh]",Borikhamxay [Bolikhamsai],,,57959,District,,,#N/A,,Borikhamxay [Bolikhamsai]Laos,county,2,LA-BL,ເມືອງບໍລິຄັນ,,,,,,,,,,,,,,,,NONE,0.0,
Laos,Pakkading,Borikhamxay [Bolikhamsai],,,57824,District,,,#N/A,,Borikhamxay [Bolikhamsai]Laos,county,2,LA-BL,ເມືອງປາກກະດິງ,,,,county,2,LA-BL,ເມືອງປາກກະດິງ,,,,,region,1,LA-BL,ບໍລິຄຳໄຊ,HIGH,1.0,LA-BL
Laos,Pakxane [Paksane],Borikhamxay [Bolikhamsai],,,51078,District,,,#N/A,,Borikhamxay [Bolikhamsai]Laos,county,2,LA-BL,ເມືອງປາກຊັນ,,,,,,,,,,,,,,,,NONE,0.0,
Laos,Viengthong,Borikhamxay [Bolikhamsai],,,35122,District,,,#N/A,,Borikhamxay [Bolikhamsai]Laos,county,2,LA-BL,ເມືອງວຽງທອງ,,,,county,2,LA-BL,ເມືອງວຽງທອງ,,,,,region,1,LA-BL,ບໍລິຄຳໄຊ,HIGH,1.0,LA-BL
Laos,Thaphabath,Borikhamxay [Bolikhamsai],,,28699,District,,,#N/A,,Borikhamxay [Bolikhamsai]Laos,county,2,LA-BL,ເມືອງທ່າພະບາດ,,,,county,2,LA-BL,ເມືອງທ່າພະບາດ,,,,,region,1,LA-BL,ບໍລິຄຳໄຊ,HIGH,1.0,LA-BL
Laos,Xaychomphone,Borikhamxay [Bolikhamsai],,,13066,District,,,#N/A,,Borikhamxay [Bolikhamsai]Laos,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Laos,Pakxe [Pakse],Champasack [Champasak],,,80944,District,Pakse,,Pakse,,Champasack [Champasak]Laos,county,2,LA-CH,ເມືອງປາກເຊ,,,,,,,,,,,,,,,,NONE,0.0,
Laos,Khong,Champasack [Champasak],,,100537,District,,,#N/A,,Champasack [Champasak]Laos,county,2,LA-CH,ເມືອງໂຂງ,,,,county,2,LA-CH,ເມືອງໂຂງ,,,,,region,1,LA-CH,ຈຳປາສັກ,HIGH,1.0,LA-CH
Laos,Phonthong,Champasack [Champasak],,,100291,District,,,#N/A,,Champasack [Champasak]Laos,county,2,LA-CH,ເມືອງໂພນທອງ,,,,county,2,LA-LP,ເມືອງໂພນທອງ,,,,,region,1,LA-LP,ຫລວງພະບາງ,HIGH,1.0,LA-LP
Laos,Pakxong [Paksong],Champasack [Champasak],,,93084,District,,,#N/A,,Champasack [Champasak]Laos,county,2,LA-CH,ເມືອງປາກຊ່ອງ,,,,,,,,,,,,,,,,NONE,0.0,
Laos,Sanasomboon [Sanasomboune],Champasack [Champasak],,,71834,District,,,#N/A,,Champasack [Champasak]Laos,county,2,LA-CH,ເມືອງຊະນະສົມບູນ,,,,,,,,,,,,,,,,NONE,0.0,
