Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Lebanon,'Akkār [Akkar],'Akkār [Akkar],,,423596,District,,,#N/A,,'Akkār [Akkar]Lebanon,county,2,LB-AK,قضاء عكار,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,Zaḥlah [Zahlé],Al-Biqā' [Beqaa],,,336382,District,,,#N/A,,Al-Biqā' [Beqaa]Lebanon,county,2,LB-BI,قضاء زحلة,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,"Al-Biqā' al-Gharbī [Békaa Ouest, Western Beqaa]",Al-Biqā' [Beqaa],,,150838,District,,,#N/A,,Al-Biqā' [Beqaa]Lebanon,county,2,LB-BI,قضاء البقاع الغربي,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,Rāshayyā [Rachaiya],Al-Biqā' [Beqaa],,,47122,District,,,#N/A,,Al-Biqā' [Beqaa]Lebanon,county,2,LB-BI,قضاء راشيا,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,"An-Nabaṭiyah [Nabatiyé, Nabatieh]","An-Nabaṭiyah [Nabatiyé, Nabatieh]",,,155233,District,,,#N/A,,"An-Nabaṭiyah [Nabatiyé, Nabatieh]Lebanon",county,2,LB-NA,قضاء النبطية,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,Bint Jubayl [Bint Jbeil],"An-Nabaṭiyah [Nabatiyé, Nabatieh]",,,104862,District,,,#N/A,,"An-Nabaṭiyah [Nabatiyé, Nabatieh]Lebanon",county,2,LB-NA,قضاء بنت جبيل,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,"Marji'yūn [Marjayoun, Marjeyoun]","An-Nabaṭiyah [Nabatiyé, Nabatieh]",,,85960,District,,,#N/A,,"An-Nabaṭiyah [Nabatiyé, Nabatieh]Lebanon",county,2,LB-NA,قضاء مرجعيون,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,Ḥāṣbayyā [Hasbaya],"An-Nabaṭiyah [Nabatiyé, Nabatieh]",,,37784,District,,,#N/A,,"An-Nabaṭiyah [Nabatiyé, Nabatieh]Lebanon",county,2,LB-NA,قضاء حاصبيا,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,Ba'albak [Baalbek],Ba'albak - Al-Harmal [Baalbek-Hermel],,,387935,District,,,#N/A,,Ba'albak - Al-Harmal [Baalbek-Hermel]Lebanon,county,2,LB-BH,قضاء بعلبك,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,Al-Harmal [Hermel],Ba'albak - Al-Harmal [Baalbek-Hermel],,,69997,District,,,#N/A,,Ba'albak - Al-Harmal [Baalbek-Hermel]Lebanon,county,2,LB-BH,قضاء الهرمل,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,"Bayrūt [Beyrouth, Beirut]",Bayrūt [Beirut],,,433249,District,Beirut,,Beirut,,Bayrūt [Beirut]Lebanon,region,1,LB-BA,محافظة بيروت,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,B'abdā [Baabda],Jabal Lubnān [Mount Lebanon],,,568714,District,Beirut,,Beirut,,Jabal Lubnān [Mount Lebanon]Lebanon,county,2,LB-JL,قضاء بعبدا,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,Al-Matn [El Meten],Jabal Lubnān [Mount Lebanon],,,523593,District,Beirut,,Beirut,,Jabal Lubnān [Mount Lebanon]Lebanon,county,2,LB-JL,قضاء المتن,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,Ash-Shūf [Chouf],Jabal Lubnān [Mount Lebanon],,,231427,District,Beirut,,Beirut,,Jabal Lubnān [Mount Lebanon]Lebanon,county,2,LB-JL,قضاء الشوف,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,'Ālayh [Aley],Jabal Lubnān [Mount Lebanon],,,196282,District,Beirut,,Beirut,,Jabal Lubnān [Mount Lebanon]Lebanon,county,2,LB-JL,قضاء عاليه,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,"Kisrwān [Kesrouane, Keserwan]",Jabal Lubnān [Mount Lebanon],,,182834,District,Beirut,,Beirut,,Jabal Lubnān [Mount Lebanon]Lebanon,county,2,,قضاء كسروان,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,"Jubayl [Jbeil, Byblos]",Jabal Lubnān [Mount Lebanon],,,99388,District,,,#N/A,,Jabal Lubnān [Mount Lebanon]Lebanon,county,2,,قضاء جبيل,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,"Ṣaydā [Saida, Sidon]",Lubnān al-Janūbī [South Lebanon],,,287987,District,,,#N/A,,Lubnān al-Janūbī [South Lebanon]Lebanon,county,2,LB-JA,قضاء صيدا,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,"Ṣūr [Sour, Tyre]",Lubnān al-Janūbī [South Lebanon],,,270516,District,,,#N/A,,Lubnān al-Janūbī [South Lebanon]Lebanon,county,2,LB-JA,قضاء صور,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,Jazzīn [Jezzine],Lubnān al-Janūbī [South Lebanon],,,31575,District,,,#N/A,,Lubnān al-Janūbī [South Lebanon]Lebanon,county,2,LB-JA,قضاء جزين,,,,,,,,,,,,,,,,NONE,0.0,
Lebanon,Ṭarābulus [Tripoli],Lubnān ash-Shamālī [North Lebanon],,,342760,District,Tripoli (Leb),,Tripoli (Leb),,Lubnān ash-Shamālī [North Lebanon]Lebanon,county,2,LB-AS,قضاء طرابلس,,,,,,,,,,,,,,,,NONE,0.0,
