Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Sri Lanka,Matale,Central (Madhyama),,,530000,District,Dambulla,,Dambulla,,Central (Madhyama)Sri Lanka,county,2,LK-2,Matale District,,,,county,2,LK-2,Matale District,,,,,region,1,LK-2,Central Province,HIGH,1.0,LK-2
Sri Lanka,Kandy,Central (Madhyama),,,1501000,District,Kandy,,Kandy,,Central (Madhyama)Sri Lanka,county,2,LK-2,Kandy District,,,,county,2,LK-2,Kandy District,,,,,region,1,LK-2,Central Province,HIGH,1.0,LK-2
Sri Lanka,Nuwara Eliya,Central (Madhyama),,,780000,District,,,#N/A,,Central (Madhyama)Sri Lanka,county,2,LK-2,Nuwara Eliya District,,,,county,2,LK-2,Nuwara Eliya District,,,,,region,1,LK-2,Central Province,HIGH,1.0,LK-2
Sri Lanka,Batticaloa,"Eastern (Kilakku, Negenahira)",,,590000,District,Batticaloa,,Batticaloa,,"Eastern (Kilakku, Negenahira)Sri Lanka",county,2,LK-5,Batticaloa District,,,,county,2,LK-5,Batticaloa District,,,,,region,1,LK-5,Eastern Province,HIGH,1.0,LK-5
Sri Lanka,Ampara,"Eastern (Kilakku, Negenahira)",,,752000,District,,,#N/A,,"Eastern (Kilakku, Negenahira)Sri Lanka",county,2,LK-5,Ampara District,,,,county,2,LK-5,Ampara District,,,,,region,1,LK-5,Eastern Province,HIGH,1.0,LK-5
Sri Lanka,Trincomalee,"Eastern (Kilakku, Negenahira)",,,441000,District,,,#N/A,,"Eastern (Kilakku, Negenahira)Sri Lanka",county,2,LK-5,Trincomalee District,,,,county,2,LK-5,Trincomalee District,,,,,region,1,LK-5,Eastern Province,HIGH,1.0,LK-5
Sri Lanka,Anuradhapura,North Central (Uturumeda),,,954000,District,,,#N/A,,North Central (Uturumeda)Sri Lanka,county,2,LK-7,Anuradhapura District,,,,county,2,LK-7,Anuradhapura District,,,,,region,1,LK-7,North Central Province,HIGH,1.0,LK-7
Sri Lanka,Polonnaruwa,North Central (Uturumeda),,,448000,District,,,#N/A,,North Central (Uturumeda)Sri Lanka,county,2,LK-7,Polonnaruwa District,,,,county,2,LK-7,Polonnaruwa District,,,,,region,1,LK-7,North Central Province,HIGH,1.0,LK-7
Sri Lanka,Kurunegala,North Western (Wayamba),,,1743000,District,Kurunegala,,Kurunegala,,North Western (Wayamba)Sri Lanka,county,2,LK-6,Kurunǣgala,,,,county,2,LK-6,Kurunǣgala,,,,,region,1,LK-6,North Western Province,HIGH,1.0,LK-6
Sri Lanka,Puttalam,North Western (Wayamba),,,849000,District,,,#N/A,,North Western (Wayamba)Sri Lanka,county,2,LK-6,Puttalam District,,,,county,2,LK-6,Puttalam District,,,,,region,1,LK-6,North Western Province,HIGH,1.0,LK-6
