Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Lithuania,Alytus,Alytus,,,52727,City Municipality,Alytus,,Alytus,,AlytusLithuania,county,2,LT-AL,Alytaus rajono savivaldybė,,,,locality,,LT-AL,Alytus,,,,,region,1,LT-AL,Alytaus apskritis,HIGH,1.0,LT-AL
Lithuania,Alytus,Alytus,,,25581,District Municipality,Alytus,,Alytus,,AlytusLithuania,county,2,LT-AL,Alytaus rajono savivaldybė,,,,locality,,LT-AL,Alytus,,,,,region,1,LT-AL,Alytaus apskritis,HIGH,1.0,LT-AL
Lithuania,Varėna,Alytus,,,21137,District Municipality,,,#N/A,,AlytusLithuania,county,2,LT-AL,Varėnos rajono savivaldybė,,,,locality,,LT-AL,Varėna,,,,,region,1,LT-AL,Alytaus apskritis,HIGH,1.0,LT-AL
Lithuania,Druskininkai,Alytus,,,20049,Municipality,,,#N/A,,AlytusLithuania,county,2,LT-AL,Druskininkų savivaldybė,,,,locality,,LT-AL,Druskininkai,,,,,region,1,LT-AL,Alytaus apskritis,HIGH,1.0,LT-AL
Lithuania,Lazdijai,Alytus,,,18247,District Municipality,,,#N/A,,AlytusLithuania,county,2,LT-AL,Lazdijų rajono savivaldybė,,,,locality,,LT-AL,Lazdijai,,,,,region,1,LT-AL,Alytaus apskritis,HIGH,1.0,LT-AL
Lithuania,Kaunas,Kaunas,,,298753,City Municipality,Kaunas,,Kaunas,,KaunasLithuania,county,2,LT-KU,Kauno miesto savivaldybė,,,,locality,,LT-KU,Kaunas,,,,,region,1,LT-KU,Kauno apskritis,HIGH,1.0,LT-KU
Lithuania,Kaunas,Kaunas,,,92400,District Municipality,Kaunas,,Kaunas,,KaunasLithuania,county,2,LT-KU,Kauno miesto savivaldybė,,,,locality,,LT-KU,Kaunas,,,,,region,1,LT-KU,Kauno apskritis,HIGH,1.0,LT-KU
Lithuania,Jonava,Kaunas,,,41595,District Municipality,Kaunas,,Kaunas,,KaunasLithuania,county,2,LT-KU,Jonavos rajono savivaldybė,,,,locality,,LT-KU,Jonava,,,,,region,1,LT-KU,Kauno apskritis,HIGH,1.0,LT-KU
Lithuania,Raseiniai,Kaunas,,,31192,District Municipality,Kaunas,,Kaunas,,KaunasLithuania,county,2,LT-KU,Raseinių rajono savivaldybė,,,,locality,,LT-KU,Raseiniai,,,,,region,1,LT-KU,Kauno apskritis,HIGH,1.0,LT-KU
Lithuania,Kaišiadorys,Kaunas,,,29835,District Municipality,Kaunas,,Kaunas,,KaunasLithuania,county,2,LT-KU,Kaišiadorių rajono savivaldybė,,,,locality,,LT-KU,Kaišiadorys,,,,,region,1,LT-KU,Kauno apskritis,HIGH,1.0,LT-KU
Lithuania,Prienai,Kaunas,,,25286,District Municipality,Kaunas,,Kaunas,,KaunasLithuania,county,2,LT-KU,Prienų rajono savivaldybė,,,,locality,,LT-KU,Prienai,,,,,region,1,LT-KU,Kauno apskritis,HIGH,1.0,LT-KU
Lithuania,Birštonas,Kaunas,,,4128,Municipality,Kaunas,,Kaunas,,KaunasLithuania,county,2,LT-KU,Birštono savivaldybė,,,,locality,,LT-KU,Birštonas,,,,,region,1,LT-KU,Kauno apskritis,HIGH,1.0,LT-KU
Lithuania,Kėdainiai,Kaunas,,,46382,District Municipality,Kėdainiai,,Kėdainiai,,KaunasLithuania,county,2,LT-KU,Kėdainių rajono savivaldybė,,,,locality,,LT-KU,Kėdainiai,,,,,region,1,LT-KU,Kauno apskritis,HIGH,1.0,LT-KU
Lithuania,Klaipėda,Klaipėda,,,152008,City Municipality,Klaipėda,,Klaipėda,,KlaipėdaLithuania,county,2,LT-KL,Klaipėdos miesto savivaldybė,,,,locality,,LT-KL,Klaipėda,,,,,region,1,LT-KL,Klaipėdos apskritis,HIGH,1.0,LT-KL
Lithuania,Klaipėda,Klaipėda,,,56964,District Municipality,Klaipėda,,Klaipėda,,KlaipėdaLithuania,county,2,LT-KL,Klaipėdos miesto savivaldybė,,,,locality,,LT-KL,Klaipėda,,,,,region,1,LT-KL,Klaipėdos apskritis,HIGH,1.0,LT-KL
Lithuania,Palanga,Klaipėda,,,16746,City Municipality,Palanga,,Palanga,,KlaipėdaLithuania,county,2,LT-KL,Palangos miesto savivaldybė,,,,locality,,LT-KL,Palanga,,,,,region,1,LT-KL,Klaipėdos apskritis,HIGH,1.0,LT-KL
Lithuania,Šilutė,Klaipėda,,,39067,District Municipality,,,#N/A,,KlaipėdaLithuania,county,2,LT-KL,Šilutės rajono savivaldybė,,,,locality,,LT-KL,Šilutė,,,,,region,1,LT-KL,Klaipėdos apskritis,HIGH,1.0,LT-KL
Lithuania,Kretinga,Klaipėda,,,37639,District Municipality,,,#N/A,,KlaipėdaLithuania,county,2,LT-KL,Kretingos rajono savivaldybė,,,,locality,,LT-KL,Kretinga,,,,,region,1,LT-KL,Klaipėdos apskritis,HIGH,1.0,LT-KL
Lithuania,Skuodas,Klaipėda,,,16250,District Municipality,,,#N/A,,KlaipėdaLithuania,county,2,LT-KL,Skuodo rajono savivaldybė,,,,locality,,LT-KL,Skuodas,,,,,region,1,LT-KL,Klaipėdos apskritis,HIGH,1.0,LT-KL
Lithuania,Neringa,Klaipėda,,,3609,Municipality,,,#N/A,,KlaipėdaLithuania,county,2,LT-KL,Neringos savivaldybė,,,,locality,,LT-KL,Neringa,,,,,region,1,LT-KL,Klaipėdos apskritis,HIGH,1.0,LT-KL
Lithuania,Marijampolė,Marijampolė,,,54846,Municipality,Marijampolė,,Marijampolė,,MarijampolėLithuania,county,2,LT-MR,Marijampolės savivaldybė,,,,locality,,LT-MR,Marijampolė,,,,,region,1,LT-MR,Marijampolės apskritis,HIGH,1.0,LT-MR
Lithuania,Vilkaviškis,Marijampolė,,,35368,District Municipality,Marijampolė,,Marijampolė,,MarijampolėLithuania,county,2,LT-MR,Vilkaviškio rajono savivaldybė,,,,locality,,LT-MR,Vilkaviškis,,,,,region,1,LT-MR,Marijampolės apskritis,HIGH,1.0,LT-MR
Lithuania,Šakiai,Marijampolė,,,26931,District Municipality,Marijampolė,,Marijampolė,,MarijampolėLithuania,county,2,LT-MR,Šakių rajono savivaldybė,,,,locality,,LT-MR,Šakiai,,,,,region,1,LT-MR,Marijampolės apskritis,HIGH,1.0,LT-MR
Lithuania,Kazlų Rūda,Marijampolė,,,11054,Municipality,Marijampolė,,Marijampolė,,MarijampolėLithuania,county,2,LT-MR,Kazlų Rūdos savivaldybė,,,,locality,,LT-MR,Kazlų Rūda,,,,,region,1,LT-MR,Marijampolės apskritis,HIGH,1.0,LT-MR
Lithuania,Kalvarija,Marijampolė,,,10093,Municipality,Marijampolė,,Marijampolė,,MarijampolėLithuania,county,2,LT-MR,Kalvarijos savivaldybė,,,,locality,,LT-MR,Kalvarija,,,,,region,1,LT-MR,Marijampolės apskritis,HIGH,1.0,LT-MR
Lithuania,Panevėžys,Panevėžys,,,89100,City Municipality,Panevežys,,Panevežys,,PanevėžysLithuania,county,2,LT-PN,Panevėžio rajono savivaldybė,,,,locality,,LT-PN,Panevėžys,,,,,region,1,LT-PN,Panevėžio apskritis,HIGH,1.0,LT-PN
