Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Morocco,Khouribga,Béni Mellal - Khénifra,,,566288,Province,Khouribga,,Khouribga,,Béni Mellal - KhénifraMorocco,county,2,MA-05,Province de Khouribga إقليم خريبكة,,,,county,2,MA-05,Province de Khouribga إقليم خريبكة,,,,,region,1,MA-05,Béni Mellal-Khénifra ⴰⵢⵜ ⵎⵍⵍⴰⵍ-ⵅⵏⵉⴼⵕⴰ بني ملال-خنيفرة,HIGH,1.0,MA-05
Morocco,Béni Mellal,Béni Mellal - Khénifra,,,582328,Province,,,#N/A,,Béni Mellal - KhénifraMorocco,county,2,MA-05,Province de Beni Mellal إقليم بني ملال,,,,county,2,MA-05,Province de Beni Mellal إقليم بني ملال,,,,,region,1,MA-05,Béni Mellal-Khénifra ⴰⵢⵜ ⵎⵍⵍⴰⵍ-ⵅⵏⵉⴼⵕⴰ بني ملال-خنيفرة,HIGH,1.0,MA-05
Morocco,Azilal,Béni Mellal - Khénifra,,,566889,Province,,,#N/A,,Béni Mellal - KhénifraMorocco,county,2,MA-05,Province d'Azilal إقليم أزيلال,,,,county,2,MA-05,Province d'Azilal إقليم أزيلال,,,,,region,1,MA-05,Béni Mellal-Khénifra ⴰⵢⵜ ⵎⵍⵍⴰⵍ-ⵅⵏⵉⴼⵕⴰ بني ملال-خنيفرة,HIGH,1.0,MA-05
Morocco,Fquih Ben Salah,Béni Mellal - Khénifra,,,520318,Province,,,#N/A,,Béni Mellal - KhénifraMorocco,county,2,MA-05,Province de Fquih Ben Saleh إقليم الفقيه بن صالح,,,,county,2,MA-05,Province de Fquih Ben Saleh إقليم الفقيه بن صالح,,,,,region,1,MA-05,Béni Mellal-Khénifra ⴰⵢⵜ ⵎⵍⵍⴰⵍ-ⵅⵏⵉⴼⵕⴰ بني ملال-خنيفرة,HIGH,1.0,MA-05
Morocco,Khénifra,Béni Mellal - Khénifra,,,377314,Province,,,#N/A,,Béni Mellal - KhénifraMorocco,county,2,MA-05,Province de Khénifra إقليم خنيفرة,,,,county,2,MA-05,Province de Khénifra إقليم خنيفرة,,,,,region,1,MA-05,Béni Mellal-Khénifra ⴰⵢⵜ ⵎⵍⵍⴰⵍ-ⵅⵏⵉⴼⵕⴰ بني ملال-خنيفرة,HIGH,1.0,MA-05
Morocco,Errachidia,Drâa - Tafilalet,,,424458,Province,,,#N/A,,Drâa - TafilaletMorocco,county,2,MA-08,Province d'Errachidia إقليم الرشيدية,,,,county,2,MA-08,Province d'Errachidia إقليم الرشيدية,,,,,region,1,MA-08,Drâa-Tafilalet ⴷⴰⵔⵄⴰ-ⵜⴰⴼⵉⵍⴰⵍⵜ درعة تافيلالت,HIGH,1.0,MA-08
Morocco,Tinghir,Drâa - Tafilalet,,,339695,Province,,,#N/A,,Drâa - TafilaletMorocco,county,2,MA-08,Province de Tinghir إقليم تنغير,,,,county,2,MA-08,Province de Tinghir إقليم تنغير,,,,,region,1,MA-08,Drâa-Tafilalet ⴷⴰⵔⵄⴰ-ⵜⴰⴼⵉⵍⴰⵍⵜ درعة تافيلالت,HIGH,1.0,MA-08
Morocco,Zagora,Drâa - Tafilalet,,,315578,Province,,,#N/A,,Drâa - TafilaletMorocco,county,2,MA-08,Province de Zagora ⵍⵉⵇⵍⵉⵎ ⵏ ⵣⴰⴳⵓⵔⴰ إقليم زاكورة,,,,county,2,MA-08,Province de Zagora ⵍⵉⵇⵍⵉⵎ ⵏ ⵣⴰⴳⵓⵔⴰ إقليم زاكورة,,,,,region,1,MA-08,Drâa-Tafilalet ⴷⴰⵔⵄⴰ-ⵜⴰⴼⵉⵍⴰⵍⵜ درعة تافيلالت,HIGH,1.0,MA-08
Morocco,Ouarzazate,Drâa - Tafilalet,,,310813,Province,,,#N/A,,Drâa - TafilaletMorocco,county,2,MA-08,Province d'Ouarzazate ⵜⴰⵙⴳⴰ ⵏ ⵡⴰⵔⵣⴰⵣⴰⵜ إقليم ورززات,,,,county,2,MA-08,Province d'Ouarzazate ⵜⴰⵙⴳⴰ ⵏ ⵡⴰⵔⵣⴰⵣⴰⵜ إقليم ورززات,,,,,region,1,MA-08,Drâa-Tafilalet ⴷⴰⵔⵄⴰ-ⵜⴰⴼⵉⵍⴰⵍⵜ درعة تافيلالت,HIGH,1.0,MA-08
Morocco,Midelt,Drâa - Tafilalet,,,303242,Province,,,#N/A,,Drâa - TafilaletMorocco,county,2,MA-08,Province de Midelt إقليم ميدلت,,,,county,2,MA-08,Province de Midelt إقليم ميدلت,,,,,region,1,MA-08,Drâa-Tafilalet ⴷⴰⵔⵄⴰ-ⵜⴰⴼⵉⵍⴰⵍⵜ درعة تافيلالت,HIGH,1.0,MA-08
Morocco,Fès,Fès - Meknès,,,1249416,Prefecture,Fez,,Fez,,Fès - MeknèsMorocco,county,2,MA-03,Préfecture de Fès عمالة فاس,,,,locality,,MA-03,Fès ⴼⴰⵙ فاس,,,,,region,1,MA-03,Fès-Meknès ⴼⴰⵙ-ⵎⴽⵏⴰⵙ فاس-مكناس,HIGH,1.0,MA-03
Morocco,Meknès,Fès - Meknès,,,902391,Prefecture,Meknès,,Meknès,,Fès - MeknèsMorocco,county,2,MA-03,Prefecture de Meknès عمالة مكناس,,,,county,2,MA-03,Prefecture de Meknès عمالة مكناس,,,,,region,1,MA-03,Fès-Meknès ⴼⴰⵙ-ⵎⴽⵏⴰⵙ فاس-مكناس,HIGH,1.0,MA-03
Morocco,Taounate,Fès - Meknès,,,641499,Province,,,#N/A,,Fès - MeknèsMorocco,county,2,MA-03,Province de Taounate إقليم تاونات,,,,county,2,MA-03,Province de Taounate إقليم تاونات,,,,,region,1,MA-03,Fès-Meknès ⴼⴰⵙ-ⵎⴽⵏⴰⵙ فاس-مكناس,HIGH,1.0,MA-03
Morocco,Taza,Fès - Meknès,,,501805,Province,,,#N/A,,Fès - MeknèsMorocco,county,2,MA-03,Province de Taza إقليم تازة,,,,county,2,MA-03,Province de Taza إقليم تازة,,,,,region,1,MA-03,Fès-Meknès ⴼⴰⵙ-ⵎⴽⵏⴰⵙ فاس-مكناس,HIGH,1.0,MA-03
Morocco,Séfrou,Fès - Meknès,,,297436,Province,,,#N/A,,Fès - MeknèsMorocco,county,2,MA-03,Province de Sefrou إقليم صفرو,,,,county,2,MA-03,Province de Sefrou إقليم صفرو,,,,,region,1,MA-03,Fès-Meknès ⴼⴰⵙ-ⵎⴽⵏⴰⵙ فاس-مكناس,HIGH,1.0,MA-03
Morocco,El Hajeb,Fès - Meknès,,,263755,Province,,,#N/A,,Fès - MeknèsMorocco,county,2,MA-03,Province d'El Hajeb إقليم الحاجب,,,,county,2,MA-03,Province d'El Hajeb إقليم الحاجب,,,,,region,1,MA-03,Fès-Meknès ⴼⴰⵙ-ⵎⴽⵏⴰⵙ فاس-مكناس,HIGH,1.0,MA-03
Morocco,Boulemane,Fès - Meknès,,,200561,Province,,,#N/A,,Fès - MeknèsMorocco,county,2,MA-03,Province de Boulemane إقليم بولمان,,,,county,2,MA-03,Province de Boulemane إقليم بولمان,,,,,region,1,MA-03,Fès-Meknès ⴼⴰⵙ-ⵎⴽⵏⴰⵙ فاس-مكناس,HIGH,1.0,MA-03
Morocco,Moulay Yaâcoub,Fès - Meknès,,,189512,Province,,,#N/A,,Fès - MeknèsMorocco,county,2,MA-03,Province de Moulay Yacoub إقليم مولاي يعقوب,,,,,,,,,,,,,,,,NONE,0.0,
Morocco,Ifrane,Fès - Meknès,,,159487,Province,,,#N/A,,Fès - MeknèsMorocco,county,2,MA-03,Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,,,,county,2,MA-03,Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,,,,,region,1,MA-03,Fès-Meknès ⴼⴰⵙ-ⵎⴽⵏⴰⵙ فاس-مكناس,HIGH,1.0,MA-03
Morocco,Berrechid,Grand Casablanca - Settat,,,561410,Province,Berrechid,,Berrechid,,Grand Casablanca - SettatMorocco,county,2,MA-06,Province de Berrechid إقليم برشيد,,,,county,2,MA-06,Province de Berrechid إقليم برشيد,,,,,region,1,MA-06,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,HIGH,1.0,MA-06
Morocco,Casablanca,Grand Casablanca - Settat,,,3566020,Prefecture,Casablanca,,Casablanca,,Grand Casablanca - SettatMorocco,county,2,MA-06,Préfecture de Casablanca عمالة الدار البيضاء,,,,locality,,MA-06,Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء,,,,,region,1,MA-06,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,HIGH,1.0,MA-06
Morocco,Nouaceur,Grand Casablanca - Settat,,,470495,Province,Casablanca,,Casablanca,,Grand Casablanca - SettatMorocco,county,2,MA-06,Province de Nouaceur إقليم النواصر,,,,county,2,MA-06,Province de Nouaceur إقليم النواصر,,,,,region,1,MA-06,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,HIGH,1.0,MA-06
Morocco,Mohammédia,Grand Casablanca - Settat,,,445164,Prefecture,Casablanca,,Casablanca,,Grand Casablanca - SettatMorocco,county,2,MA-06,Préfecture de Mohammédia عمالة المحمدية,,,,locality,,MA-06,Mohammédia المحمدية,,,,,region,1,MA-06,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,HIGH,1.0,MA-06
Morocco,Médiouna,Grand Casablanca - Settat,,,242161,Province,Casablanca,,Casablanca,,Grand Casablanca - SettatMorocco,county,2,MA-06,Province de Médiouna إقليم مديونة,,,,county,2,MA-06,Province de Médiouna إقليم مديونة,,,,,region,1,MA-06,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,HIGH,1.0,MA-06
Morocco,El Jadida,Grand Casablanca - Settat,,,826877,Province,El Jadida,,El Jadida,,Grand Casablanca - SettatMorocco,county,2,MA-06,Province d'El Jadida إقليم الجديدة,,,,county,2,MA-06,Province d'El Jadida إقليم الجديدة,,,,,region,1,MA-06,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,HIGH,1.0,MA-06
Morocco,Sidi Bennour,Grand Casablanca - Settat,,,427461,Province,Zemamra,,Zemamra,,Grand Casablanca - SettatMorocco,county,2,MA-06,Province de Sidi Bennour إقليم سيدي بنور,,,,county,2,MA-06,Province de Sidi Bennour إقليم سيدي بنور,,,,,region,1,MA-06,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,HIGH,1.0,MA-06
Morocco,Settat,Grand Casablanca - Settat,,,622323,Province,,,#N/A,,Grand Casablanca - SettatMorocco,county,2,MA-06,Province de Settat إقليم سطات,,,,county,2,MA-06,Province de Settat إقليم سطات,,,,,region,1,MA-06,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,HIGH,1.0,MA-06
Morocco,Benslimane,Grand Casablanca - Settat,,,246302,Province,,,#N/A,,Grand Casablanca - SettatMorocco,county,2,MA-06,Province de Benslimane إقليم بن سليمان,,,,county,2,MA-06,Province de Benslimane إقليم بن سليمان,,,,,region,1,MA-06,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,HIGH,1.0,MA-06
Morocco,Guelmim,Guelmim - Oued Noun,,,199677,Province,,,#N/A,,Guelmim - Oued NounMorocco,county,2,MA-10,Province de Guelmim ⵜⴰⵙⴳⴰ ⵏ ⴳⵍⵎⵉⵎ إقليم كلميم,,,,county,2,MA-10,Province de Guelmim ⵜⴰⵙⴳⴰ ⵏ ⴳⵍⵎⵉⵎ إقليم كلميم,,,,,region,1,MA-10,Guelmim-Oued Noun ⵜⴰⵙⴳⴰ-ⵡⴰⴷ ⵏⵓⵏ كلميم وادي نون,HIGH,1.0,MA-10
Morocco,Sidi Ifni,Guelmim - Oued Noun,,,106579,Province,,,#N/A,,Guelmim - Oued NounMorocco,county,2,MA-10,Province de Sidi Ifni ⵜⴰⵙⴳⴰ ⵏ ⵙⵉⴷⵉ ⵉⴼⵏⵉ إقليم سيدي إفني,,,,county,2,MA-10,Province de Sidi Ifni ⵜⴰⵙⴳⴰ ⵏ ⵙⵉⴷⵉ ⵉⴼⵏⵉ إقليم سيدي إفني,,,,,region,1,MA-10,Guelmim-Oued Noun ⵜⴰⵙⴳⴰ-ⵡⴰⴷ ⵏⵓⵏ كلميم وادي نون,HIGH,1.0,MA-10
Morocco,Tan-Tan,Guelmim - Oued Noun,,,96219,Province,,,#N/A,,Guelmim - Oued NounMorocco,county,2,MA-10,Province de Tan-Tan إقليم طانطان,,,,county,2,MA-10,Province de Tan-Tan إقليم طانطان,,,,,region,1,MA-10,Guelmim-Oued Noun ⵜⴰⵙⴳⴰ-ⵡⴰⴷ ⵏⵓⵏ كلميم وادي نون,HIGH,1.0,MA-10
Morocco,Assa-Zag,Guelmim - Oued Noun,,,43750,Province,,,#N/A,,Guelmim - Oued NounMorocco,county,2,MA-10,Province Assa-Zag ⵜⴰⵙⴳⴰ ⵏ ⴰⵙⵙⴰ ⵣⴰⴳ إقليم آسا الزاك,,,,county,2,MA-10,Province Assa-Zag ⵜⴰⵙⴳⴰ ⵏ ⴰⵙⵙⴰ ⵣⴰⴳ إقليم آسا الزاك,,,,,region,1,MA-10,Guelmim-Oued Noun ⵜⴰⵙⴳⴰ-ⵡⴰⴷ ⵏⵓⵏ كلميم وادي نون,HIGH,1.0,MA-10
Morocco,Marrakech [Marrakesh],Marrakech - Safi,,,1405373,Prefecture,Marrakesh,,Marrakesh,,Marrakech - SafiMorocco,county,2,MA-07,Préfecture de Marrakech عمالة مراكش,,,,,,,,,,,,,,,,NONE,0.0,
Morocco,Safi,Marrakech - Safi,,,711848,Province,Safi,,Safi,,Marrakech - SafiMorocco,county,2,MA-07,Province de Safi إقليم أسفي,,,,county,2,MA-07,Province de Safi إقليم أسفي,,,,,region,1,MA-07,Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي,HIGH,1.0,MA-07
Morocco,Al Haouz,Marrakech - Safi,,,635748,Province,,,#N/A,,Marrakech - SafiMorocco,county,2,MA-07,Province d'Al Haouz ⵜⴰⵙⴳⴰ ⵏ ⵍⵃⵓⵣ إقليم الحوز,,,,county,2,MA-07,Province d'Al Haouz ⵜⴰⵙⴳⴰ ⵏ ⵍⵃⵓⵣ إقليم الحوز,,,,,region,1,MA-07,Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي,HIGH,1.0,MA-07
Morocco,El Kelaâ des Sraghna,Marrakech - Safi,,,585961,Province,,,#N/A,,Marrakech - SafiMorocco,,,,,,,,locality,,MA-07,El Kelâat Es-Sraghna ⵍⵇⵍⵄⴰ ⵏ ⵙⵕⴰⵖⵏⴰ قلعة السراغنة,,,,,region,1,MA-07,Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي,HIGH,1.0,MA-07
Morocco,Essaouira,Marrakech - Safi,,,450123,Province,,,#N/A,,Marrakech - SafiMorocco,county,2,MA-07,Province d'Essaouira ⵍⵉⵇⵍⵉⵎ ⵏ ⵚⵡⵉⵔⴰ إقليم الصويرة,,,,county,2,MA-07,Province d'Essaouira ⵍⵉⵇⵍⵉⵎ ⵏ ⵚⵡⵉⵔⴰ إقليم الصويرة,,,,,region,1,MA-07,Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي,HIGH,1.0,MA-07
Morocco,Chichaoua,Marrakech - Safi,,,391923,Province,,,#N/A,,Marrakech - SafiMorocco,county,2,MA-07,Province de Chichaoua ⵜⴰⵙⴳⴰ ⵏ ⵛⵉⵛⴰⵡⴰ إقليم شيشاوة,,,,locality,,MA-07,Chichaoua ⵛⵉⵛⴰⵡⴰ شيشاوة,,,,,region,1,MA-07,Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي,HIGH,1.0,MA-07
Morocco,Rehamna,Marrakech - Safi,,,335028,Province,,,#N/A,,Marrakech - SafiMorocco,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Morocco,Youssoufia,Marrakech - Safi,,,258409,Province,,,#N/A,,Marrakech - SafiMorocco,county,2,MA-07,Province de Youssoufia إقليم اليوسفية,,,,county,2,MA-07,Province de Youssoufia إقليم اليوسفية,,,,,region,1,MA-07,Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي,HIGH,1.0,MA-07
Morocco,Berkane,Oriental,,,299483,Province,Berkane,,Berkane,,OrientalMorocco,county,2,MA-02,Province de Berkane إقليم بركان,,,,county,2,MA-02,Province de Berkane إقليم بركان,,,,,region,1,MA-02,Oriental ⵜⴰⵏⴳⵎⵓⴹⵜ الشرقية,HIGH,1.0,MA-02
Morocco,Nador,Oriental,,,605894,Province,Nador,,Nador,,OrientalMorocco,county,2,MA-02,Province de Nador إقليم الناظور,,,,locality,,MA-02,Nador الناظور,,,,,region,1,MA-02,Oriental ⵜⴰⵏⴳⵎⵓⴹⵜ الشرقية,HIGH,1.0,MA-02
Morocco,Oujda - Angad,Oriental,,,624459,Prefecture,Oujda,,Oujda,,OrientalMorocco,county,2,MA-02,Préfecture d'Oujda-Angad عمالة وجدة - أنجاد,,,,,,,,,,,,region,1,MA-02,Oriental ⵜⴰⵏⴳⵎⵓⴹⵜ الشرقية,NONE,0.0,MA-02
Morocco,Taourirt,Oriental,,,251706,Province,,,#N/A,,OrientalMorocco,county,2,MA-02,Province de Taourirt إقليم تاوريرت,,,,locality,,MA-02,Taourirt تاوريرت,,,,,region,1,MA-02,Oriental ⵜⴰⵏⴳⵎⵓⴹⵜ الشرقية,HIGH,1.0,MA-02
Morocco,Guercif,Oriental,,,230556,Province,,,#N/A,,OrientalMorocco,county,2,MA-02,Province de Guercif إقليم جرسيف,,,,locality,,MA-02,Guercif جرسيف,,,,,region,1,MA-02,Oriental ⵜⴰⵏⴳⵎⵓⴹⵜ الشرقية,HIGH,1.0,MA-02
Morocco,Driouch [Eddriwesh],Oriental,,,192582,Province,,,#N/A,,OrientalMorocco,county,2,MA-02,Province de Driouch إقليم الدريوش,,,,,,,,,,,,region,1,MA-02,Oriental ⵜⴰⵏⴳⵎⵓⴹⵜ الشرقية,NONE,0.0,MA-02
Morocco,Figuig,Oriental,,,139631,Province,,,#N/A,,OrientalMorocco,county,2,MA-02,Province de Figuig إقليم الناظور,,,,county,2,MA-02,Province de Figuig إقليم الناظور,,,,,region,1,MA-02,Oriental ⵜⴰⵏⴳⵎⵓⴹⵜ الشرقية,HIGH,1.0,MA-02
Morocco,Jerada,Oriental,,,108918,Province,,,#N/A,,OrientalMorocco,county,2,MA-02,Province de Jerada إقليم جرادة,,,,county,2,MA-02,Province de Jerada إقليم جرادة,,,,,region,1,MA-02,Oriental ⵜⴰⵏⴳⵎⵓⴹⵜ الشرقية,HIGH,1.0,MA-02
Morocco,Khémisset,Rabat - Salé - Kénitra,,,540677,Province,Khémisset,,Khémisset,,Rabat - Salé - KénitraMorocco,county,2,MA-04,Province de Khémisset إقليم الخميسات,,,,county,2,MA-04,Province de Khémisset إقليم الخميسات,,,,,region,1,MA-04,Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة,HIGH,1.0,MA-04
Morocco,Salé,Rabat - Salé - Kénitra,,,1093602,Prefecture,Rabat,,Rabat,,Rabat - Salé - KénitraMorocco,county,2,MA-04,Préfecture de Salé عمالة سلا,,,,locality,,MA-04,Salé سلا,,,,,region,1,MA-04,Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة,HIGH,1.0,MA-04
Morocco,Skhirate - Témara,Rabat - Salé - Kénitra,,,695752,Prefecture,Rabat,,Rabat,,Rabat - Salé - KénitraMorocco,county,2,MA-04,Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,,,,,,,,,,,,,,,,NONE,0.0,
Morocco,Rabat,Rabat - Salé - Kénitra,,,536821,Prefecture,Rabat,,Rabat,,Rabat - Salé - KénitraMorocco,county,2,MA-04,Préfecture de Rabat عمالة الرباط,,,,county,2,MA-04,Préfecture de Rabat عمالة الرباط,,,,,region,1,MA-04,Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة,HIGH,1.0,MA-04
Morocco,Kénitra,Rabat - Salé - Kénitra,,,1151373,Province,,,#N/A,,Rabat - Salé - KénitraMorocco,county,2,MA-04,Province de Kenitra إقليم القنيطرة,,,,county,2,MA-04,Province de Kenitra إقليم القنيطرة,,,,,region,1,MA-04,Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة,HIGH,1.0,MA-04
Morocco,Sidi Kacem,Rabat - Salé - Kénitra,,,521390,Province,,,#N/A,,Rabat - Salé - KénitraMorocco,county,2,MA-04,Province de Sidi Kacem إقليم سيدي قاسم,,,,county,2,MA-04,Province de Sidi Kacem إقليم سيدي قاسم,,,,,region,1,MA-04,Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة,HIGH,1.0,MA-04
Morocco,Sidi Slimane,Rabat - Salé - Kénitra,,,328129,Province,,,#N/A,,Rabat - Salé - KénitraMorocco,county,2,MA-04,Province de Sidi Slimane إقليم سيدي سليمان,,,,county,2,MA-04,Province de Sidi Slimane إقليم سيدي سليمان,,,,,region,1,MA-04,Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة,HIGH,1.0,MA-04
Morocco,Agadir - Ida - Outanane,Souss - Massa,,,682108,Prefecture,Agadir,,Agadir,,Souss - MassaMorocco,county,2,MA-09,Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان,,,,,,,,,,,,,,,,NONE,0.0,
