Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Moldova,Anenii Noi,Anenii Noi,,,8933,City with Environs,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Anenii Noi,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Mereni,Anenii Noi,,,4206,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Mereni,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Varnița,Anenii Noi,,,3827,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Varnița,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Bulboaca,Anenii Noi,,,3598,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Bulboaca,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Hîrbovăț,Anenii Noi,,,3540,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Hîrbovăț,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Chetrosu,Anenii Noi,,,3073,Commune,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Chetrosu,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Floreni,Anenii Noi,,,3059,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Floreni,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Țînțăreni,Anenii Noi,,,2462,Commune,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Țînțăreni,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Geamăna,Anenii Noi,,,2436,Commune,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Geamăna,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Puhăceni,Anenii Noi,,,2199,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Puhăceni,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Gura Bîcului,Anenii Noi,,,2138,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Gura Bîcului,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Șerpeni,Anenii Noi,,,2094,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Șerpeni,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Cobusca Veche,Anenii Noi,,,1787,Commune,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Cobusca Veche,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Roșcani,Anenii Noi,,,1670,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Roșcani,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Speia,Anenii Noi,,,1593,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Speia,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Maximovca,Anenii Noi,,,1494,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Maximovca,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Chirca,Anenii Noi,,,1314,Commune,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Chirca,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Calfa,Anenii Noi,,,1226,Commune,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Calfa,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Delacău,Anenii Noi,,,1210,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Delacău,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Merenii Noi,Anenii Noi,,,1182,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Merenii Noi,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Ciobanovca,Anenii Noi,,,1136,Commune,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Ciobanovca,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Botnărești,Anenii Noi,,,946,Commune,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Botnărești,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Cobusca Nouă,Anenii Noi,,,943,Commune-level Village,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Cobusca Nouă,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Telița,Anenii Noi,,,823,Commune,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Telița,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Zolotievca,Anenii Noi,,,562,Commune,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Zolotievca,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Ochiul Roș,Anenii Noi,,,236,Commune,,,#N/A,2024,Anenii NoiMoldova,,,,,locality,,MD-AN,Ochiul Roș,,,,,region,1,MD-AN,Anenii Noi,HIGH,1.0,MD-AN
Moldova,Bălți,Bălți,,,90954,City,Balti,,Balti,2024,BălțiMoldova,,,,,region,1,MD-BA,Bălți,,,,,region,1,MD-BA,Bălți,HIGH,1.0,MD-BA
Moldova,Elizaveta,Bălți,,,2620,Commune-level Village,Balti,,Balti,2024,BălțiMoldova,,,,,locality,,MD-BA,Elizaveta,,,,,region,1,MD-BA,Bălți,HIGH,1.0,MD-BA
Moldova,Sadovoe,Bălți,,,972,Commune-level Village,Balti,,Balti,2024,BălțiMoldova,,,,,locality,,MD-BA,Sadovoe,,,,,region,1,MD-BA,Bălți,HIGH,1.0,MD-BA
Moldova,Basarabeasca,Basarabeasca,,,6291,City,,,#N/A,2024,BasarabeascaMoldova,,,,,region,1,MD-BS,Basarabeasca,,,,,region,1,MD-BS,Basarabeasca,HIGH,1.0,MD-BS
Moldova,Abaclia,Basarabeasca,,,2856,Commune-level Village,,,#N/A,2024,BasarabeascaMoldova,,,,,locality,,MD-BS,Abaclia,,,,,region,1,MD-BS,Basarabeasca,HIGH,1.0,MD-BS
Moldova,Sadaclia,Basarabeasca,,,2423,Commune-level Village,,,#N/A,2024,BasarabeascaMoldova,,,,,locality,,MD-BS,Sadaclia,,,,,region,1,MD-BS,Basarabeasca,HIGH,1.0,MD-BS
Moldova,Bașcalia,Basarabeasca,,,1311,Commune-level Village,,,#N/A,2024,BasarabeascaMoldova,,,,,locality,,MD-BS,Bașcalia,,,,,region,1,MD-BS,Basarabeasca,HIGH,1.0,MD-BS
Moldova,Carabetovca,Basarabeasca,,,971,Commune-level Village,,,#N/A,2024,BasarabeascaMoldova,,,,,locality,,MD-BS,Carabetovca,,,,,region,1,MD-BS,Basarabeasca,HIGH,1.0,MD-BS
Moldova,Iserlia,Basarabeasca,,,628,Commune,,,#N/A,2024,BasarabeascaMoldova,,,,,locality,,MD-BS,Iserlia,,,,,region,1,MD-BS,Basarabeasca,HIGH,1.0,MD-BS
Moldova,Iordanovca,Basarabeasca,,,434,Commune-level Village,,,#N/A,2024,BasarabeascaMoldova,,,,,locality,,MD-BS,Iordanovca,,,,,region,1,MD-BS,Basarabeasca,HIGH,1.0,MD-BS
Moldova,Briceni,Briceni,,,5785,City,,,#N/A,2024,BriceniMoldova,,,,,region,1,MD-BR,Briceni,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Corjeuți,Briceni,,,4495,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Corjeuți,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Lipcani,Briceni,,,3569,City,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Lipcani,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Larga,Briceni,,,2977,Commune,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Larga,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Grimăncăuți,Briceni,,,2854,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Grimăncăuți,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Caracușenii Vechi,Briceni,,,2629,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Caracușenii Vechi,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Cotiujeni,Briceni,,,2200,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Cotiujeni,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Colicăuți,Briceni,,,2025,Commune,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Colicăuți,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Tabani,Briceni,,,1807,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Tabani,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Tețcani,Briceni,,,1701,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Tețcani,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Coteala,Briceni,,,1338,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Coteala,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Drepcăuți,Briceni,,,1316,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Drepcăuți,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Trebisăuți,Briceni,,,1299,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Trebisăuți,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Beleavinți,Briceni,,,1284,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Beleavinți,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Balasinești,Briceni,,,1237,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Balasinești,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Șirăuți,Briceni,,,1217,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Șirăuți,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Berlinți,Briceni,,,1136,Commune,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Berlinți,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Halahora de Sus,Briceni,,,951,Commune,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Halahora de Sus,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Pererîta,Briceni,,,939,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Pererita,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Criva,Briceni,,,920,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Criva,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Bogdănești,Briceni,,,891,Commune,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Bogdănești,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Medveja,Briceni,,,885,Commune,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Medveja,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Mărcăuți,Briceni,,,863,Commune,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Mărcăuți,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Slobozia-Șirăuți,Briceni,,,689,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Slobozia-Șirăuți,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Hlina,Briceni,,,647,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Hlina,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Bulboaca,Briceni,,,509,Commune-level Village,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Bulboaca,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Mihăileni,Briceni,,,392,Commune,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Mihăileni,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Bălcăuți,Briceni,,,339,Commune,,,#N/A,2024,BriceniMoldova,,,,,locality,,MD-BR,Bălcăuți,,,,,region,1,MD-BR,Briceni,HIGH,1.0,MD-BR
Moldova,Cahul,Cahul,,,22223,City with Environs,,,#N/A,2024,CahulMoldova,,,,,locality,,MD-CA,Cahul,,,,,region,1,MD-CA,Cahul,HIGH,1.0,MD-CA
Moldova,Crihana Veche,Cahul,,,3654,Commune-level Village,,,#N/A,2024,CahulMoldova,,,,,locality,,MD-CA,Crihana Veche,,,,,region,1,MD-CA,Cahul,HIGH,1.0,MD-CA
