Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Montenegro,Cetinje,Central,,,14494,Municipality,Cetinje,,Cetinje,,CentralMontenegro,region,1,ME-06,Opština Cetinje,,,,locality,,ME-06,Cetinje,,,,,region,1,ME-06,Prijestolnica Cetinje,HIGH,1.0,ME-06
Montenegro,Danilovgrad,Central,,,18617,Municipality,Danilovgrad,,Danilovgrad,,CentralMontenegro,region,1,ME-07,Opština Danilovgrad,,,,region,1,ME-07,Opština Danilovgrad,,,,,region,1,ME-07,Opština Danilovgrad,HIGH,1.0,ME-07
Montenegro,Nikšić,Central,,,65705,Municipality,Niksic,,Niksic,,CentralMontenegro,region,1,ME-12,Opština Nikšić,,,,region,1,ME-12,Opština Nikšić,,,,,region,1,ME-12,Opština Nikšić,HIGH,1.0,ME-12
Montenegro,Podgorica,Central,,,179505,Municipality,Podgorica,,Podgorica,,CentralMontenegro,region,1,ME-16,Opština Podgorica,,,,locality,,ME-16,Podgorica,,,,,region,1,ME-16,Glavni grad Podgorica,HIGH,1.0,ME-16
Montenegro,Zeta,Central,,,16071,Municipality,Podgorica,,Podgorica,,CentralMontenegro,region,1,ME-25,Opština Zeta,,,,region,1,ME-25,Opština Zeta,,,,,region,1,ME-25,Opština Zeta,HIGH,1.0,ME-25
Montenegro,Tuzi,Central,,,12979,Municipality,Podgorica,,Podgorica,,CentralMontenegro,region,1,ME-24,Opština Tuzi,,,,region,1,ME-24,Opština Tuzi,,,,,region,1,ME-24,Opština Tuzi,HIGH,1.0,ME-24
Montenegro,Bar,Coastal,,,45812,Municipality,Bar,,Bar,,CoastalMontenegro,region,1,ME-02,Opština Bar,,,,region,1,ME-02,Opština Bar,,,,,region,1,ME-02,Opština Bar,HIGH,1.0,ME-02
Montenegro,Budva,Coastal,,,27445,Municipality,Budva,,Budva,,CoastalMontenegro,region,1,ME-05,Opština Budva,,,,region,1,ME-05,Opština Budva,,,,,region,1,ME-05,Opština Budva,HIGH,1.0,ME-05
Montenegro,Kotor,Coastal,,,22746,Municipality,Kotor,,Kotor,,CoastalMontenegro,region,1,ME-10,Opština Kotor,,,,region,1,ME-10,Opština Kotor,,,,,region,1,ME-10,Opština Kotor,HIGH,1.0,ME-10
Montenegro,Tivat,Coastal,,,16338,Municipality,Tivat,,Tivat,,CoastalMontenegro,region,1,ME-19,Opština Tivat,,,,region,1,ME-19,Opština Tivat,,,,,region,1,ME-19,Opština Tivat,HIGH,1.0,ME-19
Montenegro,Ulcinj,Coastal,,,20507,Municipality,Ulcinj,,Ulcinj,,CoastalMontenegro,region,1,ME-20,Opština Ulcinj - Komuna e Ulqinit,,,,region,1,ME-20,Opština Ulcinj - Komuna e Ulqinit,,,,,region,1,ME-20,Opština Ulcinj - Komuna e Ulqinit,HIGH,1.0,ME-20
Montenegro,Herceg Novi,Coastal,,,30824,Municipality,,,#N/A,,CoastalMontenegro,region,1,ME-08,Opština Herceg Novi,,,,region,1,ME-08,Opština Herceg Novi,,,,,region,1,ME-08,Opština Herceg Novi,HIGH,1.0,ME-08
Montenegro,Berane,Northern,,,24645,Municipality,Berane,,Berane,,NorthernMontenegro,region,1,ME-03,Opština Berane,,,,region,1,ME-03,Opština Berane,,,,,region,1,ME-03,Opština Berane,HIGH,1.0,ME-03
Montenegro,Bijelo Polje,Northern,,,38662,Municipality,Bijelo Polje,,Bijelo Polje,,NorthernMontenegro,region,1,ME-04,Opština Bijelo Polje,,,,region,1,ME-04,Opština Bijelo Polje,,,,,region,1,ME-04,Opština Bijelo Polje,HIGH,1.0,ME-04
Montenegro,Plav,Northern,,,9050,Municipality,Plav,,Plav,,NorthernMontenegro,region,1,ME-13,Opština Plav,,,,region,1,ME-13,Opština Plav,,,,,region,1,ME-13,Opština Plav,HIGH,1.0,ME-13
Montenegro,Gusinje,Northern,,,3933,Municipality,Plav,,Plav,,NorthernMontenegro,region,1,ME-22,Opština Gusinje,,,,region,1,ME-22,Opština Gusinje,,,,,region,1,ME-22,Opština Gusinje,HIGH,1.0,ME-22
Montenegro,Pljevlja,Northern,,,24134,Municipality,Pljevlja,,Pljevlja,,NorthernMontenegro,region,1,ME-14,Opština Pljevlja,,,,region,1,ME-14,Opština Pljevlja,,,,,region,1,ME-14,Opština Pljevlja,HIGH,1.0,ME-14
Montenegro,Rožaje,Northern,,,23184,Municipality,,,#N/A,,NorthernMontenegro,region,1,ME-17,Opština Rožaje,,,,region,1,ME-17,Opština Rožaje,,,,,region,1,ME-17,Opština Rožaje,HIGH,1.0,ME-17
Montenegro,Mojkovac,Northern,,,6728,Municipality,,,#N/A,,NorthernMontenegro,region,1,ME-11,Opština Mojkovac,,,,region,1,ME-11,Opština Mojkovac,,,,,region,1,ME-11,Opština Mojkovac,HIGH,1.0,ME-11
Montenegro,Kolašin,Northern,,,6700,Municipality,,,#N/A,,NorthernMontenegro,region,1,ME-09,Opština Kolašin,,,,region,1,ME-09,Opština Kolašin,,,,,region,1,ME-09,Opština Kolašin,HIGH,1.0,ME-09
Montenegro,Andrijevica,Northern,,,3910,Municipality,,,#N/A,,NorthernMontenegro,region,1,ME-01,Opština Andrijevica,,,,region,1,ME-01,Opština Andrijevica,,,,,region,1,ME-01,Opština Andrijevica,HIGH,1.0,ME-01
Montenegro,Žabljak,Northern,,,2941,Municipality,,,#N/A,,NorthernMontenegro,region,1,ME-21,Opština Žabljak,,,,region,1,ME-21,Opština Žabljak,,,,,region,1,ME-21,Opština Žabljak,HIGH,1.0,ME-21
Montenegro,Plužine,Northern,,,2177,Municipality,,,#N/A,,NorthernMontenegro,region,1,ME-15,Opština Plužine,,,,region,1,ME-15,Opština Plužine,,,,,region,1,ME-15,Opština Plužine,HIGH,1.0,ME-15
Montenegro,Šavnik,Northern,,,1569,Municipality,,,#N/A,,NorthernMontenegro,region,1,ME-18,Opština Šavnik,,,,region,1,ME-18,Opština Šavnik,,,,,region,1,ME-18,Opština Šavnik,HIGH,1.0,ME-18
