Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Madagascar,Ambatondrazaka,Alaotra-Mangoro,,,375183,District,,,#N/A,,Alaotra-MangoroMadagascar,county,2,,Ambatondrazaka,,,,county,2,nan,Ambatondrazaka,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
Madagascar,Moramanga,Alaotra-Mangoro,,,369814,District,,,#N/A,,Alaotra-MangoroMadagascar,county,2,,Moramanga,,,,county,2,nan,Moramanga,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
Madagascar,Amparafaravola,Alaotra-Mangoro,,,338494,District,,,#N/A,,Alaotra-MangoroMadagascar,county,2,,Amparafaravola,,,,county,2,nan,Amparafaravola,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
Madagascar,Anosibe An'ala,Alaotra-Mangoro,,,118439,District,,,#N/A,,Alaotra-MangoroMadagascar,county,2,,Anosibe-An'ala,,,,county,2,nan,Anosibe-An'ala,,,,,region,1,nan,Atsinanana,MED,0.929,nan
Madagascar,Andilamena,Alaotra-Mangoro,,,114206,District,,,#N/A,,Alaotra-MangoroMadagascar,county,2,,Andilamena,,,,county,2,nan,Andilamena,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
Madagascar,Ambositra,Amoron'i Mania,,,314968,District,,,#N/A,,Amoron'i ManiaMadagascar,county,2,,Ambositra,,,,county,2,nan,Ambositra,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
Madagascar,Ambatofinandrahana,Amoron'i Mania,,,237262,District,,,#N/A,,Amoron'i ManiaMadagascar,county,2,,Ambatofinandrahana,,,,county,2,nan,Ambatofinandrahana,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
Madagascar,Fandriana,Amoron'i Mania,,,225574,District,,,#N/A,,Amoron'i ManiaMadagascar,county,2,,Fandriana,,,,county,2,nan,Fandriana,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
Madagascar,Manandriana,Amoron'i Mania,,,111693,District,,,#N/A,,Amoron'i ManiaMadagascar,county,2,,Manandriana,,,,county,2,nan,Manandriana,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
Madagascar,Antananarivo Renivohitra,Analamanga,,,1321269,District,Antananarivo,,Antananarivo,,AnalamangaMadagascar,county,2,,1er Arrondissement,x,,,,,,,,,,,region,1,nan,Atsinanana,NONE,0.0,nan
Madagascar,Antananarivo Atsimondrano,Analamanga,,,699348,District,Antananarivo,,Antananarivo,,AnalamangaMadagascar,county,2,,Antananarivo Atsimondrano,,,,county,2,nan,Antananarivo Atsimondrano,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
Madagascar,Antananarivo Avaradrano,Analamanga,,,483687,District,Antananarivo,,Antananarivo,,AnalamangaMadagascar,county,2,,Antananarivo Avaradrano,,,,county,2,nan,Antananarivo Avaradrano,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
Madagascar,Ambohidratrimo,Analamanga,,,470221,District,Antananarivo,,Antananarivo,,AnalamangaMadagascar,county,2,,Ambohidratrimo,,,,county,2,nan,Ambohidratrimo,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
Madagascar,Manjakandriana,Analamanga,,,223286,District,Antananarivo,,Antananarivo,,AnalamangaMadagascar,county,2,,Manjakandriana,,,,locality,,nan,Manjakandriana,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
Madagascar,Andramasina,Analamanga,,,173237,District,Antananarivo,,Antananarivo,,AnalamangaMadagascar,county,2,,Andramasina,,,,county,2,nan,Andramasina,,,,,region,1,nan,Atsinanana,HIGH,1.0,nan
