Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Marshall Islands,Ailinglaplap,Ailinglaplap,,,1179,Atoll,,,#N/A,,AilinglaplapMarshall Islands,region,1,MH-ALL,Aelōñḷapḷap,,,,region,1,MH-ALL,Aelōñḷapḷap,,,,,region,1,MH-ALL,Aelōñḷapḷap,HIGH,1.0,MH-ALL
Marshall Islands,Ailuk,Ailuk,,,235,Atoll,,,#N/A,,AilukMarshall Islands,region,1,MH-ALK,Aelok,,,,region,1,MH-ALK,Aelok,,,,,region,1,MH-ALK,Aelok,HIGH,1.0,MH-ALK
Marshall Islands,Arno,Arno,,,1144,Atoll,,,#N/A,,ArnoMarshall Islands,region,1,MH-ARN,Arṇo,,,,region,1,MH-ARN,Arṇo,,,,,region,1,MH-ARN,Arṇo,HIGH,1.0,MH-ARN
Marshall Islands,Aur,Aur,,,317,Atoll,,,#N/A,,AurMarshall Islands,region,1,MH-AUR,Aur,,,,region,1,MH-AUR,Aur,,,,,region,1,MH-AUR,Aur,HIGH,1.0,MH-AUR
Marshall Islands,Ebon,Ebon,,,470,Atoll,,,#N/A,,EbonMarshall Islands,region,1,MH-EBO,Epoon,,,,region,1,MH-EBO,Epoon,,,,,region,1,MH-EBO,Epoon,HIGH,1.0,MH-EBO
Marshall Islands,Enewetak (Eniwetok),Enewetak (Eniwetok),,,296,Atoll,,,#N/A,,Enewetak (Eniwetok)Marshall Islands,region,1,MH-ENI,Ānewetak,,,,region,1,MH-ENI,Ānewetak,,,,,region,1,MH-ENI,Ānewetak,HIGH,1.0,MH-ENI
Marshall Islands,Jabat (Jabwot),Jabat (Jabwot),,,75,Island,,,#N/A,,Jabat (Jabwot)Marshall Islands,region,1,MH-JAB,Jebat,,,,region,1,MH-JAB,Jebat,,,,,region,1,MH-JAB,Jebat,HIGH,1.0,MH-JAB
Marshall Islands,Jaluit,Jaluit,,,1423,Atoll,,,#N/A,,JaluitMarshall Islands,region,1,MH-JAL,Jālwōj,,,,region,1,MH-JAL,Jālwōj,,,,,region,1,MH-JAL,Jālwōj,HIGH,1.0,MH-JAL
Marshall Islands,Kili,Kili,,,416,Island,,,#N/A,,KiliMarshall Islands,region,1,MH-KIL,Kōle,,,,region,1,MH-KIL,Kōle,,,,,region,1,MH-KIL,Kōle,HIGH,1.0,MH-KIL
Marshall Islands,Kwajalein,Kwajalein,,,9945,Atoll,,,#N/A,,KwajaleinMarshall Islands,region,1,MH-KWA,Kuwajleen,,,,region,1,MH-KWA,Kuwajleen,,,,,region,1,MH-KWA,Kuwajleen,HIGH,1.0,MH-KWA
