Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
North Macedonia,Kočani [Kochani],East,,,31602,Municipality,Kočani,,Kočani,,EastNorth Macedonia,region,1,MK-206,Општина Кочани,,,,,,,,,,,,,,,,NONE,0.0,
North Macedonia,Makedonska Kamenica,East,,,6439,Municipality,Makedonska Kamenica,,Makedonska Kamenica,,EastNorth Macedonia,locality,,MK-207,Македонска Каменица,,,,region,1,MK-207,Општина Македонска Каменица,,,,,region,1,MK-207,Општина Македонска Каменица,HIGH,1.0,MK-207
North Macedonia,Štip [Shtip],East,,,44866,Municipality,Stip,,Stip,,EastNorth Macedonia,region,1,MK-211,Општина Штип,,,,,,,,,,,,,,,,NONE,0.0,
North Macedonia,Vinica,East,,,14475,Municipality,,,#N/A,,EastNorth Macedonia,region,1,MK-202,Општина Виница,,,,region,1,MK-202,Општина Виница,,,,,region,1,MK-202,Општина Виница,HIGH,1.0,MK-202
North Macedonia,Delčevo [Delchevo],East,,,13585,Municipality,,,#N/A,,EastNorth Macedonia,region,1,MK-203,Општина Делчево,,,,,,,,,,,,,,,,NONE,0.0,
North Macedonia,Probištip [Probishtip],East,,,13417,Municipality,,,#N/A,,EastNorth Macedonia,region,1,MK-209,Општина Пробиштип,,,,,,,,,,,,,,,,NONE,0.0,
North Macedonia,Berovo,East,,,10890,Municipality,,,#N/A,,EastNorth Macedonia,region,1,MK-201,Општина Берово,,,,region,1,MK-201,Општина Берово,,,,,region,1,MK-201,Општина Берово,HIGH,1.0,MK-201
North Macedonia,Češinovo - Obleševo [Cheshinovo - Obleshevo],East,,,5471,Municipality,,,#N/A,,EastNorth Macedonia,region,1,MK-408,Општина Ново Село,,,,,,,,,,,,,,,,NONE,0.0,
North Macedonia,Pehčevo [Pehchevo],East,,,3983,Municipality,,,#N/A,,EastNorth Macedonia,region,1,MK-208,Општина Пехчево,,,,,,,,,,,,,,,,NONE,0.0,
North Macedonia,Karbinci,East,,,3420,Municipality,,,#N/A,,EastNorth Macedonia,region,1,MK-205,Општина Карбинци,,,,region,1,MK-205,Општина Карбинци,,,,,region,1,MK-205,Општина Карбинци,HIGH,1.0,MK-205
North Macedonia,Zrnovci,East,,,2086,Municipality,,,#N/A,,EastNorth Macedonia,region,1,MK-204,Општина Зрновци,,,,region,1,MK-204,Општина Зрновци,,,,,region,1,MK-204,Општина Зрновци,HIGH,1.0,MK-204
North Macedonia,Kratovo,Northeast,,,7545,Municipality,Kratovo,,Kratovo,,NortheastNorth Macedonia,region,1,MK-701,Општина Кратово,,,,region,1,MK-701,Општина Кратово,,,,,region,1,MK-701,Општина Кратово,HIGH,1.0,MK-701
North Macedonia,Kumanovo,Northeast,,,98104,Municipality,Kumanovo,,Kumanovo,,NortheastNorth Macedonia,region,1,MK-703,Општина Куманово,,,,region,1,MK-703,Општина Куманово,,,,,region,1,MK-703,Општина Куманово,HIGH,1.0,MK-703
North Macedonia,Lipkovo,Northeast,,,22308,Municipality,,,#N/A,,NortheastNorth Macedonia,region,1,MK-704,Општина Липково,,,,region,1,MK-704,Општина Липково,,,,,region,1,MK-704,Општина Липково,HIGH,1.0,MK-704
North Macedonia,Kriva Palanka,Northeast,,,18059,Municipality,,,#N/A,,NortheastNorth Macedonia,locality,,MK-702,Крива Паланка,,,,region,1,MK-702,Општина Крива Паланка,,,,,region,1,MK-702,Општина Крива Паланка,HIGH,1.0,MK-702
North Macedonia,Staro Nagoričane [Staro Nagorichane],Northeast,,,3501,Municipality,,,#N/A,,NortheastNorth Macedonia,locality,,MK-706,Старо Нагоричане,,,,,,,,,,,,,,,,NONE,0.0,
North Macedonia,Rankovce,Northeast,,,3465,Municipality,,,#N/A,,NortheastNorth Macedonia,region,1,MK-705,Општина Ранковце,,,,region,1,MK-705,Општина Ранковце,,,,,region,1,MK-705,Општина Ранковце,HIGH,1.0,MK-705
North Macedonia,Bitola,Pelagonia,,,85164,Municipality,Bitola,,Bitola,,PelagoniaNorth Macedonia,region,1,MK-501,Општина Битола,,,,region,1,MK-501,Општина Битола,,,,,region,1,MK-501,Општина Битола,HIGH,1.0,MK-501
North Macedonia,Prilep,Pelagonia,,,69025,Municipality,Prelip,,Prelip,,PelagoniaNorth Macedonia,region,1,MK-508,Општина Прилеп,,,,region,1,MK-508,Општина Прилеп,,,,,region,1,MK-508,Општина Прилеп,HIGH,1.0,MK-508
North Macedonia,Resen,Pelagonia,,,14373,Municipality,,,#N/A,,PelagoniaNorth Macedonia,region,1,MK-509,Општина Ресен,,,,region,1,MK-509,Општина Ресен,,,,,region,1,MK-509,Општина Ресен,HIGH,1.0,MK-509
North Macedonia,Dolneni,Pelagonia,,,13126,Municipality,,,#N/A,,PelagoniaNorth Macedonia,region,1,MK-503,Општина Долнени,,,,region,1,MK-503,Општина Долнени,,,,,region,1,MK-503,Општина Долнени,HIGH,1.0,MK-503
North Macedonia,Kruševo [Krushevo],Pelagonia,,,8385,Municipality,,,#N/A,,PelagoniaNorth Macedonia,region,1,MK-505,Општина Крушево,,,,,,,,,,,,,,,,NONE,0.0,
North Macedonia,Demir Hisar,Pelagonia,,,7260,Municipality,,,#N/A,,PelagoniaNorth Macedonia,locality,,MK-502,Демир Хисар,,,,locality,,MK-502,Демир Хисар,,,,,region,1,MK-502,Општина Демир Хисар/Мургашево,HIGH,1.0,MK-502
North Macedonia,Mogila,Pelagonia,,,5283,Municipality,,,#N/A,,PelagoniaNorth Macedonia,region,1,MK-506,Општина Могила,,,,region,1,MK-506,Општина Могила,,,,,region,1,MK-506,Општина Могила,HIGH,1.0,MK-506
