Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Myanmar,Bago,Bago,,,927389,District,Bago,,Bago,2024,BagoMyanmar,county,2,MM-02,ပဲခူးမြို့နယ်,,,,region,1,MM-02,ပဲခူးတိုင်းဒေသကြီး,,,,,region,1,MM-02,ပဲခူးတိုင်းဒေသကြီး,HIGH,1.0,MM-02
Myanmar,Taungoo,Bago,,,954714,District,,,#N/A,2024,BagoMyanmar,county,2,MM-02,တောင်ငူမြို့နယ်,,,,,,,,,,,,region,1,MM-02,ပဲခူးတိုင်းဒေသကြီး,NONE,0.0,MM-02
Myanmar,Nyaunglebin,Bago,,,866566,District,,,#N/A,2024,BagoMyanmar,county,2,MM-02,ညောင်လေးပင်မြို့နယ,,,,,,,,,,,,region,1,MM-02,ပဲခူးတိုင်းဒေသကြီး,NONE,0.0,MM-02
Myanmar,Thayarwady,Bago,,,708096,District,,,#N/A,2024,BagoMyanmar,,,,,,,,,,,,,,,,region,1,MM-02,ပဲခူးတိုင်းဒေသကြီး,NONE,0.0,MM-02
Myanmar,Pyay,Bago,,,564391,District,,,#N/A,2024,BagoMyanmar,county,2,MM-02,ပြည်မြို့နယ်,,,,,,,,,,,,region,1,MM-02,ပဲခူးတိုင်းဒေသကြီး,NONE,0.0,MM-02
Myanmar,Nattalin,Bago,,,432535,District,,,#N/A,2024,BagoMyanmar,county,2,MM-02,နတ်တလင်းမြို့နယ်,,,,locality,,MM-02,Nattalin,,,,,region,1,MM-02,ပဲခူးတိုင်းဒေသကြီး,HIGH,1.0,MM-02
Myanmar,Hakha,Chin,,,98497,District,Hakha,,Hakha,2024,ChinMyanmar,county,2,MM-14,ဟားခါးမြို့နယ်,,,,,,,,,,,,region,1,MM-14,ချင်းပြည်နယ်,NONE,0.0,MM-14
Myanmar,Paletwa,Chin,,,83905,District,,,#N/A,2024,ChinMyanmar,county,2,MM-14,ပလက်ဝမြို့နယ်,,,,county,2,MM-14,ပလက်ဝမြို့နယ်,,,,,region,1,MM-14,ချင်းပြည်နယ်,HIGH,1.0,MM-14
Myanmar,Tedim,Chin,,,64397,District,,,#N/A,2024,ChinMyanmar,county,2,MM-14,တီးတိန်မြို့နယ်,,,,,,,,,,,,region,1,MM-14,ချင်းပြည်နယ်,NONE,0.0,MM-14
Myanmar,Mindat,Chin,,,60941,District,,,#N/A,2024,ChinMyanmar,county,2,MM-14,မင်းတပ်မြို့နယ်,,,,,,,,,,,,region,1,MM-14,ချင်းပြည်နယ်,NONE,0.0,MM-14
Myanmar,Matupi,Chin,,,45693,District,,,#N/A,2024,ChinMyanmar,county,2,MM-14,မတူပီမြို့နယ်,,,,,,,,,,,,region,1,MM-14,ချင်းပြည်နယ်,NONE,0.0,MM-14
Myanmar,Falam,Chin,,,19591,District,,,#N/A,2024,ChinMyanmar,county,2,MM-14,ဖလမ်းမြို့နယ်,,,,,,,,,,,,region,1,MM-14,ချင်းပြည်နယ်,NONE,0.0,MM-14
Myanmar,Pathein,Irrawaddy,,,903051,District,Pathein,,Pathein,2024,IrrawaddyMyanmar,county,2,MM-07,ပုသိမ်မြို့နယ်,,,,,,,,,,,,,,,,NONE,0.0,
Myanmar,Maubin,Irrawaddy,,,926269,District,,,#N/A,2024,IrrawaddyMyanmar,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Myanmar,Pyapon,Irrawaddy,,,856788,District,,,#N/A,2024,IrrawaddyMyanmar,county,2,MM-07,ဖျာပုံမြို့နယ်,,,,,,,,,,,,,,,,NONE,0.0,
Myanmar,Myaungmya,Irrawaddy,,,717198,District,,,#N/A,2024,IrrawaddyMyanmar,county,2,MM-07,မြောင်းမြမြို့နယ်,,,,,,,,,,,,,,,,NONE,0.0,
Myanmar,Kyonpyaw,Irrawaddy,,,562958,District,,,#N/A,2024,IrrawaddyMyanmar,county,2,MM-07,ကျုံပျော်မြို့နယ်,,,,,,,,,,,,,,,,NONE,0.0,
Myanmar,Hinthada,Irrawaddy,,,560956,District,,,#N/A,2024,IrrawaddyMyanmar,county,2,MM-07,ဟင်္သာတမြို့နယ်,,,,,,,,,,,,,,,,NONE,0.0,
Myanmar,Labutta,Irrawaddy,,,549780,District,,,#N/A,2024,IrrawaddyMyanmar,county,2,MM-07,လပွတ္တာမြို့နယ်,,,,,,,,,,,,,,,,NONE,0.0,
Myanmar,Myanaung,Irrawaddy,,,469281,District,,,#N/A,2024,IrrawaddyMyanmar,county,2,MM-07,မြန်အောင်မြို့နယ်,,,,,,,,,,,,,,,,NONE,0.0,
Myanmar,Mohnyin,Kachin,,,721602,District,,,#N/A,2024,KachinMyanmar,county,2,MM-11,မိုးညှင်းမြို့နယ်,,,,,,,,,,,,region,1,MM-11,ကချင်ပြည်နယ်,NONE,0.0,MM-11
Myanmar,Bhamo,Kachin,,,620200,District,,,#N/A,2024,KachinMyanmar,county,2,MM-11,ဗန်းမော်မြို့နယ်,,,,,,,,,,,,region,1,MM-11,ကချင်ပြည်နယ်,NONE,0.0,MM-11
Myanmar,Myitkyina,Kachin,,,562469,District,,,#N/A,2024,KachinMyanmar,county,2,MM-11,မြစ်ကြီးနားမြို့နယ်,,,,county,2,MM-11,မြစ်ကြီးနားမြို့နယ်,,,,,region,1,MM-11,ကချင်ပြည်နယ်,HIGH,1.0,MM-11
