Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Mongolia,Ėrdėnėbulgan [Tsetserleg],Archangaj [Arkhangai],,,21849,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,county,2,MN-073,Цэцэрлэг ᠴᠡᠴᠡᠷᠯᠢᠭ,,,,,,,,,,,,,,,,NONE,0.0,
Mongolia,Cėnchėr [Tsenkher],Archangaj [Arkhangai],,,6098,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,county,2,MN-073,Цэнхэр ᠴᠡᠩᠬᠡᠷ,,,,,,,,,,,,,,,,NONE,0.0,
Mongolia,Öndör-Ulaan [Öndur-Ulaan],Archangaj [Arkhangai],,,5885,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,county,2,MN-073,Өндөр-Улаан ᠥᠨᠳᠦᠷ ᠤᠯᠠᠭᠠᠨ,,,,,,,,,,,,,,,,NONE,0.0,
Mongolia,Ichtamir [Ikhtamir],Archangaj [Arkhangai],,,5699,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Mongolia,Ėrdėnėmandal [Erdenemandal],Archangaj [Arkhangai],,,5666,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,county,2,MN-073,Эрдэнэмандал ᠡᠷᠳᠡᠨᠢ ᠮᠠᠨᠳᠠᠯ,,,,,,,,,,,,,,,,NONE,0.0,
Mongolia,Tariat,Archangaj [Arkhangai],,,4980,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,county,2,MN-073,Тариат ᠲᠠᠷᠢᠶ᠋ᠠᠲᠤ,,,,county,2,MN-073,Тариат ᠲᠠᠷᠢᠶ᠋ᠠᠲᠤ,,,,,region,1,MN-073,Архангай ᠠᠷᠤ ᠬᠠᠩᠭ᠋ᠠᠢ,HIGH,1.0,MN-073
Mongolia,Chotont [Khotont],Archangaj [Arkhangai],,,4426,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,county,2,MN-073,Хотонт ᠬᠣᠲᠤᠩᠲᠤ,,,,,,,,,,,,,,,,NONE,0.0,
Mongolia,Jargalant,Archangaj [Arkhangai],,,4415,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,county,2,MN-069,Жаргалант ᠵᠢᠷᠭᠠᠯᠠᠩᠲᠤ,,,,county,2,MN-069,Жаргалант ᠵᠢᠷᠭᠠᠯᠠᠩᠲᠤ,,,,,region,1,MN-069,Баянхонгор ᠪᠠᠶᠠᠨ ᠬᠣᠩᠭᠣᠷ,HIGH,1.0,MN-069
Mongolia,Čuluut [Chuluut],Archangaj [Arkhangai],,,4187,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,county,2,MN-073,Чулуут ᠴᠢᠯᠠᠭᠤᠲᠤ,,,,,,,,,,,,,,,,NONE,0.0,
Mongolia,Cėcėrlėg [Tsetserleg],Archangaj [Arkhangai],,,3814,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,county,2,MN-073,Цэцэрлэг ᠴᠡᠴᠡᠷᠯᠢᠭ,,,,,,,,,,,,,,,,NONE,0.0,
Mongolia,Batcėngėl [Battsengel],Archangaj [Arkhangai],,,3790,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,county,2,MN-073,Батцэнгэл ᠪᠠᠲᠤ ᠴᠡᠩᠭᠡᠯ,,,,,,,,,,,,,,,,NONE,0.0,
Mongolia,Chajrchan [Khairkhan],Archangaj [Arkhangai],,,3720,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,county,2,MN-073,Хайрхан ᠬᠠᠶᠢᠷᠬᠠᠨ,,,,,,,,,,,,,,,,NONE,0.0,
Mongolia,Ölzijt [Ölziit],Archangaj [Arkhangai],,,3449,District,,,#N/A,,Archangaj [Arkhangai]Mongolia,county,2,MN-069,Өлзийт ᠥᠯᠵᠡᠶᠢᠲᠦ,,,,,,,,,,,,,,,,NONE,0.0,
