Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Mauritania,Atar,Adrar,,,47364,Department,,,#N/A,,AdrarMauritania,county,2,MR-07,Atar,,,,county,2,MR-07,Atar,,,,,region,1,MR-07,Adrar أدرار,HIGH,1.0,MR-07
Mauritania,Aoujeft,Adrar,,,13877,Department,,,#N/A,,AdrarMauritania,county,2,MR-07,Aoujeft,,,,county,2,MR-07,Aoujeft,,,,,region,1,MR-07,Adrar أدرار,HIGH,1.0,MR-07
Mauritania,Chinguetti,Adrar,,,6549,Department,,,#N/A,,AdrarMauritania,county,2,MR-07,Chinguitti,,,,county,2,MR-07,Chinguitti,,,,,region,1,MR-07,Adrar أدرار,LOW,0.9,MR-07
Mauritania,Ouadane,Adrar,,,3833,Department,,,#N/A,,AdrarMauritania,county,2,MR-07,Ouadane,,,,county,2,MR-07,Ouadane,,,,,region,1,MR-07,Adrar أدرار,HIGH,1.0,MR-07
Mauritania,Kiffa,Assaba,,,146464,Department,,,#N/A,,AssabaMauritania,county,2,MR-03,Kiffa,,,,county,2,MR-03,Kiffa,,,,,region,1,MR-03,Assaba العصابة,HIGH,1.0,MR-03
Mauritania,Kankossa,Assaba,,,117392,Department,,,#N/A,,AssabaMauritania,county,2,MR-03,Kankossa,,,,county,2,MR-03,Kankossa,,,,,region,1,MR-03,Assaba العصابة,HIGH,1.0,MR-03
Mauritania,Barkewol,Assaba,,,109237,Department,,,#N/A,,AssabaMauritania,county,2,MR-03,Barkeol,,,,county,2,MR-03,Barkeol,,,,,region,1,MR-03,Assaba العصابة,MED,0.933,MR-03
Mauritania,Guerou,Assaba,,,67964,Department,,,#N/A,,AssabaMauritania,,,,,,,,county,2,MR-03,Guerrou,,,,,region,1,MR-03,Assaba العصابة,MED,0.923,MR-03
Mauritania,Boumdeid,Assaba,,,10747,Department,,,#N/A,,AssabaMauritania,county,2,MR-03,Boumdeid,,,,county,2,MR-03,Boumdeid,,,,,region,1,MR-03,Assaba العصابة,HIGH,1.0,MR-03
Mauritania,Boghé,Brakna,,,85333,Department,,,#N/A,,BraknaMauritania,county,2,MR-05,Boghe,,,,county,2,MR-05,Boghe,,,,,region,1,MR-05,Brakna البراكنة,HIGH,1.0,MR-05
Mauritania,Magta-Lahjar,Brakna,,,79046,Department,,,#N/A,,BraknaMauritania,,,,,,,,county,2,MR-05,Magta lahjar,,,,,region,1,MR-05,Brakna البراكنة,LOW,0.917,MR-05
Mauritania,Aleg,Brakna,,,75856,Department,,,#N/A,,BraknaMauritania,county,2,MR-05,Aleg,,,,county,2,MR-05,Aleg,,,,,region,1,MR-05,Brakna البراكنة,HIGH,1.0,MR-05
Mauritania,Mal [← Aleg],Brakna,,,54800,Department,,,#N/A,,BraknaMauritania,county,2,MR-05,Aleg,,,,,,,,,,,,region,1,MR-05,Brakna البراكنة,NONE,0.0,MR-05
Mauritania,M'Bagne,Brakna,,,52865,Department,,,#N/A,,BraknaMauritania,county,2,MR-05,M'Bagne,,,,county,2,MR-05,M'Bagne,,,,,region,1,MR-05,Brakna البراكنة,HIGH,1.0,MR-05
Mauritania,Bababé,Brakna,,,43410,Department,,,#N/A,,BraknaMauritania,county,2,MR-05,Bababe,,,,county,2,MR-05,Bababe,,,,,region,1,MR-05,Brakna البراكنة,HIGH,1.0,MR-05
Mauritania,Nouadhibou,Dakhlet Nouadhibou,,,177077,Department,Nouadhibou,,Nouadhibou,,Dakhlet NouadhibouMauritania,county,2,MR-08,Nouadhibou,,,,county,2,MR-08,Nouadhibou,,,,,region,1,MR-08,Dakhlet Nouadhibou ولاية داخلة نواذيبو,HIGH,1.0,MR-08
Mauritania,Chami,Dakhlet Nouadhibou,,,7382,Department,,,#N/A,,Dakhlet NouadhibouMauritania,county,2,MR-12,Chami,,,,,,,,,,,,region,1,MR-08,Dakhlet Nouadhibou ولاية داخلة نواذيبو,NONE,0.0,MR-08
Mauritania,M'Bout,Gorgol,,,132464,Department,,,#N/A,,GorgolMauritania,county,2,MR-04,M'bout,,,,county,2,MR-04,M'bout,,,,,region,1,MR-04,Gorgol كوركول,HIGH,1.0,MR-04
Mauritania,Kaédi,Gorgol,,,120660,Department,,,#N/A,,GorgolMauritania,county,2,MR-04,Kaedi,,,,county,2,MR-04,Kaedi,,,,,region,1,MR-04,Gorgol كوركول,HIGH,1.0,MR-04
Mauritania,Maghama,Gorgol,,,90891,Department,,,#N/A,,GorgolMauritania,county,2,MR-04,Maghama,,,,county,2,MR-04,Maghama,,,,,region,1,MR-04,Gorgol كوركول,HIGH,1.0,MR-04
Mauritania,Monguel,Gorgol,,,57208,Department,,,#N/A,,GorgolMauritania,county,2,MR-04,Monguel,,,,county,2,MR-04,Monguel,,,,,region,1,MR-04,Gorgol كوركول,HIGH,1.0,MR-04
Mauritania,Lexeiba 1 [← Kaédi],Gorgol,,,41267,Department,,,#N/A,,GorgolMauritania,county,2,MR-04,Kaedi,,,,,,,,,,,,region,1,MR-04,Gorgol كوركول,NONE,0.0,MR-04
Mauritania,Ghabou [← Sélibabi],Guidimaka,,,113669,Department,,,#N/A,,GuidimakaMauritania,county,2,MR-10,Ghabou,,,,,,,,,,,,region,1,MR-10,Guidimaka غيديماغا,NONE,0.0,MR-10
Mauritania,Sélibabi,Guidimaka,,,99118,Department,,,#N/A,,GuidimakaMauritania,county,2,MR-10,Selibabi,,,,county,2,MR-10,Selibabi,,,,,region,1,MR-10,Guidimaka غيديماغا,HIGH,1.0,MR-10
Mauritania,Ould Yengé,Guidimaka,,,92582,Department,,,#N/A,,GuidimakaMauritania,county,2,MR-10,Ould Yenge,,,,county,2,MR-10,Ould Yenge,,,,,region,1,MR-10,Guidimaka غيديماغا,HIGH,1.0,MR-10
Mauritania,Wompou [← Sélibabi],Guidimaka,,,57706,Department,,,#N/A,,GuidimakaMauritania,county,2,MR-10,Selibabi,,,,,,,,,,,,region,1,MR-10,Guidimaka غيديماغا,NONE,0.0,MR-10
Mauritania,Bassikounou,Hodh Ech Chargui,,,123337,Department,,,#N/A,,Hodh Ech CharguiMauritania,,,,,,,,county,2,MR-01,Basseknou,,,,,region,1,MR-01,Hodh Ech Chargui الحوض الشرقي,LOW,0.8,MR-01
Mauritania,Néma,Hodh Ech Chargui,,,121408,Department,,,#N/A,,Hodh Ech CharguiMauritania,,,,,,,,,,,,,,,,region,1,MR-01,Hodh Ech Chargui الحوض الشرقي,NONE,0.0,MR-01
