Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Maldives,Alif Alif (North Ari Atoll),Alif Alif (North Ari Atoll),,,9060,Atoll,,,#N/A,,Alif Alif (North Ari Atoll)Maldives,region,1,MV-02,އަރިއަތޮޅު އުތުރުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Alif Dhaalu (South Ari Atoll),Alif Dhaalu (South Ari Atoll),,,13387,Atoll,,,#N/A,,Alif Dhaalu (South Ari Atoll)Maldives,region,1,MV-00,އަރިއަތޮޅު ދެކުނުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Baa (South Maalhosmadulu),Baa (South Maalhosmadulu),,,13501,Atoll,,,#N/A,,Baa (South Maalhosmadulu)Maldives,region,1,MV-20,މާޅޮސްމަޑުލު ދެކުނުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Dhaalu (South Nilandhe Atoll),Dhaalu (South Nilandhe Atoll),,,7442,Atoll,,,#N/A,,Dhaalu (South Nilandhe Atoll)Maldives,region,1,MV-17,ނިލަންދެއަތޮޅު ދެކުނުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Faafu (North Nilandhe Atoll),Faafu (North Nilandhe Atoll),,,4627,Atoll,,,#N/A,,Faafu (North Nilandhe Atoll)Maldives,region,1,MV-14,ނިލަންދެއަތޮޅު އުތުރުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Gaafu Alif (North Huvadhu Atoll),Gaafu Alif (North Huvadhu Atoll),,,10873,Atoll,,,#N/A,,Gaafu Alif (North Huvadhu Atoll)Maldives,region,1,MV-27,ހުވަދުއަތޮޅު އުތުރުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Gaafu Dhaalu (South Huvadhu Atoll),Gaafu Dhaalu (South Huvadhu Atoll),,,13127,Atoll,,,#N/A,,Gaafu Dhaalu (South Huvadhu Atoll)Maldives,region,1,MV-28,ހުވަދުއަތޮޅު ދެކުނުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Gnaviyani (Fuammulah),Gnaviyani (Fuammulah),,,8510,Atoll,,,#N/A,,Gnaviyani (Fuammulah)Maldives,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Haa Alif (North Thiladhunmathi),Haa Alif (North Thiladhunmathi),,,14724,Atoll,,,#N/A,,Haa Alif (North Thiladhunmathi)Maldives,region,1,MV-07,ތިލަދުންމަތީ އުތުރުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Haa Dhaalu (South Thiladhunmathi),Haa Dhaalu (South Thiladhunmathi),,,19648,Atoll,,,#N/A,,Haa Dhaalu (South Thiladhunmathi)Maldives,region,1,MV-23,ތިލަދުންމަތީ ދެކުނުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Kaafu (Male' Atoll),Kaafu (Male' Atoll),,,27419,Atoll,Malé,,Malé,,Kaafu (Male' Atoll)Maldives,region,1,MV-MLE,މާލެ,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Laamu (Hadhdhunmathi),Laamu (Hadhdhunmathi),,,13770,Atoll,,,#N/A,,Laamu (Hadhdhunmathi)Maldives,region,1,MV-05,ހައްދުންމަތި އަތޮޅު,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Lhaviyani (Faadhippolhu),Lhaviyani (Faadhippolhu),,,10660,Atoll,,,#N/A,,Lhaviyani (Faadhippolhu)Maldives,region,1,MV-03,ފާދިއްޕޮޅު,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Male' [Malé],Male' [Malé],,,153904,Atoll,Malé,,Malé,,Male' [Malé]Maldives,region,1,MV-MLE,މާލެ,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Meemu (Mulakatholhu),Meemu (Mulakatholhu),,,5473,Atoll,,,#N/A,,Meemu (Mulakatholhu)Maldives,region,1,MV-02,އަރިއަތޮޅު އުތުރުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Noonu (South Miladhunmadhulu),Noonu (South Miladhunmadhulu),,,12824,Atoll,,,#N/A,,Noonu (South Miladhunmadhulu)Maldives,region,1,MV-25,މިލަދުންމަޑުލު ދެކުނުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Raa (North Maalhosmadhulu),Raa (North Maalhosmadhulu),,,16739,Atoll,,,#N/A,,Raa (North Maalhosmadhulu)Maldives,region,1,MV-02,އަރިއަތޮޅު އުތުރުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Seenu (Addu Atoll),Seenu (Addu Atoll),,,21807,Atoll,,,#N/A,,Seenu (Addu Atoll)Maldives,region,1,MV-01,އައްޑޫ,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Shaviyani (North Miladhunmadhulu),Shaviyani (North Miladhunmadhulu),,,13096,Atoll,,,#N/A,,Shaviyani (North Miladhunmadhulu)Maldives,region,1,MV-02,އަރިއަތޮޅު އުތުރުބުރި,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Thaa (Kolhumadulu),Thaa (Kolhumadulu),,,9893,Atoll,,,#N/A,,Thaa (Kolhumadulu)Maldives,region,1,MV-08,ކޮޅުމަޑުލު,,,,,,,,,,,,,,,,NONE,0.0,
Maldives,Vaavu (Felidhu Atoll),Vaavu (Felidhu Atoll),,,2042,Atoll,,,#N/A,,Vaavu (Felidhu Atoll)Maldives,region,1,MV-04,ފެލިދޫ އަތޮޅު,,,,,,,,,,,,,,,,NONE,0.0,
