Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Mozambique,Pemba,Cabo Delgado,,,200529,City,Pemba,,Pemba,,Cabo DelgadoMozambique,county,2,MZ-P,Cidade de Pemba,,,,,,,,,,,,region,1,MZ-P,Cabo Delgado,NONE,0.0,MZ-P
Mozambique,Chiúre,Cabo Delgado,,,299235,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Chiúre,,,,county,2,MZ-P,Chiúre,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Montepuez,Cabo Delgado,,,272069,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Montepuez,,,,county,2,MZ-P,Montepuez,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Namuno,Cabo Delgado,,,245248,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Namuno,,,,county,2,MZ-P,Namuno,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Balama,Cabo Delgado,,,175733,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Balama,,,,county,2,MZ-P,Balama,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Mueda,Cabo Delgado,,,170347,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Mueda,,,,county,2,MZ-P,Mueda,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Ancuabe,Cabo Delgado,,,159340,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Ancuabe,,,,county,2,MZ-P,Ancuabe,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Mocímboa da Praia,Cabo Delgado,,,127705,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Mocimboa da Praia,,,,county,2,MZ-P,Mocimboa da Praia,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Macomia,Cabo Delgado,,,114345,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Macomia,,,,county,2,MZ-P,Macomia,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Muidumbe,Cabo Delgado,,,98864,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Muidumbe,,,,county,2,MZ-P,Muidumbe,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Nangade,Cabo Delgado,,,89714,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Nangade,,,,county,2,MZ-P,Nangade,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Metuge,Cabo Delgado,,,86866,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Metuge,,,,county,2,MZ-P,Metuge,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Palma,Cabo Delgado,,,67025,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Palma,,,,county,2,MZ-P,Palma,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Mecúfi,Cabo Delgado,,,61531,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Mecúfi,,,,county,2,MZ-P,Mecúfi,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Quissanga,Cabo Delgado,,,50259,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Quissanga,,,,county,2,MZ-P,Quissanga,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Meluco,Cabo Delgado,,,36700,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Meluco,,,,county,2,MZ-P,Meluco,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Ibo,Cabo Delgado,,,12205,District,,,#N/A,,Cabo DelgadoMozambique,county,2,MZ-P,Ibo,,,,county,2,MZ-P,Ibo,,,,,region,1,MZ-P,Cabo Delgado,HIGH,1.0,MZ-P
Mozambique,Chibuto,Gaza,,,217155,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Chibuto,,,,county,2,MZ-G,Chibuto,,,,,region,1,MZ-G,Gaza,HIGH,1.0,MZ-G
Mozambique,Chókwè,Gaza,,,217019,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Chókwè,,,,county,2,MZ-G,Chókwè,,,,,region,1,MZ-G,Gaza,HIGH,1.0,MZ-G
Mozambique,Limpopo (← Xai-Xai Distrito),Gaza,,,150394,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Limpopo,,,,county,2,MZ-G,Limpopo,,,,,region,1,MZ-G,Gaza,HIGH,1.0,MZ-G
Mozambique,Xai-Xai,Gaza,,,141963,City,,,#N/A,,GazaMozambique,county,2,MZ-G,Cidade de Xai-Xai,,,,locality,,MZ-G,Xai-Xai,,,,,region,1,MZ-G,Gaza,HIGH,1.0,MZ-G
Mozambique,Bilene,Gaza,,,140972,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Bilene-Macia,,,,,,,,,,,,region,1,MZ-G,Gaza,NONE,0.0,MZ-G
Mozambique,Mandlakaze (Manjacaze),Gaza,,,137068,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Manjacaze,,,,,,,,,,,,region,1,MZ-G,Gaza,NONE,0.0,MZ-G
Mozambique,Chongoene (← Xai-Xai Distrito),Gaza,,,118911,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Chongoene,,,,locality,,MZ-G,Chongoene,,,,,region,1,MZ-G,Gaza,HIGH,1.0,MZ-G
Mozambique,Guijá,Gaza,,,89996,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Guija,,,,county,2,MZ-G,Guija,,,,,region,1,MZ-G,Gaza,HIGH,1.0,MZ-G
Mozambique,Mabalane,Gaza,,,38644,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Mabalane,,,,county,2,MZ-G,Mabalane,,,,,region,1,MZ-G,Gaza,HIGH,1.0,MZ-G
Mozambique,Massingir,Gaza,,,36750,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Massingir,,,,county,2,MZ-G,Massingir,,,,,region,1,MZ-G,Gaza,HIGH,1.0,MZ-G
Mozambique,Mapai (← Chicualacuala),Gaza,,,28441,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Mapai,,,,county,2,MZ-G,Mapai,,,,,region,1,MZ-G,Gaza,HIGH,1.0,MZ-G
Mozambique,Chicualacuala,Gaza,,,27084,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Chicualacuala,,,,county,2,MZ-G,Chicualacuala,,,,,region,1,MZ-G,Gaza,HIGH,1.0,MZ-G
Mozambique,Chigubo,Gaza,,,22080,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Chigubo,,,,county,2,MZ-G,Chigubo,,,,,region,1,MZ-G,Gaza,HIGH,1.0,MZ-G
Mozambique,Massangena,Gaza,,,21562,District,,,#N/A,,GazaMozambique,county,2,MZ-G,Massangena,,,,county,2,MZ-G,Massangena,,,,,region,1,MZ-G,Gaza,HIGH,1.0,MZ-G
Mozambique,Maxixe,Inhambane,,,129993,City,Inhambane,,Inhambane,,InhambaneMozambique,county,2,MZ-I,Maxixe,,,,county,2,MZ-I,Maxixe,,,,,region,1,MZ-I,Inhambane,HIGH,1.0,MZ-I
Mozambique,Jangamo,Inhambane,,,105306,District,Inhambane,,Inhambane,,InhambaneMozambique,county,2,MZ-I,Jangamo,,,,county,2,MZ-I,Jangamo,,,,,region,1,MZ-I,Inhambane,HIGH,1.0,MZ-I
