Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Namibia,Walvis Bay Urban,Erongo,,,51618,Constituency,Walvis Bay,,Walvis Bay,,ErongoNamibia,county,2,NA-KH,Walvisbay Urban,,,,,,,,,,,,region,1,NA-ER,Erongo Region,NONE,0.0,NA-ER
Namibia,Walvis Bay Rural,Erongo,,,51497,Constituency,Walvis Bay,,Walvis Bay,,ErongoNamibia,county,2,NA-HA,Walvisbay Rural,,,,,,,,,,,,region,1,NA-ER,Erongo Region,NONE,0.0,NA-ER
Namibia,Swakopmund,Erongo,,,75921,Constituency,,,#N/A,,ErongoNamibia,county,2,NA-HA,Swakopmund,,,,,,,,,,,,region,1,NA-ER,Erongo Region,NONE,0.0,NA-ER
Namibia,Karibib,Erongo,,,19705,Constituency,,,#N/A,,ErongoNamibia,county,2,NA-KA,Karibib,,,,locality,,NA-ER,Karibib,,,,,region,1,NA-ER,Erongo Region,HIGH,1.0,NA-ER
Namibia,Dâures,Erongo,,,14601,Constituency,,,#N/A,,ErongoNamibia,county,2,NA-KA,Daures,,,,,,,,,,,,region,1,NA-ER,Erongo Region,NONE,0.0,NA-ER
Namibia,Arandis,Erongo,,,13542,Constituency,,,#N/A,,ErongoNamibia,county,2,NA-KE,Arandis,,,,locality,,NA-ER,Arandis,,,,,region,1,NA-ER,Erongo Region,HIGH,1.0,NA-ER
Namibia,Omaruru,Erongo,,,13322,Constituency,,,#N/A,,ErongoNamibia,county,2,NA-HA,Omaruru,,,,locality,,NA-ER,Omaruru,,,,,region,1,NA-ER,Erongo Region,HIGH,1.0,NA-ER
Namibia,Rehoboth Urban East,Hardap,,,29299,Constituency,Rehoboth (NAM),,Rehoboth (NAM),,HardapNamibia,county,2,NA-OD,Rehoboth Rural,,,,,,,,,,,,region,1,NA-HA,Hardap Region,NONE,0.0,NA-HA
Namibia,Rehoboth Urban West,Hardap,,,11914,Constituency,Rehoboth (NAM),,Rehoboth (NAM),,HardapNamibia,county,2,NA-OD,Rehoboth Rural,,,,,,,,,,,,region,1,NA-HA,Hardap Region,NONE,0.0,NA-HA
Namibia,Mariental Urban,Hardap,,,18368,Constituency,,,#N/A,,HardapNamibia,county,2,NA-OD,Mariental Urban,,,,,,,,,,,,region,1,NA-HA,Hardap Region,NONE,0.0,NA-HA
Namibia,Mariental Rural,Hardap,,,12812,Constituency,,,#N/A,,HardapNamibia,county,2,NA-KA,Mariental Rural,,,,,,,,,,,,region,1,NA-HA,Hardap Region,NONE,0.0,NA-HA
Namibia,Aranos,Hardap,,,10722,Constituency,,,#N/A,,HardapNamibia,,,,,,,,,,,,,,,,region,1,NA-HA,Hardap Region,NONE,0.0,NA-HA
Namibia,Rehoboth Rural,Hardap,,,9439,Constituency,,,#N/A,,HardapNamibia,county,2,NA-OD,Rehoboth Rural,,,,,,,,,,,,region,1,NA-HA,Hardap Region,NONE,0.0,NA-HA
Namibia,Gibeon,Hardap,,,8034,Constituency,,,#N/A,,HardapNamibia,county,2,NA-OH,Gibeon,,,,,,,,,,,,region,1,NA-HA,Hardap Region,NONE,0.0,NA-HA
Namibia,Daweb,Hardap,,,6092,Constituency,,,#N/A,,HardapNamibia,,,,,,,,,,,,,,,,region,1,NA-HA,Hardap Region,NONE,0.0,NA-HA
Namibia,Keetmanshoop Urban,Karas,,,27862,Constituency,,,#N/A,,KarasNamibia,county,2,NA-OH,Keetmanshoop Urban,,,,locality,,NA-KA,Keetmanshoop,,,,,region,1,NA-KA,ǁKharas Region,LOW,0.8,NA-KA
Namibia,Karasburg West,Karas,,,17741,Constituency,,,#N/A,,KarasNamibia,,,,,,,,locality,,NA-KA,Karasburg,,,,,region,1,NA-KA,ǁKharas Region,LOW,0.783,NA-KA
Namibia,ǃNamiǂNûs (Lüderitz),Karas,,,17243,Constituency,,,#N/A,,KarasNamibia,county,2,NA-OH,Luderitz,,,,,,,,,,,,region,1,NA-KA,ǁKharas Region,NONE,0.0,NA-KA
Namibia,Karasburg East,Karas,,,13821,Constituency,,,#N/A,,KarasNamibia,,,,,,,,locality,,NA-KA,Karasburg,,,,,region,1,NA-KA,ǁKharas Region,LOW,0.783,NA-KA
Namibia,Oranjemund,Karas,,,13224,Constituency,,,#N/A,,KarasNamibia,county,2,NA-ER,Oranjemund,,,,locality,,NA-KA,Oranjemund,,,,,region,1,NA-KA,ǁKharas Region,HIGH,1.0,NA-KA
