Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Niger,Tchirozérine,Agadez,,,244706,Department,,,#N/A,,AgadezNiger,,,,,,,,county,2,NE-1,Tchirozérine,,,,,region,1,NE-1,ⴰⴳⴰⴷⴻⵣ,HIGH,1.0,NE-1
Niger,Arlit,Agadez,,,105025,Department,,,#N/A,,AgadezNiger,,,,,,,,county,2,NE-1,Arlit,,,,,region,1,NE-1,ⴰⴳⴰⴷⴻⵣ,HIGH,1.0,NE-1
Niger,Ingall,Agadez,,,51903,Department,,,#N/A,,AgadezNiger,,,,,,,,,,,,,,,,region,1,NE-1,ⴰⴳⴰⴷⴻⵣ,NONE,0.0,NE-1
Niger,Aderbissinat,Agadez,,,35320,Department,,,#N/A,,AgadezNiger,,,,,,,,,,,,,,,,region,1,NE-1,ⴰⴳⴰⴷⴻⵣ,NONE,0.0,NE-1
Niger,Iférouane,Agadez,,,32731,Department,,,#N/A,,AgadezNiger,,,,,,,,,,,,,,,,region,1,NE-1,ⴰⴳⴰⴷⴻⵣ,NONE,0.0,NE-1
Niger,Bilma,Agadez,,,17935,Department,,,#N/A,,AgadezNiger,,,,,,,,county,2,NE-1,Bilma,,,,,region,1,NE-1,ⴰⴳⴰⴷⴻⵣ,HIGH,1.0,NE-1
Niger,Diffa,Diffa,,,159722,Department,,,#N/A,,DiffaNiger,,,,,,,,region,1,NE-2,Diffa,,,,,region,1,NE-2,Diffa,HIGH,1.0,NE-2
Niger,Maïné-Soroa,Diffa,,,131664,Department,,,#N/A,,DiffaNiger,,,,,,,,county,2,NE-2,Maïné-Soroa,,,,,region,1,NE-2,Diffa,HIGH,1.0,NE-2
Niger,Goudoumaria,Diffa,,,100559,Department,,,#N/A,,DiffaNiger,,,,,,,,,,,,,,,,region,1,NE-2,Diffa,NONE,0.0,NE-2
Niger,Bosso,Diffa,,,76735,Department,,,#N/A,,DiffaNiger,,,,,,,,,,,,,,,,region,1,NE-2,Diffa,NONE,0.0,NE-2
Niger,N'Guigmi,Diffa,,,73374,Department,,,#N/A,,DiffaNiger,,,,,,,,county,2,NE-2,N’Guigmi,,,,,region,1,NE-2,Diffa,LOW,0.875,NE-2
Niger,N'Gourti,Diffa,,,51767,Department,,,#N/A,,DiffaNiger,,,,,,,,,,,,,,,,region,1,NE-2,Diffa,NONE,0.0,NE-2
Niger,Dosso,Dosso,,,492560,Department,,,#N/A,,DossoNiger,,,,,,,,county,2,NE-3,Dosso,,,,,region,1,NE-3,Dosso,HIGH,1.0,NE-3
Niger,Dogondoutchi,Dosso,,,372473,Department,,,#N/A,,DossoNiger,,,,,,,,county,2,NE-3,Dogondoutchi,,,,,region,1,NE-3,Dosso,HIGH,1.0,NE-3
Niger,Tibiri,Dosso,,,270016,Department,,,#N/A,,DossoNiger,,,,,,,,,,,,,,,,region,1,NE-3,Dosso,NONE,0.0,NE-3
Niger,Gaya,Dosso,,,261638,Department,,,#N/A,,DossoNiger,,,,,,,,county,2,NE-3,Gaya,,,,,region,1,NE-3,Dosso,HIGH,1.0,NE-3
Niger,Boboye,Dosso,,,252597,Department,,,#N/A,,DossoNiger,,,,,,,,county,2,NE-3,Boboye,,,,,region,1,NE-3,Dosso,HIGH,1.0,NE-3
Niger,Loga,Dosso,,,175543,Department,,,#N/A,,DossoNiger,,,,,,,,county,2,NE-3,Loga,,,,,region,1,NE-3,Dosso,HIGH,1.0,NE-3
Niger,Dioundiou,Dosso,,,109615,Department,,,#N/A,,DossoNiger,,,,,,,,,,,,,,,,region,1,NE-3,Dosso,NONE,0.0,NE-3
