Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Nepal,Chitwan,Bagmati,,,722168,District,Bharatpur,,Bharatpur,,BagmatiNepal,county,2,NP-P3,चितवन जिल्ला,,,,county,2,NP-P3,चितवन जिल्ला,,,,,region,1,NP-P3,बागमती प्रदेश,HIGH,1.0,NP-P3
Nepal,Kathmandu,Bagmati,,,2017532,District,Kathmandu,,Kathmandu,,BagmatiNepal,county,2,NP-P3,काठमाडौं जिल्ला,,,,county,2,NP-P3,काठमाडौं जिल्ला,,,,,region,1,NP-P3,बागमती प्रदेश,HIGH,1.0,NP-P3
Nepal,Lalitpur,Bagmati,,,548401,District,Kathmandu,,Kathmandu,,BagmatiNepal,county,2,NP-P3,ललितपुर जिल्ला,,,,county,2,NP-P3,ललितपुर जिल्ला,,,,,region,1,NP-P3,बागमती प्रदेश,HIGH,1.0,NP-P3
Nepal,Bhaktapur,Bagmati,,,430408,District,Kathmandu,,Kathmandu,,BagmatiNepal,county,2,NP-P3,भक्तपुर जिल्ला,,,,county,2,NP-P3,भक्तपुर जिल्ला,,,,,region,1,NP-P3,बागमती प्रदेश,HIGH,1.0,NP-P3
Nepal,Makwanpur,Bagmati,,,461053,District,,,#N/A,,BagmatiNepal,county,2,NP-P3,मकवानपुर जिल्ला,,,,county,2,NP-P3,मकवानपुर जिल्ला,,,,,region,1,NP-P3,बागमती प्रदेश,HIGH,1.0,NP-P3
Nepal,Kavrepalanchok,Bagmati,,,366879,District,,,#N/A,,BagmatiNepal,county,2,NP-P3,काभ्रेपलाञ्चोक जिल्ला,,,,county,2,NP-P3,काभ्रेपलाञ्चोक जिल्ला,,,,,region,1,NP-P3,बागमती प्रदेश,HIGH,1.0,NP-P3
Nepal,Dhading,Bagmati,,,322751,District,,,#N/A,,BagmatiNepal,county,2,NP-P3,धादिङ जिल्ला,,,,county,2,NP-P3,धादिङ जिल्ला,,,,,region,1,NP-P3,बागमती प्रदेश,HIGH,1.0,NP-P3
Nepal,Sindhuli,Bagmati,,,300117,District,,,#N/A,,BagmatiNepal,county,2,NP-P3,सिन्धुली जिल्ला,,,,county,2,NP-P3,सिन्धुली जिल्ला,,,,,region,1,NP-P3,बागमती प्रदेश,HIGH,1.0,NP-P3
Nepal,Nuwakot,Bagmati,,,262981,District,,,#N/A,,BagmatiNepal,county,2,NP-P3,नुवाकोट जिल्ला,,,,county,2,NP-P3,नुवाकोट जिल्ला,,,,,region,1,NP-P3,बागमती प्रदेश,HIGH,1.0,NP-P3
Nepal,Sindhupalchowk,Bagmati,,,262852,District,,,#N/A,,BagmatiNepal,county,2,NP-P3,सिन्धुपाल्चोक जिल्ला,,,,county,2,NP-P3,सिन्धुपाल्चोक जिल्ला,,,,,region,1,NP-P3,बागमती प्रदेश,HIGH,1.0,NP-P3
