Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
New Zealand,Auckland Council,Auckland,,,1695200,Council,Auckland,,Auckland,,AucklandNew Zealand,region,1,NZ-AUK,Auckland,,,,,,,,,,,,region,1,NZ-AUK,Auckland,NONE,0.0,NZ-AUK
New Zealand,Tauranga,Bay of Plenty,,,158300,City,Tauranga,,Tauranga,,Bay of PlentyNew Zealand,county,2,NZ-BOP,Tauranga City,,,,county,2,NZ-BOP,Tauranga City,,,,,region,1,NZ-BOP,Bay of Plenty,HIGH,1.0,NZ-BOP
New Zealand,Rotorua,Bay of Plenty,,,76800,District,,,#N/A,,Bay of PlentyNew Zealand,county,2,NZ-BOP,Rotorua District,,,,county,2,NZ-BOP,Rotorua District,,,,,region,1,NZ-BOP,Bay of Plenty,HIGH,1.0,NZ-BOP
New Zealand,Western Bay of Plenty,Bay of Plenty,,,59700,District,,,#N/A,,Bay of PlentyNew Zealand,county,2,NZ-BOP,Western Bay of Plenty District,,,,county,2,NZ-BOP,Western Bay of Plenty District,,,,,region,1,NZ-BOP,Bay of Plenty,HIGH,1.0,NZ-BOP
New Zealand,Whakatāne,Bay of Plenty,,,38300,District,,,#N/A,,Bay of PlentyNew Zealand,county,2,NZ-BOP,Whakatane District,,,,locality,,NZ-BOP,Whakatane,,,,,region,1,NZ-BOP,Bay of Plenty,HIGH,1.0,NZ-BOP
New Zealand,Ōpōtiki,Bay of Plenty,,,10500,District,,,#N/A,,Bay of PlentyNew Zealand,county,2,NZ-BOP,Apatiki District,,,,locality,,NZ-BOP,Opotiki,,,,,region,1,NZ-BOP,Bay of Plenty,HIGH,1.0,NZ-BOP
New Zealand,Kawerau,Bay of Plenty,,,7760,District,,,#N/A,,Bay of PlentyNew Zealand,county,2,NZ-BOP,Kawerau District,,,,locality,,NZ-BOP,Kawerau,,,,,region,1,NZ-BOP,Bay of Plenty,HIGH,1.0,NZ-BOP
New Zealand,Christchurch,Canterbury,,,389300,City,Christchurch,,Christchurch,,CanterburyNew Zealand,county,2,NZ-CAN,Christchurch City,,,,locality,,NZ-CAN,Christchurch,,,,,region,1,NZ-CAN,Canterbury,HIGH,1.0,NZ-CAN
New Zealand,Selwyn,Canterbury,,,79300,District,Christchurch,,Christchurch,,CanterburyNew Zealand,county,2,NZ-CAN,Selwyn District,,,,county,2,NZ-CAN,Selwyn District,,,,,region,1,NZ-CAN,Canterbury,HIGH,1.0,NZ-CAN
New Zealand,Waimakariri,Canterbury,,,67900,District,Christchurch,,Christchurch,,CanterburyNew Zealand,county,2,NZ-CAN,Waimakariri District,,,,county,2,NZ-CAN,Waimakariri District,,,,,region,1,NZ-CAN,Canterbury,HIGH,1.0,NZ-CAN
New Zealand,Timaru,Canterbury,,,48500,District,,,#N/A,,CanterburyNew Zealand,county,2,NZ-CAN,Timaru District,,,,locality,,NZ-CAN,Timaru,,,,,region,1,NZ-CAN,Canterbury,HIGH,1.0,NZ-CAN
New Zealand,Ashburton,Canterbury,,,36300,District,,,#N/A,,CanterburyNew Zealand,county,2,NZ-CAN,Ashburton District,,,,county,2,NZ-CAN,Ashburton District,,,,,region,1,NZ-CAN,Canterbury,HIGH,1.0,NZ-CAN
New Zealand,Waitaki,Canterbury,,,24000,District,,,#N/A,,CanterburyNew Zealand,county,2,NZ-CAN,Waitaki District,,,,county,2,NZ-CAN,Waitaki District,,,,,region,1,NZ-CAN,Canterbury,HIGH,1.0,NZ-CAN
New Zealand,Hurunui,Canterbury,,,13700,District,,,#N/A,,CanterburyNew Zealand,county,2,NZ-CAN,Hurunui District,,,,locality,,NZ-CAN,Hurunui,,,,,region,1,NZ-CAN,Canterbury,HIGH,1.0,NZ-CAN
New Zealand,Waimate,Canterbury,,,8320,District,,,#N/A,,CanterburyNew Zealand,county,2,NZ-CAN,Waimate District,,,,county,2,NZ-CAN,Waimate District,,,,,region,1,NZ-CAN,Canterbury,HIGH,1.0,NZ-CAN
New Zealand,Mackenzie,Canterbury,,,5460,District,,,#N/A,,CanterburyNew Zealand,county,2,NZ-CAN,Mackenzie District,,,,county,2,NZ-CAN,Mackenzie District,,,,,region,1,NZ-CAN,Canterbury,HIGH,1.0,NZ-CAN
New Zealand,Kaikōura,Canterbury,,,4160,District,,,#N/A,,CanterburyNew Zealand,county,2,NZ-CAN,Kaikoura District,,,,county,2,NZ-CAN,Kaikoura District,,,,,region,1,NZ-CAN,Canterbury,HIGH,1.0,NZ-CAN
New Zealand,Chatham Islands,Chatham Islands,,,800,Territory,,,#N/A,,Chatham IslandsNew Zealand,region,1,NZ-CIT,Chatham Islands,,,,region,1,NZ-CIT,Chatham Islands,,,,,region,1,NZ-CIT,Chatham Islands,HIGH,1.0,NZ-CIT
New Zealand,Gisborne,Gisborne,,,52100,District,,,#N/A,,GisborneNew Zealand,county,2,NZ-GIS,Gisborne District,,,,county,2,NZ-GIS,Gisborne District,,,,,region,1,NZ-GIS,Gisborne,HIGH,1.0,NZ-GIS
New Zealand,Hastings,Hawke's Bay,,,90600,District,Napier,,Napier,,Hawke's BayNew Zealand,county,2,NZ-HKB,Hastings District,,,,locality,,NZ-HKB,Hastings,,,,,region,1,NZ-HKB,Hawke's Bay,HIGH,1.0,NZ-HKB
New Zealand,Napier,Hawke's Bay,,,66800,City,Napier,,Napier,,Hawke's BayNew Zealand,county,2,NZ-HKB,Napier City,,,,county,2,NZ-HKB,Napier City,,,,,region,1,NZ-HKB,Hawke's Bay,HIGH,1.0,NZ-HKB
New Zealand,Central Hawke's Bay,Hawke's Bay,,,15950,District,Napier,,Napier,,Hawke's BayNew Zealand,county,2,NZ-HKB,Central Hawke's Bay District,,,,county,2,NZ-HKB,Central Hawke's Bay District,,,,,region,1,NZ-HKB,Hawke's Bay,HIGH,1.0,NZ-HKB
New Zealand,Wairoa,Hawke's Bay,,,9190,District,Napier,,Napier,,Hawke's BayNew Zealand,county,2,NZ-HKB,Wairoa District,,,,locality,,NZ-HKB,Wairoa,,,,,region,1,NZ-HKB,Hawke's Bay,HIGH,1.0,NZ-HKB
New Zealand,Palmerston North,Manawatū-Whanganui,,,90400,City,Palmerston North,,Palmerston North,,Manawatū-WhanganuiNew Zealand,county,2,NZ-MWT,Palmerston North City,,,,county,2,NZ-MWT,Palmerston North City,,,,,region,1,NZ-MWT,Manawatū-Whanganui,HIGH,1.0,NZ-MWT
New Zealand,Whanganui,Manawatū-Whanganui,,,48700,District,,,#N/A,,Manawatū-WhanganuiNew Zealand,county,2,NZ-MWT,Whanganui District,,,,locality,,NZ-MWT,Whanganui,,,,,region,1,NZ-MWT,Manawatū-Whanganui,HIGH,1.0,NZ-MWT
New Zealand,Horowhenua,Manawatū-Whanganui,,,37000,District,,,#N/A,,Manawatū-WhanganuiNew Zealand,county,2,NZ-MWT,Horowhenua District,,,,county,2,NZ-MWT,Horowhenua District,,,,,region,1,NZ-MWT,Manawatū-Whanganui,HIGH,1.0,NZ-MWT
New Zealand,Manawatu,Manawatū-Whanganui,,,33900,District,,,#N/A,,Manawatū-WhanganuiNew Zealand,county,2,NZ-MWT,Manawatu District,,,,county,2,NZ-MWT,Manawatu District,,,,,region,1,NZ-MWT,Manawatū-Whanganui,HIGH,1.0,NZ-MWT
New Zealand,Tararua,Manawatū-Whanganui,,,19050,District,,,#N/A,,Manawatū-WhanganuiNew Zealand,county,2,NZ-MWT,Tararua District,,,,county,2,NZ-MWT,Tararua District,,,,,region,1,NZ-MWT,Manawatū-Whanganui,HIGH,1.0,NZ-MWT
New Zealand,Rangitikei,Manawatū-Whanganui,,,16100,District,,,#N/A,,Manawatū-WhanganuiNew Zealand,county,2,NZ-MWT,Rangitikei District,,,,county,2,NZ-MWT,Rangitikei District,,,,,region,1,NZ-MWT,Manawatū-Whanganui,HIGH,1.0,NZ-MWT
New Zealand,Ruapehu,Manawatū-Whanganui,,,13000,District,,,#N/A,,Manawatū-WhanganuiNew Zealand,county,2,NZ-MWT,Ruapehu District,,,,county,2,NZ-MWT,Ruapehu District,,,,,region,1,NZ-MWT,Manawatū-Whanganui,HIGH,1.0,NZ-MWT
New Zealand,Marlborough,Marlborough,,,51900,District,Marlborough,,Marlborough,,MarlboroughNew Zealand,region,1,NZ-MBH,Marlborough,,,,region,1,NZ-MBH,Marlborough,,,,,region,1,NZ-MBH,Marlborough,HIGH,1.0,NZ-MBH
New Zealand,Nelson,Nelson,,,54500,City,,,#N/A,,NelsonNew Zealand,region,1,NZ-NSN,Nelson,,,,region,1,NZ-NSN,Nelson,,,,,region,1,NZ-NSN,Nelson,HIGH,1.0,NZ-NSN
