Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Oman,Nizwā,Ad-Dākhilīyah [Ad Dakhiliyah],,,131763,District,,,#N/A,,Ad-Dākhilīyah [Ad Dakhiliyah]Oman,county,2,OM-DA,WILAYAT NIZWA,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Bahlā',Ad-Dākhilīyah [Ad Dakhiliyah],,,88286,District,,,#N/A,,Ad-Dākhilīyah [Ad Dakhiliyah]Oman,county,2,OM-DA,WILAYAT BAHLA,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Samā'il,Ad-Dākhilīyah [Ad Dakhiliyah],,,80402,District,,,#N/A,,Ad-Dākhilīyah [Ad Dakhiliyah]Oman,county,2,OM-DA,WILAYAT SAMAIL,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Izkī,Ad-Dākhilīyah [Ad Dakhiliyah],,,58905,District,,,#N/A,,Ad-Dākhilīyah [Ad Dakhiliyah]Oman,county,2,OM-DA,WILAYAT IZKI,,,,locality,,OM-DA,إزكي,,,,,region,1,OM-DA,محافظة الداخلية,HIGH,1.0,OM-DA
Oman,Bidbid,Ad-Dākhilīyah [Ad Dakhiliyah],,,37434,District,,,#N/A,,Ad-Dākhilīyah [Ad Dakhiliyah]Oman,county,2,OM-DA,WILAYAT BIDBID,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Al-Ḥamrā',Ad-Dākhilīyah [Ad Dakhiliyah],,,28228,District,,,#N/A,,Ad-Dākhilīyah [Ad Dakhiliyah]Oman,county,2,OM-DA,WILAYAT AL HAMRA,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Ādam,Ad-Dākhilīyah [Ad Dakhiliyah],,,28163,District,,,#N/A,,Ad-Dākhilīyah [Ad Dakhiliyah]Oman,county,2,OM-DA,WILAYAT ADAM,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Manaḥ,Ad-Dākhilīyah [Ad Dakhiliyah],,,25320,District,,,#N/A,,Ad-Dākhilīyah [Ad Dakhiliyah]Oman,county,2,OM-DA,WILAYAT MANAH,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Al-Buraymī,Al-Buraymī [Al Buraimi],,,110171,District,Al-Buraimi,,Al-Buraimi,,Al-Buraymī [Al Buraimi]Oman,county,2,OM-BU,WILAYAT AL BURAYMI,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Maḥḍah,Al-Buraymī [Al Buraimi],,,10160,District,,,#N/A,,Al-Buraymī [Al Buraimi]Oman,county,2,OM-BU,WILAYAT MAHADAH,,,,,,,,,,,,,,,,NONE,0.0,
Oman,As-Sunaynah [← Al-Buraymī],Al-Buraymī [Al Buraimi],,,1471,District,,,#N/A,,Al-Buraymī [Al Buraimi]Oman,county,2,OM-BU,WILAYAT AS SUNAYNAH,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Ad-Duqm,Al-Wusṭa [Al Wusta],,,19221,District,,,#N/A,,Al-Wusṭa [Al Wusta]Oman,county,2,OM-WU,WILAYAT AD DUQM,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Maḥūt [Mahout],Al-Wusṭa [Al Wusta],,,17385,District,,,#N/A,,Al-Wusṭa [Al Wusta]Oman,county,2,OM-WU,WILAYAT MAHAWT,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Haymā [Haima],Al-Wusṭa [Al Wusta],,,10093,District,,,#N/A,,Al-Wusṭa [Al Wusta]Oman,county,2,OM-WU,WILAYAT HAYMA,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Al-Jāzer,Al-Wusṭa [Al Wusta],,,5645,District,,,#N/A,,Al-Wusṭa [Al Wusta]Oman,county,2,OM-WU,WILAYAT AL JAZIR,,,,,,,,,,,,,,,,NONE,0.0,
Oman,'Ibrī,Aẓ-Ẓāhirah [Ad Dhahirah],,,163179,District,,,#N/A,,Aẓ-Ẓāhirah [Ad Dhahirah]Oman,county,2,OM-ZA,WILAYAT IBRI,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Yanqul,Aẓ-Ẓāhirah [Ad Dhahirah],,,26428,District,,,#N/A,,Aẓ-Ẓāhirah [Ad Dhahirah]Oman,county,2,OM-ZA,WILAYAT YANQUL,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Ḍank [Dhank],Aẓ-Ẓāhirah [Ad Dhahirah],,,23436,District,,,#N/A,,Aẓ-Ẓāhirah [Ad Dhahirah]Oman,county,2,OM-ZA,WILAYAT DANK,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Barka',Janūb al-Bāṭinah [Al Batinah South],,,181630,District,Muscat,,Muscat,,Janūb al-Bāṭinah [Al Batinah South]Oman,county,2,OM-BJ,WILAYAT BARKA,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Ar-Rustāq,Janūb al-Bāṭinah [Al Batinah South],,,117899,District,,,#N/A,,Janūb al-Bāṭinah [Al Batinah South]Oman,county,2,OM-BJ,WILAYAT AR RUSTAQ,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Al-Maṣna'ah [Musannah],Janūb al-Bāṭinah [Al Batinah South],,,99008,District,,,#N/A,,Janūb al-Bāṭinah [Al Batinah South]Oman,county,2,OM-BJ,WILAYAT AL MUSANAAH,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Nakhal [Nakhal],Janūb al-Bāṭinah [Al Batinah South],,,28037,District,,,#N/A,,Janūb al-Bāṭinah [Al Batinah South]Oman,county,2,OM-BJ,WILAYAT NAKHAL,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Wādī al-M'āwil [Wadi al Maawil],Janūb al-Bāṭinah [Al Batinah South],,,20174,District,,,#N/A,,Janūb al-Bāṭinah [Al Batinah South]Oman,county,2,OM-BJ,WILAYAT WADI AL MAAWIL,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Al-'Awābī,Janūb al-Bāṭinah [Al Batinah South],,,18802,District,,,#N/A,,Janūb al-Bāṭinah [Al Batinah South]Oman,county,2,OM-BJ,WILAYAT AL AWABI,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Ṣūr,Janūb ash-Sharqīyah [Ash Sharqiyah South],,,110975,District,,,#N/A,,Janūb ash-Sharqīyah [Ash Sharqiyah South]Oman,county,2,OM-SJ,WILAYAT SUR,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Ja'alan Banī Bū 'Alī [Jalan Bani Bu Ali],Janūb ash-Sharqīyah [Ash Sharqiyah South],,,107637,District,,,#N/A,,Janūb ash-Sharqīyah [Ash Sharqiyah South]Oman,county,2,OM-SJ,WILAYAT JAALAN BANI BU ALI,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Ja'alan Banī Bū Ḥassan [Jalan Bani Bu Hassan],Janūb ash-Sharqīyah [Ash Sharqiyah South],,,44503,District,,,#N/A,,Janūb ash-Sharqīyah [Ash Sharqiyah South]Oman,county,2,OM-SJ,WILAYAT JAALAN BANI BU HASAN,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Al-Kāmil & Al-Wāfī [Al Kamil w'al Wafi],Janūb ash-Sharqīyah [Ash Sharqiyah South],,,38456,District,,,#N/A,,Janūb ash-Sharqīyah [Ash Sharqiyah South]Oman,county,2,OM-SJ,WILAYAT AL KAMIL WA AL WAFI,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Maṣīrah [Masirah],Janūb ash-Sharqīyah [Ash Sharqiyah South],,,13874,District,,,#N/A,,Janūb ash-Sharqīyah [Ash Sharqiyah South]Oman,county,2,OM-SJ,WILAYAT MASIRAH,,,,,,,,,,,,,,,,NONE,0.0,
Oman,As-Sīb [Seeb],Masqaṭ [Muscat],,,478517,District,Muscat,,Muscat,,Masqaṭ [Muscat]Oman,county,2,OM-MA,WILAYAT AS SEEB,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Bawshar,Masqaṭ [Muscat],,,382184,District,Muscat,,Muscat,,Masqaṭ [Muscat]Oman,county,2,OM-MA,WILAYAT BAWSHAR,,,,locality,,OM-MA,بوشر,,,,,region,1,OM-MA,محافظة مسقط,HIGH,1.0,OM-MA
Oman,Maṭraḥ [Muttrah],Masqaṭ [Muscat],,,230881,District,Muscat,,Muscat,,Masqaṭ [Muscat]Oman,county,2,OM-MA,WILAYAT MUTRAH,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Al-'Āmrāt [Amarat],Masqaṭ [Muscat],,,121103,District,Muscat,,Muscat,,Masqaṭ [Muscat]Oman,county,2,OM-MA,WILAYAT AL AMRAT,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Qurayyāt,Masqaṭ [Muscat],,,58438,District,Muscat,,Muscat,,Masqaṭ [Muscat]Oman,county,2,OM-MA,WILAYAT QURAYYAT,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Masqaṭ [Muscat],Masqaṭ [Muscat],,,31317,District,Muscat,,Muscat,,Masqaṭ [Muscat]Oman,county,2,OM-MA,WILAYAT MUSCAT,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Khaṣab,Musandam,,,29688,District,,,#N/A,,MusandamOman,county,2,OM-MU,WILAYAT KHASAB,,,,,,,,,,,,region,1,OM-MU,محافظة مسندم,NONE,0.0,OM-MU
Oman,Dibā al-Bay'ah [Dibba Al-Baya],Musandam,,,10416,District,,,#N/A,,MusandamOman,county,2,OM-MU,WILAYAT DABA,,,,,,,,,,,,region,1,OM-MU,محافظة مسندم,NONE,0.0,OM-MU
Oman,Madḥā,Musandam,,,4492,District,,,#N/A,,MusandamOman,county,2,OM-MU,WILAYAT MADHA,,,,,,,,,,,,region,1,OM-MU,محافظة مسندم,NONE,0.0,OM-MU
Oman,Bukhā,Musandam,,,4466,District,,,#N/A,,MusandamOman,county,2,OM-MU,WILAYAT BUKHA,,,,,,,,,,,,region,1,OM-MU,محافظة مسندم,NONE,0.0,OM-MU
Oman,Ṣuḥār [Sohar],Shamāl al-Bāṭinah [Al Batinah North],,,232849,District,Sohar,,Sohar,,Shamāl al-Bāṭinah [Al Batinah North]Oman,county,2,OM-BS,WILAYAT SOHAR,,,,,,,,,,,,,,,,NONE,0.0,
Oman,As-Suwaīq,Shamāl al-Bāṭinah [Al Batinah North],,,184561,District,,,#N/A,,Shamāl al-Bāṭinah [Al Batinah North]Oman,county,2,OM-BS,WILAYAT AS SUWAYQ,,,,,,,,,,,,,,,,NONE,0.0,
Oman,Ṣaḥam,Shamāl al-Bāṭinah [Al Batinah North],,,150057,District,,,#N/A,,Shamāl al-Bāṭinah [Al Batinah North]Oman,county,2,OM-BS,WILAYAT SAHAM,,,,,,,,,,,,,,,,NONE,0.0,
