Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Tahiti,Moerai,Austral Islands,,,1101,Place,,,#N/A,,Austral IslandsTahiti,locality,,,Moerai,,,,locality,,nan,Moerai,,,,,,,,,HIGH,1.0,nan
Tahiti,Mataura,Austral Islands,,,970,Place,,,#N/A,,Austral IslandsTahiti,locality,,,Mataura,,,,locality,,nan,Mataura,,,,,,,,,HIGH,1.0,nan
Tahiti,Avera,Austral Islands,,,919,Place,,,#N/A,,Austral IslandsTahiti,locality,,,Avera,,,,locality,,nan,Avera,,,,,,,,,HIGH,1.0,nan
Tahiti,Taahuaia,Austral Islands,,,645,Place,,,#N/A,,Austral IslandsTahiti,locality,,,Taahuaia,,,,locality,,nan,Taahuaia,,,,,,,,,HIGH,1.0,nan
Tahiti,Mahu,Austral Islands,,,602,Place,,,#N/A,,Austral IslandsTahiti,locality,,,Mahu,,,,locality,,nan,Mahu,,,,,,,,,HIGH,1.0,nan
Tahiti,Rapa,Austral Islands,,,507,Place,,,#N/A,,Austral IslandsTahiti,,,,,,,,county,3,nan,Rapa,,,,,,,,,HIGH,1.0,nan
Tahiti,Rairua-Mahanatoa,Austral Islands,,,468,Place,,,#N/A,,Austral IslandsTahiti,locality,,,Rairua-Mahatanoa,,,,,,,,,,,,,,,,NONE,0.0,
Tahiti,Hauti,Austral Islands,,,446,Place,,,#N/A,,Austral IslandsTahiti,locality,,,Hauti,,,,locality,,nan,Hauti,,,,,,,,,HIGH,1.0,nan
Tahiti,Mutuaura,Austral Islands,,,315,Place,,,#N/A,,Austral IslandsTahiti,locality,,,Mutuaura,,,,locality,,nan,Mutuaura,,,,,,,,,HIGH,1.0,nan
Tahiti,Amaru,Austral Islands,,,289,Place,,,#N/A,,Austral IslandsTahiti,locality,,,Amaru,,,,locality,,nan,Amaru,,,,,,,,,HIGH,1.0,nan
Tahiti,Anapoto,Austral Islands,,,268,Place,,,#N/A,,Austral IslandsTahiti,locality,,,Anapoto,,,,locality,,nan,Anapoto,,,,,,,,,HIGH,1.0,nan
Tahiti,Anatonu,Austral Islands,,,237,Place,,,#N/A,,Austral IslandsTahiti,locality,,,Anatonu,,,,locality,,nan,Anatonu,,,,,,,,,HIGH,1.0,nan
Tahiti,Vaiuru,Austral Islands,,,198,Place,,,#N/A,,Austral IslandsTahiti,locality,,,Vaiuru,,,,locality,,nan,Vaiuru,,,,,,,,,HIGH,1.0,nan
Tahiti,Nunue,Leeward Islands,,,5614,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Nunue,,,,locality,,nan,Nunue,,,,,,,,,HIGH,1.0,nan
Tahiti,Uturoa,Leeward Islands,,,3736,Place,Papeete,,Papeete,,Leeward IslandsTahiti,,,,,x,,,county,3,nan,Uturoa,,,,,,,,,HIGH,1.0,nan
Tahiti,Avera,Leeward Islands,,,3265,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Avera,,,,locality,,nan,Avera,,,,,,,,,HIGH,1.0,nan
Tahiti,Faanui,Leeward Islands,,,2962,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Faanui,,,,locality,,nan,Faanui,,,,,,,,,HIGH,1.0,nan
Tahiti,Anau,Leeward Islands,,,1973,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Anau,,,,locality,,nan,Anau,,,,,,,,,HIGH,1.0,nan
Tahiti,Tevaitoa,Leeward Islands,,,1939,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Tevaitoa,,,,locality,,nan,Tevaitoa,,,,,,,,,HIGH,1.0,nan
Tahiti,Fare,Leeward Islands,,,1562,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Fare,,,,locality,,nan,Fare,,,,,,,,,HIGH,1.0,nan
Tahiti,Maupiti,Leeward Islands,,,1286,Place,Papeete,,Papeete,,Leeward IslandsTahiti,,,,,x,,,county,3,nan,Maupiti,,,,,,,,,HIGH,1.0,nan
Tahiti,Iripau,Leeward Islands,,,1242,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Iripau,,,,locality,,nan,Iripau,,,,,,,,,HIGH,1.0,nan
Tahiti,Opoa,Leeward Islands,,,1183,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Opoa,,,,locality,,nan,Opoa,,,,,,,,,HIGH,1.0,nan
Tahiti,Fitii,Leeward Islands,,,1049,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Fitii,,,,locality,,nan,Fitii,,,,,,,,,HIGH,1.0,nan
Tahiti,Maeva,Leeward Islands,,,934,Place,Papeete,,Papeete,,Leeward IslandsTahiti,,,,,x,,,,,,,,,,,,,,,NONE,0.0,
Tahiti,Haamene,Leeward Islands,,,908,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Haamene,,,,locality,,nan,Haamene,,,,,,,,,HIGH,1.0,nan
Tahiti,Vaiaau,Leeward Islands,,,837,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Vaiaau,,,,locality,,nan,Vaiaau,,,,,,,,,HIGH,1.0,nan
Tahiti,Tapuamu,Leeward Islands,,,653,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Tapuamu,,,,locality,,nan,Tapuamu,,,,,,,,,HIGH,1.0,nan
Tahiti,Haapu,Leeward Islands,,,637,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Haapu,,,,locality,,nan,Haapu,,,,,,,,,HIGH,1.0,nan
Tahiti,Maroe,Leeward Islands,,,576,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Maroe,,,,locality,,nan,Maroe,,,,,,,,,HIGH,1.0,nan
Tahiti,Tehurui,Leeward Islands,,,555,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Tehurui,,,,locality,,nan,Tehurui,,,,,,,,,HIGH,1.0,nan
Tahiti,Ruutia,Leeward Islands,,,548,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Ruutia,,,,locality,,nan,Ruutia,,,,,,,,,HIGH,1.0,nan
Tahiti,Niua,Leeward Islands,,,542,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Niua,,,,locality,,nan,Niua,,,,,,,,,HIGH,1.0,nan
Tahiti,Parea,Leeward Islands,,,492,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Parea,,,,locality,,nan,Parea,,,,,,,,,HIGH,1.0,nan
Tahiti,Vaitoare,Leeward Islands,,,485,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Vaitoare,,,,locality,,nan,Vaitoare,,,,,,,,,HIGH,1.0,nan
Tahiti,Tefarerii,Leeward Islands,,,438,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Tefarerii,,,,locality,,nan,Tefarerii,,,,,,,,,HIGH,1.0,nan
Tahiti,Faaaha,Leeward Islands,,,428,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Faaaha,,,,locality,,nan,Faaaha,,,,,,,,,HIGH,1.0,nan
Tahiti,Hipu,Leeward Islands,,,428,Place,Papeete,,Papeete,,Leeward IslandsTahiti,locality,,,Hipu,,,,locality,,nan,Hipu,,,,,,,,,HIGH,1.0,nan
