Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Papua New Guinea,North Bougainville,Bougainville,,,109023,District,Buka,,Buka,2011,BougainvillePapua New Guinea,county,2,PG-NSB,North Bougainville District,,,,county,2,PG-NSB,North Bougainville District,,,,,region,1,PG-NSB,Autonomous Region of Bougainville,HIGH,1.0,PG-NSB
Papua New Guinea,South Bougainville,Bougainville,,,81675,District,,,#N/A,2011,BougainvillePapua New Guinea,county,2,PG-NSB,South Bougainville District,,,,county,2,PG-NSB,South Bougainville District,,,,,region,1,PG-NSB,Autonomous Region of Bougainville,HIGH,1.0,PG-NSB
Papua New Guinea,Central Bougainville,Bougainville,,,58660,District,,,#N/A,2011,BougainvillePapua New Guinea,county,2,PG-NSB,Central Bougainville District,,,,county,2,PG-NSB,Central Bougainville District,,,,,region,1,PG-NSB,Autonomous Region of Bougainville,HIGH,1.0,PG-NSB
Papua New Guinea,Kairuku - Hiri,Central,,,121586,District,,,#N/A,2011,CentralPapua New Guinea,county,2,PG-CPM,Kairuku - Hiri District,,,,county,2,PG-CPM,Kairuku - Hiri District,,,,,region,1,PG-CPM,Central,HIGH,1.0,PG-CPM
Papua New Guinea,Rigo,Central,,,56509,District,,,#N/A,2011,CentralPapua New Guinea,county,2,PG-CPM,Rigo District,,,,county,2,PG-CPM,Rigo District,,,,,region,1,PG-CPM,Central,HIGH,1.0,PG-CPM
Papua New Guinea,Abau,Central,,,55569,District,,,#N/A,2011,CentralPapua New Guinea,county,2,PG-CPM,Abau District,,,,county,2,PG-CPM,Abau District,,,,,region,1,PG-CPM,Central,HIGH,1.0,PG-CPM
Papua New Guinea,Goilala,Central,,,36092,District,,,#N/A,2011,CentralPapua New Guinea,county,2,PG-CPM,Goilala District,,,,county,2,PG-CPM,Goilala District,,,,,region,1,PG-CPM,Central,HIGH,1.0,PG-CPM
Papua New Guinea,Kerowagi,Chimbu (Simbu),,,93107,District,,,#N/A,2011,Chimbu (Simbu)Papua New Guinea,county,2,PG-CPK,Kerowagi District,,,,county,2,PG-CPK,Kerowagi District,,,,,region,1,PG-CPK,Simbu,HIGH,1.0,PG-CPK
Papua New Guinea,Kundiawa/Gembogl,Chimbu (Simbu),,,78521,District,,,#N/A,2011,Chimbu (Simbu)Papua New Guinea,county,2,PG-CPK,Kundiawa/Gembogl District,,,,county,2,PG-CPK,Kundiawa/Gembogl District,,,,,region,1,PG-CPK,Simbu,HIGH,1.0,PG-CPK
Papua New Guinea,Gumine,Chimbu (Simbu),,,56860,District,,,#N/A,2011,Chimbu (Simbu)Papua New Guinea,county,2,PG-CPK,Gumine District,,,,county,2,PG-CPK,Gumine District,,,,,region,1,PG-CPK,Simbu,HIGH,1.0,PG-CPK
Papua New Guinea,Sina Sina/Yonggomugl,Chimbu (Simbu),,,56805,District,,,#N/A,2011,Chimbu (Simbu)Papua New Guinea,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Papua New Guinea,Karimui/Nomane,Chimbu (Simbu),,,52159,District,,,#N/A,2011,Chimbu (Simbu)Papua New Guinea,county,2,PG-CPK,Karimui/Nomane District,,,,county,2,PG-CPK,Karimui/Nomane District,,,,,region,1,PG-CPK,Simbu,HIGH,1.0,PG-CPK
Papua New Guinea,Chuave,Chimbu (Simbu),,,39021,District,,,#N/A,2011,Chimbu (Simbu)Papua New Guinea,county,2,PG-CPK,Chuave District,,,,county,2,PG-CPK,Chuave District,,,,,region,1,PG-CPK,Simbu,HIGH,1.0,PG-CPK
Papua New Guinea,Gazelle,East New Britain,,,129317,District,,,#N/A,2011,East New BritainPapua New Guinea,county,2,PG-EBR,Gazelle District,,,,county,2,PG-EBR,Gazelle District,,,,,region,1,PG-EBR,East New Britain,HIGH,1.0,PG-EBR
Papua New Guinea,Kokopo,East New Britain,,,87829,District,,,#N/A,2011,East New BritainPapua New Guinea,county,2,PG-EBR,Kokopo District,,,,county,2,PG-EBR,Kokopo District,,,,,region,1,PG-EBR,East New Britain,HIGH,1.0,PG-EBR
