Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Philippines,Lanao del Sur,Bangsamoro,Lanao del Sur,,1195518,Province,,,#N/A,,BangsamoroPhilippines,county,2,PH-14,Lanao del Sur,,,,county,2,PH-14,Lanao del Sur,,,,,region,1,PH-14,Bangsamoro,HIGH,1.0,PH-14
Philippines,Sulu,Bangsamoro,Sulu,,1000108,Province,,,#N/A,,BangsamoroPhilippines,county,2,PH-09,Sulu,,,,,,,,,,,,region,1,PH-14,Bangsamoro,NONE,0.0,PH-14
Philippines,Maguindanao del Norte,Bangsamoro,Maguindanao del Norte (incl. Cotabato City),,943500,Province,,,#N/A,,BangsamoroPhilippines,county,2,PH-14,Maguindanao del Norte,,,,county,2,PH-14,Maguindanao del Norte,,,,,region,1,PH-14,Bangsamoro,HIGH,1.0,PH-14
Philippines,Maguindanao del Sur,Bangsamoro,Maguindanao del Sur,,723758,Province,,,#N/A,,BangsamoroPhilippines,county,2,PH-14,Maguindanao del Sur,,,,county,2,PH-14,Maguindanao del Sur,,,,,region,1,PH-14,Bangsamoro,HIGH,1.0,PH-14
Philippines,Tawi-Tawi,Bangsamoro,Tawi-Tawi,,440276,Province,,,#N/A,,BangsamoroPhilippines,county,2,PH-14,Tawi-Tawi,,,,county,2,PH-14,Tawi-Tawi,,,,,region,1,PH-14,Bangsamoro,HIGH,1.0,PH-14
Philippines,Basilan,Bangsamoro,Basilan,,426207,Province,,,#N/A,,BangsamoroPhilippines,county,2,PH-14,Basilan,,,,county,2,PH-14,Basilan,,,,,region,1,PH-14,Bangsamoro,HIGH,1.0,PH-14
Philippines,Interim Province,Bangsamoro,Interim Province,,215433,Province,,,#N/A,,BangsamoroPhilippines,,,,,,,,,,,,,,,,region,1,PH-14,Bangsamoro,NONE,0.0,PH-14
Philippines,Camarines Sur,Bicol,Camarines Sur,,2068244,Province,,,#N/A,,BicolPhilippines,county,2,PH-05,Camarines Sur,,,,county,2,PH-05,Camarines Sur,,,,,region,1,PH-05,Bicol Region,HIGH,1.0,PH-05
Philippines,Albay,Bicol,Albay,,1374768,Province,,,#N/A,,BicolPhilippines,county,2,PH-05,Albay,,,,county,2,PH-05,Albay,,,,,region,1,PH-05,Bicol Region,HIGH,1.0,PH-05
Philippines,Masbate,Bicol,Masbate,,908920,Province,,,#N/A,,BicolPhilippines,county,2,PH-05,Masbate,,,,county,2,PH-05,Masbate,,,,,region,1,PH-05,Bicol Region,HIGH,1.0,PH-05
Philippines,Sorsogon,Bicol,Sorsogon,,828655,Province,,,#N/A,,BicolPhilippines,county,2,PH-05,Sorsogon,,,,county,2,PH-05,Sorsogon,,,,,region,1,PH-05,Bicol Region,HIGH,1.0,PH-05
Philippines,Camarines Norte,Bicol,Camarines Norte,,629699,Province,,,#N/A,,BicolPhilippines,county,2,PH-05,Camarines Norte,,,,county,2,PH-05,Camarines Norte,,,,,region,1,PH-05,Bicol Region,HIGH,1.0,PH-05
Philippines,Catanduanes,Bicol,Catanduanes,,271879,Province,,,#N/A,,BicolPhilippines,county,2,PH-05,Catanduanes,,,,county,2,PH-05,Catanduanes,,,,,region,1,PH-05,Bicol Region,HIGH,1.0,PH-05
Philippines,Cagayan,Cagayan Valley,Cagayan,,1268603,Province,Cagayan,,Cagayan,,Cagayan ValleyPhilippines,county,2,PH-02,Cagayan,,,,county,2,PH-02,Cagayan,,,,,region,1,PH-02,Cagayan Valley,HIGH,1.0,PH-02
Philippines,Isabela,Cagayan Valley,Isabela,,1697050,Province,,,#N/A,,Cagayan ValleyPhilippines,county,2,PH-02,Isabela,,,,county,2,PH-02,Isabela,,,,,region,1,PH-02,Cagayan Valley,HIGH,1.0,PH-02
Philippines,Nueva Vizcaya,Cagayan Valley,Nueva Vizcaya,,497432,Province,,,#N/A,,Cagayan ValleyPhilippines,county,2,PH-02,Nueva Vizcaya,,,,county,2,PH-02,Nueva Vizcaya,,,,,region,1,PH-02,Cagayan Valley,HIGH,1.0,PH-02
Philippines,Quirino,Cagayan Valley,Quirino,,203828,Province,,,#N/A,,Cagayan ValleyPhilippines,county,2,PH-02,Quirino,,,,county,2,PH-02,Quirino,,,,,region,1,PH-02,Cagayan Valley,HIGH,1.0,PH-02
Philippines,Batanes,Cagayan Valley,Batanes,,18831,Province,,,#N/A,,Cagayan ValleyPhilippines,county,2,PH-02,Batanes,,,,county,2,PH-02,Batanes,,,,,region,1,PH-02,Cagayan Valley,HIGH,1.0,PH-02
Philippines,Batangas,Calabarzon,Batangas,,2908494,Province,Batangas,,Batangas,,CalabarzonPhilippines,county,2,PH-40,Batangas,,,,county,2,PH-40,Batangas,,,,,region,1,PH-40,Calabarzon,HIGH,1.0,PH-40
Philippines,Cavite,Calabarzon,Cavite,,4344829,Province,Manila,,Manila,,CalabarzonPhilippines,locality,,PH-40,Cavite City,,,,locality,,PH-40,Cavite City,,,,,region,1,PH-40,Calabarzon,HIGH,1.0,PH-40
Philippines,Laguna,Calabarzon,Laguna,,3382193,Province,Manila,,Manila,,CalabarzonPhilippines,county,2,PH-40,Laguna,,,,county,2,PH-40,Laguna,,,,,region,1,PH-40,Calabarzon,HIGH,1.0,PH-40
Philippines,Rizal,Calabarzon,Rizal,,3330143,Province,Manila,,Manila,,CalabarzonPhilippines,locality,,PH-40,Rizal,,,,locality,,PH-40,Rizal,,,,,region,1,PH-40,Calabarzon,HIGH,1.0,PH-40
Philippines,Quezon,Calabarzon,Quezon (incl. City of Lucena),,2229383,Province,,,#N/A,,CalabarzonPhilippines,locality,,PH-40,Quezon,,,,locality,,PH-40,Quezon,,,,,region,1,PH-40,Calabarzon,HIGH,1.0,PH-40
Philippines,Agusan del Norte,Caraga,Agusan del Norte (incl. City of Butuan),,760413,Province,,,#N/A,,CaragaPhilippines,county,2,PH-13,Agusan del Norte,,,,county,2,PH-13,Agusan del Norte,,,,,region,1,PH-13,Caraga,HIGH,1.0,PH-13
Philippines,Agusan del Sur,Caraga,Agusan del Sur,,739367,Province,,,#N/A,,CaragaPhilippines,county,2,PH-13,Agusan del Sur,,,,county,2,PH-13,Agusan del Sur,,,,,region,1,PH-13,Caraga,HIGH,1.0,PH-13
Philippines,Surigao del Sur,Caraga,Surigao del Sur,,642255,Province,,,#N/A,,CaragaPhilippines,county,2,PH-13,Surigao del Sur,,,,county,2,PH-13,Surigao del Sur,,,,,region,1,PH-13,Caraga,HIGH,1.0,PH-13
Philippines,Surigao del Norte,Caraga,Surigao del Norte,,534636,Province,,,#N/A,,CaragaPhilippines,county,2,PH-13,Surigao del Norte,,,,county,2,PH-13,Surigao del Norte,,,,,region,1,PH-13,Caraga,HIGH,1.0,PH-13
Philippines,Dinagat Islands,Caraga,Dinagat Islands,,128117,Province,,,#N/A,,CaragaPhilippines,county,2,PH-13,Dinagat Islands,,,,county,2,PH-13,Dinagat Islands,,,,,region,1,PH-13,Caraga,HIGH,1.0,PH-13
Philippines,Pampanga,Central Luzon,Pampanga (incl. City of Angeles),,2900637,Province,Angeles,,Angeles,,Central LuzonPhilippines,county,2,PH-03,Pampanga,,,,county,2,PH-03,Pampanga,,,,,region,1,PH-03,Central Luzon,HIGH,1.0,PH-03
Philippines,Bataan,Central Luzon,Bataan,,853373,Province,Balanga,,Balanga,,Central LuzonPhilippines,county,2,PH-03,Bataan,,,,county,2,PH-03,Bataan,,,,,region,1,PH-03,Central Luzon,HIGH,1.0,PH-03
Philippines,Bulacan,Central Luzon,Bulacan,,3708890,Province,Manila,,Manila,,Central LuzonPhilippines,county,2,PH-03,Bulacan,,,,county,2,PH-03,Bulacan,,,,,region,1,PH-03,Central Luzon,HIGH,1.0,PH-03
Philippines,Nueva Ecija,Central Luzon,Nueva Ecija,,2310134,Province,,,#N/A,,Central LuzonPhilippines,county,2,PH-03,Nueva Ecija,,,,county,2,PH-03,Nueva Ecija,,,,,region,1,PH-03,Central Luzon,HIGH,1.0,PH-03
Philippines,Tarlac,Central Luzon,Tarlac,,1503456,Province,,,#N/A,,Central LuzonPhilippines,locality,,PH-03,Tarlac City,,,,locality,,PH-03,Tarlac City,,,,,region,1,PH-03,Central Luzon,HIGH,1.0,PH-03
Philippines,Zambales,Central Luzon,Zambales (incl. City of Olongapo),,909932,Province,,,#N/A,,Central LuzonPhilippines,county,2,PH-03,Zambales,,,,county,2,PH-03,Zambales,,,,,region,1,PH-03,Central Luzon,HIGH,1.0,PH-03
Philippines,Aurora,Central Luzon,Aurora,,235750,Province,,,#N/A,,Central LuzonPhilippines,county,2,PH-03,Aurora,,,,county,2,PH-03,Aurora,,,,,region,1,PH-03,Central Luzon,HIGH,1.0,PH-03
Philippines,Cebu,Central Visayas,"Cebu (incl. City of Cebu, City of Lapu-Lapu, City of Mandaue)",,5151274,Province,Cebu,,Cebu,,Central VisayasPhilippines,locality,,PH-07,Cebu City,,,,locality,,PH-07,Cebu City,,,,,region,1,PH-07,Central Visayas,HIGH,1.0,PH-07
Philippines,Bohol,Central Visayas,Bohol,,1394329,Province,Tagbilaran,,Tagbilaran,,Central VisayasPhilippines,county,2,PH-07,Bohol,,,,county,2,PH-07,Bohol,,,,,region,1,PH-07,Central Visayas,HIGH,1.0,PH-07
Philippines,Negros Oriental,Central Visayas,Negros Oriental,,1432990,Province,,,#N/A,,Central VisayasPhilippines,county,2,,Negros Oriental,,,,,,,,,,,,region,1,PH-07,Central Visayas,NONE,0.0,PH-07
Philippines,Siquijor,Central Visayas,Siquijor,,103395,Province,,,#N/A,,Central VisayasPhilippines,county,2,,Siquijor,,,,,,,,,,,,region,1,PH-07,Central Visayas,NONE,0.0,PH-07
