Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Pakistan,Kotli,Azad Kashmir,,,774194,District,,,#N/A,,Azad KashmirPakistan,,,,,,,,,,,,,,,,region,1,PK-JK,آزاد کشمیر,NONE,0.0,PK-JK
Pakistan,Muzaffarābād,Azad Kashmir,,,650370,District,,,#N/A,,Azad KashmirPakistan,,,,,,,,,,,,,,,,region,1,PK-JK,آزاد کشمیر,NONE,0.0,PK-JK
Pakistan,Pūnch (Poonch),Azad Kashmir,,,500571,District,,,#N/A,,Azad KashmirPakistan,,,,,,,,,,,,,,,,region,1,PK-JK,آزاد کشمیر,NONE,0.0,PK-JK
Pakistan,Mīrpur,Azad Kashmir,,,456200,District,,,#N/A,,Azad KashmirPakistan,,,,,,,,,,,,,,,,region,1,PK-JK,آزاد کشمیر,NONE,0.0,PK-JK
Pakistan,Bhimbar (Bhimber),Azad Kashmir,,,420624,District,,,#N/A,,Azad KashmirPakistan,,,,,,,,,,,,,,,,region,1,PK-JK,آزاد کشمیر,NONE,0.0,PK-JK
Pakistan,Bāgh,Azad Kashmir,,,371919,District,,,#N/A,,Azad KashmirPakistan,,,,,,,,,,,,,,,,region,1,PK-JK,آزاد کشمیر,NONE,0.0,PK-JK
Pakistan,"Sudhnoti (Sudhnutti, Sudhanoti)",Azad Kashmir,,,297584,District,,,#N/A,,Azad KashmirPakistan,,,,,,,,,,,,,,,,region,1,PK-JK,آزاد کشمیر,NONE,0.0,PK-JK
Pakistan,Hattiān (Jhelum Valley),Azad Kashmir,,,230529,District,,,#N/A,,Azad KashmirPakistan,,,,,,,,,,,,,,,,region,1,PK-JK,آزاد کشمیر,NONE,0.0,PK-JK
Pakistan,Nīlam (Neelam),Azad Kashmir,,,191251,District,,,#N/A,,Azad KashmirPakistan,,,,,,,,,,,,,,,,region,1,PK-JK,آزاد کشمیر,NONE,0.0,PK-JK
Pakistan,Haveli (Kahutta),Azad Kashmir,,,152124,District,,,#N/A,,Azad KashmirPakistan,,,,,,,,,,,,,,,,region,1,PK-JK,آزاد کشمیر,NONE,0.0,PK-JK
Pakistan,Quetta,Balochistan,,,2269473,District,Quetta,,Quetta,,BalochistanPakistan,county,2,PK-BA,کوئٹہ ڈویژن,,,,,,,,,,,,region,1,PK-BA,بلوچستان,NONE,0.0,PK-BA
Pakistan,Kech,Balochistan,,,907182,District,,,#N/A,,BalochistanPakistan,,,,,,,,,,,,,,,,region,1,PK-BA,بلوچستان,NONE,0.0,PK-BA
Pakistan,Khuzdar,Balochistan,,,798896,District,,,#N/A,,BalochistanPakistan,,,,,,,,,,,,,,,,region,1,PK-BA,بلوچستان,NONE,0.0,PK-BA
Pakistan,Killa Abdullah,Balochistan,,,758354,District,,,#N/A,,BalochistanPakistan,,,,,,,,,,,,,,,,region,1,PK-BA,بلوچستان,NONE,0.0,PK-BA
Pakistan,Pishin,Balochistan,,,736903,District,,,#N/A,,BalochistanPakistan,,,,,,,,,,,,,,,,region,1,PK-BA,بلوچستان,NONE,0.0,PK-BA
Pakistan,Lasbela,Balochistan,,,576271,District,,,#N/A,,BalochistanPakistan,,,,,,,,,,,,,,,,region,1,PK-BA,بلوچستان,NONE,0.0,PK-BA
Pakistan,Jaffarabad,Balochistan,,,513972,District,,,#N/A,,BalochistanPakistan,,,,,,,,,,,,,,,,region,1,PK-BA,بلوچستان,NONE,0.0,PK-BA
